Date,Diesel_m3
1991-01-21,258.19
1991-01-28,258.19
1991-02-04,233.62
1991-02-11,221.89
1991-02-18,221.89
1991-02-25,221.89
1991-03-04,221.89
1991-03-11,214.91
1991-03-18,200.22
1991-03-25,190.37
1991-04-01,190.37
1991-04-08,190.37
1991-04-15,190.37
1991-04-22,180.94
1991-04-29,176.99
1991-05-06,176.99
1991-05-13,176.99
1991-05-20,176.99
1991-05-27,176.99
1991-06-03,176.99
1991-06-10,176.99
1991-06-17,176.99
1991-06-24,176.99
1991-07-01,168.51
1991-07-08,168.51
1991-07-15,168.51
1991-07-22,168.51
1991-07-29,179.16
1991-08-05,184.78
1991-08-12,184.78
1991-08-19,184.78
1991-08-26,184.78
1991-09-02,184.78
1991-09-09,188.39
1991-09-16,188.39
1991-09-23,188.39
1991-09-30,194.44
1991-10-07,188.39
1991-10-14,192.37
1991-10-21,197.14
1991-10-28,203.09
1991-11-04,209.35
1991-11-11,209.35
1991-11-18,209.35
1991-11-25,209.35
1991-12-02,202.58
1991-12-09,195.02
1991-12-16,188.91
1991-12-23,172.65
1991-12-30,167.91
1992-01-06,176.65
1992-01-13,176.65
1992-01-20,168.1
1992-01-27,161.77
1992-02-03,161.77
1992-02-10,166.51
1992-02-17,171.39
1992-02-24,175.72
1992-03-02,175.72
1992-03-09,175.72
1992-03-16,160.6
1992-03-23,160.6
1992-03-30,160.6
1992-04-06,160.6
1992-04-13,160.6
1992-04-20,166.79
1992-04-27,166.79
1992-05-04,166.79
1992-05-11,166.79
1992-05-18,171.08
1992-05-25,174.51
1992-06-01,174.51
1992-06-08,174.51
1992-06-15,179.53
1992-06-22,184.72
1992-06-29,184.72
1992-07-06,184.72
1992-07-13,191.22
1992-07-20,185.89
1992-07-27,185.89
1992-08-03,185.89
1992-08-10,185.89
1992-08-17,185.89
1992-08-24,181.03
1992-08-31,176.11
1992-09-07,176.11
1992-09-14,176.11
1992-09-21,180.37
1992-09-28,189.28
1992-10-05,189.28
1992-10-12,194.02
1992-10-19,194.02
1992-10-26,194.02
1992-11-02,199.36
1992-11-09,199.36
1992-11-16,190.62
1992-11-23,179.74
1992-11-30,179.74
1992-12-07,175.93
1992-12-14,175.93
1992-12-21,168.45
1992-12-28,168.45
1993-01-04,168.45
1993-01-11,172.37
1993-01-18,172.37
1993-01-25,166.04
1993-02-01,160.24
1993-02-08,164.23
1993-02-15,169.81
1993-02-22,169.81
1993-03-01,173.23
1993-03-08,173.23
1993-03-15,178.77
1993-03-22,178.77
1993-03-29,178.77
1993-04-05,178.77
1993-04-12,178.77
1993-04-19,178.77
