;codigo_VU;raz_social;nombre;rubro;ciiu6;ciiu4;region;provincia;comuna;coord_este;coord_norte;huso;COD_FUENTE;fuente_emision;COMBUSTIBLE PRIMARIO;EMISION PRIMARIO;COMBUSTIBLE SECUNDARIO;EMISION SECUNDARIO;EMISION MATERIA PRIMA;tipo_contaminante;ton_emision;ORIGEN;Longitud;Latitud
0;5452292;EMPRESA ELECTRICA ANGAMOS S.A.;CENTRAL TERMOELÉCTRICA ANGAMOS;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;359788,0;7448232,0;19,0;CG-GEV-4645;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;2203896,4414828;Petróleo N 2 (Diesel);412,470967662;0,0;Carbon dioxide;3266240,1875;Impuesto Verde;-70,36877020018875;-23,068580818779544
2;5452233;EMPRESA ELECTRICA COCHRANE S.P.A.;CENTRAL TERMOELÉCTRICA COCHRANE;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;359025,0;7448705,0;19,0;CG-GEV-5143;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1909104,5888611;Petróleo N 2 (Diesel);2594,5911466151;0,0;Carbon dioxide;2635892,6875;Impuesto Verde;-70,3761736121577;-23,064244584887927
3;6638;GUACOLDA ENERGIA S.A;GUACOLDA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Atacama;Huasco;Huasco;279279,0;6848815,0;19,0;CG-GEV-10332;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1302058,7816475;Petróleo N 2 (Diesel);0,86534380469745;0,0;Carbon dioxide;2174536,34375;Impuesto Verde;-71,25437652646816;-28,46860973575537
5;5441923;ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Biobío;Concepción;Coronel;663174,0;5901210,0;18,0;CG-GEV-17409;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;2361798,3225375;Petróleo N 2 (Diesel);8154,4157942949;0,0;Carbon dioxide;1951532,3125;Impuesto Verde;-73,16567023374918;-37,021135210116306
6;5452085;COLBUN S A;COMPLEJO TERMOELECTRICO SANTA MARIA;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Biobío;Concepción;Coronel;666220,0;5898931,0;18,0;CG-GEV-9045;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1993537,1541807;Petróleo N 2 (Diesel);6771,6237797559;0,0;Carbon dioxide;1877589,953125;Impuesto Verde;-73,13094162203988;-37,04113389531911
7;3522;CMPC PULP SPA;CMPC CELULOSA PLANTA SANTA FE;Industria del papel y celulosa;Fabricación de celulosa y otras pastas de madera;Fabricación de pasta de madera, papel y cartón;Biobío;Biobío;Nacimiento;707640,0;5845494,0;18,0;IN-GEV-20210;Caldera Industrial (Generadora de Vapor o Agua Caliente);Licor Negro;2630307,0997755;Petróleo N 6;12947,654990754;0,0;Carbon dioxide;1639703,8982;Impuesto Verde;-72,65059528612598;-37,51416427062651
8;309729;EMPRESA ELECTRICA VENTANAS S.A;CENTRAL TERMOELÉCTRICA NUEVA VENTANAS;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Valparaíso;Puchuncaví;267716,0;6373430,0;19,0;CG-GEV-3164;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1988314,588042;Petróleo N 2 (Diesel);1897,0959784795;0,0;Carbon dioxide;1561571,75;Impuesto Verde;-71,47933591407602;-32,75250321399893
9;4917485;EMPRESA ELECTRICA CAMPICHE S.A.;CENTRAL TERMOELECTRICA CAMPICHE;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Valparaíso;Puchuncaví;267720,0;6373428,0;19,0;CG-GEV-10931;Caldera de Generación Eléctrica;Carbón Bituminoso Pulverizado;1943404,5177634;Petróleo N 2 (Diesel);2016,3744681444;0,0;Carbon dioxide;1449421,8125;Impuesto Verde;-71,4792937533744;-32,75252208299302
10;5441785;ENGIE ENERGIA CHILE S.A.;CENTRAL TÉRMICA MEJILLONES;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Antofagasta;Antofagasta;Mejillones;355392,0;7445882,0;19,0;CG-GEV-6596;Caldera de Generación Eléctrica;Carbón Sub Bituminoso;1234214,7556232;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;1277900,0174584;Impuesto Verde;-70,41189628893444;-23,089425226702165
13;28770;COLBUN S A;COMPLEJO TERMOELÉCTRICO NEHUENCO;Termoeléctricas;Generación de energía eléctrica en centrales termoeléctricas;Generación, transmisión y distribución de energía eléctrica;Valparaíso;Quillota;Quillota;282921,0;6353249,0;19,0;TG-GEV-9623;Turbina de Gas;Gas Natural;838991,73708962;Petróleo N 2 (Diesel);0,0;0,0;Carbon dioxide;1094247,734375;Impuesto Verde;-71,3218947769196;-32,937503554701536
