Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-22.8052,-69.2829,-4,1645
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2014,1,1,0,0,0.0,0.0,0.0,14.9,14.9,60.2,837.9,1.5,3.0,0
2014,1,1,1,0,0.0,0.0,0.0,14.0,14.0,67.0,837.3,1.6,1.5,0
2014,1,1,2,0,0.0,0.0,0.0,12.8,12.8,66.1,836.0,1.8,349.5,0
2014,1,1,3,0,0.0,0.0,0.0,11.6,11.6,65.1,834.8,2.2,346.5,0
2014,1,1,4,0,0.0,0.0,0.0,10.7,10.7,73.5,833.9,2.0,3.0,0
2014,1,1,5,0,0.0,0.0,0.0,9.4,9.4,74.3,833.0,2.4,81.0,0
2014,1,1,6,0,0.7,0.0,0.7,10.1,10.1,66.5,833.9,2.2,123.0,0
2014,1,1,7,0,216.0,829.4,31.2,12.9,12.9,50.3,834.6,1.2,141.0,0
2014,1,1,8,0,475.6,993.6,39.1,17.6,17.6,31.0,836.0,0.2,276.0,0
2014,1,1,9,0,719.9,1064.6,42.9,20.7,20.7,24.4,836.4,1.8,301.5,0
2014,1,1,10,0,926.3,1102.0,44.9,23.0,23.0,21.0,836.9,3.2,294.0,0
2014,1,1,11,0,1078.4,1122.8,46.1,24.4,24.4,16.1,837.8,4.1,283.5,0
2014,1,1,12,0,1161.8,1130.3,46.6,26.1,26.1,99.5,838.3,4.6,277.5,0
2014,1,1,13,0,1172.6,1129.3,46.7,27.4,27.4,13.6,839.1,4.9,265.5,0
2014,1,1,14,0,1110.3,1120.2,46.3,28.4,28.4,12.7,840.0,5.3,258.0,0
2014,1,1,15,0,980.4,1102.2,45.4,28.9,28.9,12.3,840.0,6.1,244.5,0
2014,1,1,16,0,791.9,1070.1,43.7,28.5,28.5,14.0,839.6,7.0,234.0,0
2014,1,1,17,0,559.8,1012.4,40.7,27.6,27.6,16.6,839.5,8.0,225.0,0
2014,1,1,18,0,98.0,8.9,95.3,26.0,26.0,21.5,839.6,7.9,219.0,0
2014,1,1,19,0,59.8,518.3,18.1,23.7,23.7,27.3,839.7,6.8,211.5,0
2014,1,1,20,0,0.0,0.0,0.0,21.2,21.2,40.9,839.8,3.8,202.5,0
2014,1,1,21,0,0.0,0.0,0.0,18.8,18.8,45.8,839.8,2.1,187.5,0
2014,1,1,22,0,0.0,0.0,0.0,16.9,16.9,43.3,839.8,2.1,172.5,0
2014,1,1,23,0,0.0,0.0,0.0,15.4,15.4,38.1,839.5,2.2,69.0,0
2014,1,2,0,0,0.0,0.0,0.0,14.5,14.5,57.2,839.2,2.5,4.5,0
2014,1,2,1,0,0.0,0.0,0.0,13.7,13.7,57.6,839.0,2.6,358.5,0
2014,1,2,2,0,0.0,0.0,0.0,12.7,12.7,66.6,838.6,2.4,352.5,0
2014,1,2,3,0,0.0,0.0,0.0,11.8,11.8,82.8,838.2,2.6,354.0,0
2014,1,2,4,0,0.0,0.0,0.0,11.0,11.0,99.0,837.9,2.7,358.5,0
2014,1,2,5,0,0.0,0.0,0.0,10.1,10.1,75.0,837.4,2.6,13.5,0
2014,1,2,6,0,0.3,0.0,0.3,9.9,9.9,81.4,837.1,2.5,51.0,0
2014,1,2,7,0,211.8,819.7,30.9,11.5,11.5,34.4,837.8,1.3,129.0,0
2014,1,2,8,0,470.6,987.1,39.0,15.5,15.5,38.1,838.1,0.4,3.0,0
2014,1,2,9,0,715.9,1061.1,42.8,19.1,19.1,31.9,838.6,1.9,316.5,0
2014,1,2,10,0,924.3,1101.3,44.8,22.3,22.3,100.0,838.6,3.1,306.0,0
2014,1,2,11,0,1078.9,1124.5,46.0,24.2,24.2,98.6,838.1,4.5,301.5,0
2014,1,2,12,0,1165.0,1134.0,46.6,26.6,26.6,99.2,838.7,4.3,295.5,0
2014,1,2,13,0,1178.3,1134.9,46.7,27.8,27.8,12.1,838.8,4.4,282.0,0
2014,1,2,14,0,1118.0,1127.7,46.2,28.9,28.9,9.9,838.8,4.4,271.5,0
2014,1,2,15,0,988.0,1110.2,45.3,29.1,29.1,9.5,839.2,5.2,253.5,0
2014,1,2,16,0,799.2,1079.0,43.6,28.6,28.6,11.6,838.5,6.6,231.0,0
2014,1,2,17,0,566.0,1022.4,40.6,27.1,27.1,14.8,838.2,8.2,219.0,0
2014,1,2,18,0,308.2,902.5,34.7,25.0,25.0,19.6,838.2,8.1,208.5,0
2014,1,2,19,0,61.0,523.1,18.3,22.2,22.2,25.6,837.7,6.0,205.5,0
2014,1,2,20,0,0.0,0.0,0.0,19.7,19.7,43.7,837.8,3.7,199.5,0
2014,1,2,21,0,0.0,0.0,0.0,17.7,17.7,42.4,837.7,2.1,187.5,0
2014,1,2,22,0,0.0,0.0,0.0,15.6,15.6,46.1,837.6,2.1,166.5,0
2014,1,2,23,0,0.0,0.0,0.0,14.1,14.1,47.0,837.1,2.3,36.0,0
2014,1,3,0,0,0.0,0.0,0.0,13.2,13.2,60.9,836.6,2.5,3.0,0
2014,1,3,1,0,0.0,0.0,0.0,12.3,12.3,67.5,836.2,2.6,358.5,0
2014,1,3,2,0,0.0,0.0,0.0,11.2,11.2,65.7,835.5,2.5,351.0,0
2014,1,3,3,0,0.0,0.0,0.0,10.4,10.4,70.8,834.9,2.5,352.5,0
2014,1,3,4,0,0.0,0.0,0.0,9.9,9.9,98.1,834.6,2.5,6.0,0
2014,1,3,5,0,0.0,0.0,0.0,8.7,8.7,73.8,834.2,2.6,64.5,0
2014,1,3,6,0,0.2,0.0,0.2,9.3,9.3,90.4,835.0,2.4,129.0,0
2014,1,3,7,0,212.4,830.9,30.9,11.3,11.3,48.0,835.4,1.4,151.5,0
2014,1,3,8,0,473.9,999.4,39.0,15.7,15.7,38.1,836.6,0.5,190.5,0
2014,1,3,9,0,721.4,1072.5,42.8,19.6,19.6,29.6,836.6,1.2,267.0,0
2014,1,3,10,0,931.4,1112.0,44.9,22.9,22.9,99.7,837.0,2.7,276.0,0
2014,1,3,11,0,1087.2,1134.4,46.1,24.4,24.4,98.5,837.3,4.1,274.5,0
2014,1,3,12,0,1172.9,1142.3,46.6,26.5,26.5,99.6,837.8,4.2,273.0,0
2014,1,3,13,0,1185.6,1142.0,46.7,27.9,27.9,12.5,838.2,4.8,261.0,0
2014,1,3,14,0,1124.2,1133.5,46.3,29.2,29.2,9.5,838.8,5.1,250.5,0
2014,1,3,15,0,994.0,1116.1,45.4,30.0,30.0,8.7,838.9,5.9,241.5,0
