DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-23.651335
LONGITUD,-70.383306
ALTURA,192.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2005-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.39,1.21,1.00,0.00
2005-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.69,1.34,1.00,0.00
2005-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.02,1.40,1.00,0.00
2005-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.54,1.42,1.00,0.00
2005-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.09,1.35,1.00,0.00
2005-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.68,1.22,1.00,0.00
2005-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.45,1.19,1.00,0.00
2005-01-01 07:00:00,71.32,0.00,70.55,0.77,73.74,0.00,73.74,0.00,11.94,0.80,1.00,1.00
2005-01-01 08:00:00,39.52,0.00,39.09,0.42,40.86,0.00,40.86,0.00,13.45,1.49,1.00,1.00
2005-01-01 09:00:00,232.98,32.05,198.38,2.56,246.70,39.36,207.34,63.03,14.72,2.23,0.00,1.00
2005-01-01 10:00:00,188.27,20.40,165.83,2.04,196.70,23.38,173.32,29.59,15.87,2.74,0.00,1.00
2005-01-01 11:00:00,335.74,82.85,249.24,3.66,352.36,91.86,260.50,100.66,16.83,3.01,0.00,1.00
2005-01-01 12:00:00,270.14,53.93,213.28,2.92,281.82,58.90,222.92,59.89,18.59,2.63,0.00,1.00
2005-01-01 13:00:00,441.62,141.42,295.39,4.80,462.76,154.02,308.74,154.30,19.46,2.74,0.00,1.00
2005-01-01 14:00:00,415.94,125.77,285.63,4.53,436.68,138.14,298.54,144.57,19.17,2.70,0.00,1.00
2005-01-01 15:00:00,852.41,774.33,68.31,9.77,941.40,870.00,71.40,1013.49,19.20,2.60,0.00,0.00
2005-01-01 16:00:00,663.83,592.38,63.53,7.93,764.08,697.68,66.40,977.83,18.83,2.37,0.00,0.00
2005-01-01 17:00:00,433.36,371.19,56.53,5.64,543.96,484.88,59.08,913.73,18.09,2.00,0.00,0.00
2005-01-01 18:00:00,67.18,0.00,66.46,0.72,69.46,0.00,69.46,0.00,17.60,2.01,0.00,1.00
2005-01-01 19:00:00,25.47,0.00,24.74,0.73,70.38,44.52,25.86,433.84,16.78,1.37,0.00,0.00
2005-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.04,1.03,1.00,0.00
2005-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,1.09,1.00,0.00
2005-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.89,1.33,1.00,0.00
2005-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.57,1.54,1.00,0.00
2005-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.05,1.18,1.00,0.00
2005-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.76,1.38,1.00,0.00
2005-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.49,1.51,1.00,0.00
2005-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,1.54,1.00,0.00
2005-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,1.48,1.00,0.00
2005-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.66,1.35,1.00,0.00
2005-01-02 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.41,1.14,1.00,0.00
2005-01-02 07:00:00,37.62,0.00,37.22,0.40,38.90,0.00,38.90,0.00,15.99,0.22,1.00,0.00
2005-01-02 08:00:00,51.84,0.00,51.28,0.56,53.60,0.00,53.60,0.00,17.59,0.95,1.00,0.00
2005-01-02 09:00:00,546.95,480.46,59.72,6.77,652.32,589.90,62.42,947.19,18.52,1.79,0.00,0.00
2005-01-02 10:00:00,759.44,685.14,65.44,8.85,853.32,784.92,68.40,995.13,19.32,2.37,0.00,0.00
2005-01-02 11:00:00,920.13,840.50,69.21,10.41,1003.76,931.42,72.34,1021.64,19.95,2.71,0.00,0.00
2005-01-02 12:00:00,1014.47,931.89,71.26,11.33,1091.62,1017.14,74.48,1034.56,21.72,2.59,0.00,0.00
2005-01-02 13:00:00,1034.22,950.70,72.01,11.51,1109.90,1034.64,75.26,1036.43,22.48,2.74,0.00,0.00
2005-01-02 14:00:00,977.86,895.82,71.07,10.97,1057.34,983.06,74.28,1028.31,21.96,2.73,0.00,0.00
2005-01-02 15:00:00,850.13,771.97,68.43,9.73,937.96,866.44,71.52,1008.39,21.74,2.62,0.00,0.00
2005-01-02 16:00:00,662.41,590.60,63.91,7.90,761.32,694.52,66.80,971.91,21.10,2.37,0.00,0.00
2005-01-02 17:00:00,432.82,370.12,57.08,5.62,541.88,482.22,59.66,906.70,20.10,2.01,0.00,0.00
2005-01-02 18:00:00,77.89,0.00,77.06,0.84,80.54,0.00,80.54,0.00,18.42,1.36,0.00,1.00
2005-01-02 19:00:00,25.89,0.00,25.16,0.73,70.22,43.92,26.30,423.69,17.43,0.68,0.00,0.00
2005-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.51,0.69,1.00,0.00
2005-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.62,0.99,1.00,0.00
2005-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.89,1.25,1.00,0.00
2005-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.34,1.37,1.00,0.00
2005-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,1.29,1.00,0.00
