Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-23.6513,-70.3833,-4,192
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2005,1,1,0,0,0.0,0.0,0.0,14.4,14.4,85.0,982.8,1.2,84.5,0
2005,1,1,1,0,0.0,0.0,0.0,13.7,13.7,82.8,982.9,1.3,84.5,0
2005,1,1,2,0,0.0,0.0,0.0,13.0,13.0,81.2,982.9,1.4,86.5,0
2005,1,1,3,0,0.0,0.0,0.0,12.5,12.5,79.3,983.2,1.4,88.9,0
2005,1,1,4,0,0.0,0.0,0.0,12.1,12.1,78.2,983.5,1.4,92.6,0
2005,1,1,5,0,0.0,0.0,0.0,11.7,11.7,77.9,983.6,1.2,97.0,0
2005,1,1,6,0,0.0,0.0,0.0,10.4,10.4,85.8,982.8,1.2,138.4,0
2005,1,1,7,0,73.7,0.0,73.7,11.9,11.9,89.5,982.8,0.8,219.7,0
2005,1,1,8,0,40.9,0.0,40.9,13.4,13.4,92.6,982.7,1.5,256.9,0
2005,1,1,9,0,246.7,63.0,207.3,14.7,14.7,95.0,982.4,2.2,261.5,0
2005,1,1,10,0,196.7,29.6,173.3,15.9,15.9,96.4,982.1,2.7,261.7,0
2005,1,1,11,0,352.4,100.7,260.5,16.8,16.8,96.8,981.6,3.0,259.8,0
2005,1,1,12,0,281.8,59.9,222.9,18.6,18.6,93.7,980.3,2.6,260.0,0
2005,1,1,13,0,462.8,154.3,308.7,19.5,19.5,92.9,979.6,2.7,259.3,0
2005,1,1,14,0,436.7,144.6,298.5,19.2,19.2,93.2,978.8,2.7,258.5,0
2005,1,1,15,0,941.4,1013.5,71.4,19.2,19.2,92.6,979.1,2.6,259.3,0
2005,1,1,16,0,764.1,977.8,66.4,18.8,18.8,93.2,979.2,2.4,260.1,0
2005,1,1,17,0,544.0,913.7,59.1,18.1,18.1,94.8,979.2,2.0,261.1,0
2005,1,1,18,0,69.5,0.0,69.5,17.6,17.6,95.3,979.3,2.0,232.9,0
2005,1,1,19,0,70.4,433.8,25.9,16.8,16.8,96.4,979.5,1.4,223.0,0
2005,1,1,20,0,0.0,0.0,0.0,16.0,16.0,96.5,979.8,1.0,210.7,0
2005,1,1,21,0,0.0,0.0,0.0,15.4,15.4,95.0,979.9,1.1,203.4,0
2005,1,1,22,0,0.0,0.0,0.0,14.9,14.9,92.7,980.2,1.3,204.8,0
2005,1,1,23,0,0.0,0.0,0.0,14.6,14.6,89.6,980.5,1.5,216.2,0
2005,1,2,0,0,0.0,0.0,0.0,14.1,14.1,84.8,981.8,1.2,83.5,0
2005,1,2,1,0,0.0,0.0,0.0,13.8,13.8,83.0,981.9,1.4,82.7,0
2005,1,2,2,0,0.0,0.0,0.0,13.5,13.5,81.7,982.0,1.5,85.7,0
2005,1,2,3,0,0.0,0.0,0.0,13.3,13.3,79.5,982.4,1.5,91.0,0
2005,1,2,4,0,0.0,0.0,0.0,13.1,13.1,78.1,982.7,1.5,96.2,0
2005,1,2,5,0,0.0,0.0,0.0,13.7,13.7,77.5,982.9,1.4,101.0,0
2005,1,2,6,0,0.0,0.0,0.0,14.4,14.4,84.3,983.1,1.1,105.0,0
2005,1,2,7,0,38.9,0.0,38.9,16.0,16.0,87.5,983.2,0.2,104.1,0
2005,1,2,8,0,53.6,0.0,53.6,17.6,17.6,90.0,983.2,1.0,277.9,0
2005,1,2,9,0,652.3,947.2,62.4,18.5,18.5,92.5,982.8,1.8,268.8,0
2005,1,2,10,0,853.3,995.1,68.4,19.3,19.3,94.0,982.4,2.4,264.8,0
2005,1,2,11,0,1003.8,1021.6,72.3,19.9,19.9,94.4,981.9,2.7,260.5,0
2005,1,2,12,0,1091.6,1034.6,74.5,21.7,21.7,90.2,980.8,2.6,258.8,0
2005,1,2,13,0,1109.9,1036.4,75.3,22.5,22.5,89.1,980.3,2.7,258.2,0
2005,1,2,14,0,1057.3,1028.3,74.3,22.0,22.0,89.1,979.6,2.7,257.3,0
2005,1,2,15,0,938.0,1008.4,71.5,21.7,21.7,88.2,980.0,2.6,258.5,0
2005,1,2,16,0,761.3,971.9,66.8,21.1,21.1,88.5,980.2,2.4,259.6,0
2005,1,2,17,0,541.9,906.7,59.7,20.1,20.1,89.8,980.4,2.0,261.0,0
2005,1,2,18,0,80.5,0.0,80.5,18.4,18.4,89.5,980.1,1.4,240.8,0
2005,1,2,19,0,70.2,423.7,26.3,17.4,17.4,90.1,980.3,0.7,230.5,0
2005,1,2,20,0,0.0,0.0,0.0,16.5,16.5,89.7,980.8,0.7,198.0,0
2005,1,2,21,0,0.0,0.0,0.0,15.6,15.6,89.6,980.8,1.0,123.1,0
2005,1,2,22,0,0.0,0.0,0.0,14.9,14.9,88.7,981.0,1.3,84.1,0
2005,1,2,23,0,0.0,0.0,0.0,14.3,14.3,86.9,981.2,1.4,47.0,0
2005,1,3,0,0,0.0,0.0,0.0,13.2,13.2,83.1,981.8,1.3,83.9,0
2005,1,3,1,0,0.0,0.0,0.0,12.8,12.8,81.6,981.9,1.5,80.6,0
2005,1,3,2,0,0.0,0.0,0.0,12.4,12.4,80.7,982.0,1.6,80.5,0
2005,1,3,3,0,0.0,0.0,0.0,11.9,11.9,78.7,982.4,1.6,87.1,0
2005,1,3,4,0,0.0,0.0,0.0,11.5,11.5,77.4,982.7,1.5,95.0,0
2005,1,3,5,0,0.0,0.0,0.0,11.1,11.1,77.0,982.9,1.3,103.2,0
2005,1,3,6,0,0.0,0.0,0.0,10.5,10.5,87.5,982.5,1.2,156.2,0
2005,1,3,7,0,40.7,0.0,40.7,12.1,12.1,91.2,982.6,0.7,239.2,0
2005,1,3,8,0,57.1,0.0,57.1,13.7,13.7,94.2,982.6,1.3,262.4,0
2005,1,3,9,0,642.8,926.7,67.3,14.7,14.7,96.5,982.3,2.1,264.9,0
2005,1,3,10,0,843.4,976.6,74.4,15.7,15.7,97.8,982.0,2.7,264.2,0
2005,1,3,11,0,993.9,1004.1,79.3,16.4,16.4,98.1,981.6,3.0,262.1,0
2005,1,3,12,0,1082.0,1017.3,82.2,18.5,18.5,92.3,979.7,2.4,254.7,0
2005,1,3,13,0,1101.2,1020.2,82.7,19.2,19.2,91.8,979.1,2.5,254.9,0
2005,1,3,14,0,1049.6,1012.5,81.1,19.5,19.5,92.4,978.3,2.5,254.4,0
2005,1,3,15,0,931.2,992.6,77.5,20.2,20.2,91.4,978.5,2.4,255.6,0
2005,1,3,16,0,755.5,955.5,71.8,19.8,19.8,91.5,978.5,2.1,256.5,0
2005,1,3,17,0,537.2,888.7,63.5,19.1,19.1,92.7,978.5,1.8,257.4,0
2005,1,3,18,0,128.8,6.2,126.8,18.0,18.0,92.5,979.5,1.3,244.4,0
2005,1,3,19,0,69.3,401.7,27.2,17.2,17.2,92.5,979.7,0.6,227.5,0
2005,1,3,20,0,0.0,0.0,0.0,16.4,16.4,91.5,980.0,0.7,103.0,0
2005,1,3,21,0,0.0,0.0,0.0,15.6,15.6,91.0,980.2,1.1,73.3,0
2005,1,3,22,0,0.0,0.0,0.0,15.0,15.0,89.5,980.4,1.4,62.7,0
2005,1,3,23,0,0.0,0.0,0.0,14.5,14.5,87.2,980.7,1.6,51.0,0
2005,1,4,0,0,0.0,0.0,0.0,13.3,13.3,84.2,981.1,1.6,73.9,0
2005,1,4,1,0,0.0,0.0,0.0,12.9,12.9,83.6,981.4,1.8,69.0,0
2005,1,4,2,0,0.0,0.0,0.0,12.6,12.6,83.6,981.7,1.9,69.1,0
2005,1,4,3,0,0.0,0.0,0.0,12.3,12.3,81.1,982.0,1.9,83.1,0
2005,1,4,4,0,0.0,0.0,0.0,12.1,12.1,79.4,982.2,1.9,102.8,0
2005,1,4,5,0,0.0,0.0,0.0,11.9,11.9,78.5,982.3,1.8,123.7,0
2005,1,4,6,0,0.0,0.0,0.0,11.4,11.4,86.2,983.3,1.4,138.1,0
2005,1,4,7,0,40.0,0.0,40.0,13.1,13.1,89.8,983.5,0.9,178.1,0
2005,1,4,8,0,56.5,0.0,56.5,14.8,14.8,92.6,983.6,1.4,231.6,0
2005,1,4,9,0,640.2,926.3,66.5,16.1,16.1,94.4,983.3,2.2,247.4,0
2005,1,4,10,0,841.3,977.0,73.3,17.3,17.3,95.2,982.8,2.7,250.3,0
2005,1,4,11,0,992.5,1005.1,77.8,18.2,18.2,95.0,982.4,3.1,249.0,0
2005,1,4,12,0,1081.5,1019.1,80.3,20.1,20.1,91.6,980.6,2.2,247.2,0
2005,1,4,13,0,1101.2,1022.4,80.4,21.0,21.0,90.7,980.1,2.4,248.9,0
2005,1,4,14,0,1050.3,1015.3,78.7,20.5,20.5,90.9,979.5,2.4,249.1,0
2005,1,4,15,0,932.6,996.3,74.9,20.3,20.3,89.6,979.7,2.3,249.8,0
2005,1,4,16,0,412.1,162.9,295.4,19.8,19.8,89.4,979.9,2.0,249.4,0
2005,1,4,17,0,216.4,49.7,189.8,18.9,18.9,90.2,979.9,1.6,247.4,0
2005,1,4,18,0,103.0,0.0,103.0,17.9,17.9,85.1,980.7,0.6,260.6,0
2005,1,4,19,0,71.2,424.9,26.3,17.0,17.0,84.2,981.1,0.4,349.0,0
2005,1,4,20,0,0.0,0.0,0.0,16.2,16.2,82.3,981.6,1.3,51.0,0
2005,1,4,21,0,0.0,0.0,0.0,15.4,15.4,82.7,981.4,1.7,57.5,0
2005,1,4,22,0,0.0,0.0,0.0,14.8,14.8,82.3,981.3,1.9,56.8,0
2005,1,4,23,0,0.0,0.0,0.0,14.3,14.3,81.1,981.3,2.0,49.6,0
2005,1,5,0,0,0.0,0.0,0.0,13.4,13.4,82.5,981.3,1.7,100.4,0
2005,1,5,1,0,0.0,0.0,0.0,13.1,13.1,82.1,981.3,1.8,93.0,0
2005,1,5,2,0,0.0,0.0,0.0,12.8,12.8,82.2,981.4,1.8,107.9,0
2005,1,5,3,0,0.0,0.0,0.0,12.4,12.4,80.6,981.4,1.8,115.5,0
2005,1,5,4,0,0.0,0.0,0.0,12.2,12.2,79.7,981.3,1.8,125.5,0
2005,1,5,5,0,0.0,0.0,0.0,11.9,11.9,79.7,981.2,1.7,134.3,0
2005,1,5,6,0,0.0,0.0,0.0,11.4,11.4,82.6,982.3,1.7,136.9,0
2005,1,5,7,0,37.4,0.0,37.4,13.0,13.0,86.3,982.4,1.2,159.0,0
2005,1,5,8,0,52.1,0.0,52.1,14.7,14.7,89.4,982.4,1.5,200.5,0
2005,1,5,9,0,641.1,939.9,60.6,16.0,16.0,90.7,982.1,2.1,225.7,0
2005,1,5,10,0,842.2,988.7,66.2,17.2,17.2,91.0,981.6,2.5,234.2,0
2005,1,5,11,0,993.5,1016.1,69.7,18.2,18.2,90.3,981.1,2.8,234.8,0
2005,1,5,12,0,1082.8,1029.9,71.4,19.8,19.8,89.8,979.6,2.2,237.7,0
2005,1,5,13,0,1103.1,1032.8,71.8,20.8,20.8,87.8,979.3,2.4,240.4,0
2005,1,5,14,0,1052.8,1025.8,70.7,20.4,20.4,86.9,978.8,2.4,240.9,0
2005,1,5,15,0,935.8,1007.4,67.8,20.0,20.0,86.2,979.0,2.3,240.2,0
2005,1,5,16,0,761.5,973.2,63.2,19.3,19.3,86.6,979.1,2.0,237.5,0
