DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-18.476157
LONGITUD,-70.284228
ALTURA,0.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2004-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.36,1.20,1.00,0.00
2004-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.08,1.17,1.00,0.00
2004-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.80,1.14,1.00,0.00
2004-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.61,1.21,1.00,0.00
2004-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.45,1.28,1.00,0.00
2004-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.33,1.38,1.00,0.00
2004-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.32,1.15,1.00,0.00
2004-01-01 07:00:00,72.03,28.92,42.38,0.73,123.96,80.52,43.44,438.95,16.23,0.45,0.00,0.00
2004-01-01 08:00:00,279.17,210.81,66.30,2.07,352.50,284.54,67.96,699.84,18.11,0.37,0.00,0.00
2004-01-01 09:00:00,506.05,422.21,80.42,3.42,581.74,499.30,82.44,817.59,19.83,1.31,0.00,0.00
2004-01-01 10:00:00,708.12,613.59,89.94,4.58,780.66,688.46,92.20,880.92,21.39,2.27,0.00,0.00
2004-01-01 11:00:00,861.50,759.87,96.17,5.46,929.98,831.40,98.58,915.94,22.74,3.22,0.00,0.00
2004-01-01 12:00:00,951.16,845.68,99.50,5.97,1016.86,914.86,102.00,933.11,23.45,3.63,0.00,0.00
2004-01-01 13:00:00,969.35,863.25,100.03,6.08,1034.48,931.94,102.54,936.74,24.24,3.71,0.00,0.00
2004-01-01 14:00:00,913.94,810.37,97.81,5.76,980.86,880.60,100.26,926.97,23.76,3.62,0.00,0.00
2004-01-01 15:00:00,790.04,692.20,92.79,5.05,860.56,765.44,95.12,901.71,23.29,3.40,0.00,0.00
2004-01-01 16:00:00,609.16,520.31,84.83,4.02,683.68,596.72,86.96,854.54,22.60,3.06,0.00,0.00
2004-01-01 17:00:00,390.47,314.53,73.20,2.74,466.26,391.22,75.04,769.22,21.74,2.66,0.00,0.00
2004-01-01 18:00:00,76.41,0.00,75.95,0.46,77.86,0.00,77.86,0.00,21.06,2.57,0.00,1.00
2004-01-01 19:00:00,19.38,0.00,19.20,0.18,30.30,10.62,19.68,162.38,20.17,1.76,0.00,0.00
2004-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.31,1.13,1.00,0.00
2004-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.54,0.72,1.00,0.00
2004-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.85,0.58,1.00,0.00
2004-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.25,0.53,1.00,0.00
2004-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,0.76,1.00,0.00
