Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-18.4762,-70.2842,-4,0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2004,1,1,0,0,0.0,0.0,0.0,16.4,16.4,93.9,999.1,1.2,92.0,0
2004,1,1,1,0,0.0,0.0,0.0,16.1,16.1,93.3,999.0,1.2,96.4,0
2004,1,1,2,0,0.0,0.0,0.0,15.8,15.8,92.7,999.0,1.1,104.3,0
2004,1,1,3,0,0.0,0.0,0.0,15.6,15.6,92.3,999.1,1.2,114.8,0
2004,1,1,4,0,0.0,0.0,0.0,15.4,15.4,92.1,999.3,1.3,125.1,0
2004,1,1,5,0,0.0,0.0,0.0,15.3,15.3,92.0,999.6,1.4,134.4,0
2004,1,1,6,0,0.0,0.0,0.0,14.3,14.3,94.9,999.6,1.1,178.3,0
2004,1,1,7,0,124.0,439.0,43.4,16.2,16.2,92.9,1000.0,0.5,199.0,0
2004,1,1,8,0,352.5,699.8,68.0,18.1,18.1,90.7,1000.4,0.4,251.7,0
2004,1,1,9,0,581.7,817.6,82.4,19.8,19.8,89.0,1000.1,1.3,268.3,0
2004,1,1,10,0,780.7,880.9,92.2,21.4,21.4,87.4,999.9,2.3,266.8,0
2004,1,1,11,0,930.0,915.9,98.6,22.7,22.7,85.9,999.6,3.2,261.9,0
2004,1,1,12,0,1016.9,933.1,102.0,23.4,23.4,89.5,999.4,3.6,253.7,0
2004,1,1,13,0,1034.5,936.7,102.5,24.2,24.2,88.3,999.2,3.7,254.5,0
2004,1,1,14,0,980.9,927.0,100.3,23.8,23.8,88.2,999.0,3.6,258.3,0
2004,1,1,15,0,860.6,901.7,95.1,23.3,23.3,88.3,998.9,3.4,260.2,0
2004,1,1,16,0,683.7,854.5,87.0,22.6,22.6,89.6,998.8,3.1,265.9,0
2004,1,1,17,0,466.3,769.2,75.0,21.7,21.7,91.9,998.6,2.7,277.1,0
2004,1,1,18,0,77.9,0.0,77.9,21.1,21.1,94.0,999.0,2.6,297.0,0
2004,1,1,19,0,30.3,162.4,19.7,20.2,20.2,97.5,999.5,1.8,303.3,0
2004,1,1,20,0,0.0,0.0,0.0,19.3,19.3,100.0,999.8,1.1,311.7,0
2004,1,1,21,0,0.0,0.0,0.0,18.5,18.5,100.0,999.9,0.7,327.5,0
2004,1,1,22,0,0.0,0.0,0.0,17.8,17.8,100.0,999.8,0.6,356.3,0
2004,1,1,23,0,0.0,0.0,0.0,17.2,17.2,99.9,999.7,0.5,48.2,0
2004,1,2,0,0,0.0,0.0,0.0,17.6,17.6,97.2,1000.0,0.8,63.4,0
2004,1,2,1,0,0.0,0.0,0.0,17.1,17.1,96.2,999.9,0.8,94.7,0
2004,1,2,2,0,0.0,0.0,0.0,16.6,16.6,95.2,999.8,0.9,119.3,0
2004,1,2,3,0,0.0,0.0,0.0,16.1,16.1,94.7,999.8,1.0,124.2,0
2004,1,2,4,0,0.0,0.0,0.0,15.7,15.7,94.2,999.9,1.0,130.5,0
2004,1,2,5,0,0.0,0.0,0.0,15.3,15.3,93.8,1000.1,1.1,137.4,0
2004,1,2,6,0,0.0,0.0,0.0,14.0,14.0,93.1,1000.7,1.3,175.2,0
2004,1,2,7,0,36.3,22.2,32.3,16.1,16.1,91.1,1001.0,0.6,188.9,0
2004,1,2,8,0,353.1,709.3,66.1,18.1,18.1,88.8,1001.3,0.2,239.5,0
2004,1,2,9,0,219.6,40.9,194.7,20.1,20.1,86.7,1000.8,1.2,262.5,0
2004,1,2,10,0,783.2,889.5,89.1,22.0,22.0,84.7,1000.4,2.2,263.1,0
2004,1,2,11,0,933.6,924.4,95.2,23.7,23.7,82.9,1000.0,3.1,259.2,0
