DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-22.45852
LONGITUD,-68.900135
ALTURA,2298.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2012-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.86,2.58,1.00,0.00
2012-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.13,3.61,1.00,0.00
2012-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.48,4.44,1.00,0.00
2012-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.79,4.90,1.00,0.00
2012-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.26,5.06,1.00,0.00
2012-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,4.91,1.00,0.00
2012-01-01 06:00:00,1.89,0.00,1.87,0.02,1.94,0.00,1.94,0.00,5.98,3.87,1.00,0.00
2012-01-01 07:00:00,98.67,0.00,97.79,0.89,101.48,0.00,101.48,0.00,9.71,3.93,0.00,1.00
2012-01-01 08:00:00,348.26,305.47,38.76,4.03,461.56,421.34,40.22,948.61,13.46,3.13,0.00,0.00
2012-01-01 09:00:00,599.11,548.33,44.63,6.15,703.40,657.08,46.32,1025.87,16.83,1.51,0.00,0.00
2012-01-01 10:00:00,815.29,758.38,48.97,7.93,907.98,857.16,50.82,1066.86,19.83,0.87,0.00,0.00
2012-01-01 11:00:00,975.26,914.02,52.00,9.25,1058.24,1004.28,53.96,1089.40,22.28,3.79,0.00,0.00
