Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-22.4585,-68.9001,-4,2298
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2012,1,1,0,0,0.0,0.0,0.0,9.9,9.9,61.1,772.9,2.6,90.4,0
2012,1,1,1,0,0.0,0.0,0.0,9.1,9.1,62.8,772.9,3.6,83.2,0
2012,1,1,2,0,0.0,0.0,0.0,8.5,8.5,64.8,773.0,4.4,81.7,0
2012,1,1,3,0,0.0,0.0,0.0,7.8,7.8,63.6,773.2,4.9,82.5,0
2012,1,1,4,0,0.0,0.0,0.0,7.3,7.3,62.5,773.3,5.1,84.4,0
2012,1,1,5,0,0.0,0.0,0.0,6.9,6.9,61.4,773.5,4.9,87.3,0
2012,1,1,6,0,1.9,0.0,1.9,6.0,6.0,66.6,774.4,3.9,85.8,0
2012,1,1,7,0,101.5,0.0,101.5,9.7,9.7,59.0,774.4,3.9,83.5,0
2012,1,1,8,0,461.6,948.6,40.2,13.5,13.5,52.2,774.4,3.1,82.4,0
2012,1,1,9,0,703.4,1025.9,46.3,16.8,16.8,47.2,774.1,1.5,82.4,0
2012,1,1,10,0,908.0,1066.9,50.8,19.8,19.8,43.8,773.7,0.9,239.3,0
2012,1,1,11,0,1058.2,1089.4,54.0,22.3,22.3,42.3,773.2,3.8,256.1,0
2012,1,1,12,0,1142.3,1100.1,55.7,22.3,22.3,45.6,772.8,4.6,254.4,0
2012,1,1,13,0,1152.5,1100.4,56.1,23.4,23.4,44.8,772.6,4.9,255.2,0
2012,1,1,14,0,1089.2,1091.5,55.1,24.3,24.3,44.6,772.3,5.0,256.1,0
2012,1,1,15,0,957.3,1071.6,52.7,25.0,25.0,43.4,772.2,4.9,257.4,0
2012,1,1,16,0,767.0,1035.8,48.8,24.5,24.5,42.9,772.1,4.6,258.7,0
2012,1,1,17,0,534.0,970.4,43.2,23.9,23.9,43.1,771.9,4.2,259.9,0
2012,1,1,18,0,280.2,834.2,35.2,21.6,21.6,35.5,771.5,2.8,251.2,0
2012,1,1,19,0,46.3,399.2,17.7,18.8,18.8,39.4,772.0,2.2,257.3,0
2012,1,1,20,0,0.0,0.0,0.0,16.2,16.2,43.4,772.4,1.4,260.4,0
2012,1,1,21,0,0.0,0.0,0.0,14.2,14.2,46.6,772.5,0.3,259.0,0
2012,1,1,22,0,0.0,0.0,0.0,12.6,12.6,49.6,772.6,1.2,244.6,0
2012,1,1,23,0,0.0,0.0,0.0,11.5,11.5,52.0,772.6,2.7,172.8,0
2012,1,2,0,0,0.0,0.0,0.0,10.4,10.4,49.3,772.5,2.2,91.8,0
2012,1,2,1,0,0.0,0.0,0.0,9.4,9.4,51.5,772.5,3.1,82.9,0
2012,1,2,2,0,0.0,0.0,0.0,8.4,8.4,54.1,772.4,3.9,81.1,0
2012,1,2,3,0,0.0,0.0,0.0,7.7,7.7,55.9,772.7,4.3,81.8,0
2012,1,2,4,0,0.0,0.0,0.0,7.0,7.0,57.8,773.0,4.4,84.0,0
2012,1,2,5,0,0.0,0.0,0.0,6.6,6.6,59.8,773.3,4.2,87.5,0
2012,1,2,6,0,0.0,0.0,0.0,4.2,4.2,72.1,774.3,3.6,85.7,0
2012,1,2,7,0,90.4,0.0,90.4,7.6,7.6,65.1,774.5,3.8,83.5,0
2012,1,2,8,0,271.1,111.5,221.9,11.1,11.1,58.8,774.5,3.1,82.8,0
2012,1,2,9,0,512.8,284.0,331.3,14.5,14.5,53.9,774.4,1.5,85.4,0
2012,1,2,10,0,550.3,262.3,339.9,17.5,17.5,50.6,774.2,0.8,229.2,0
2012,1,2,11,0,701.8,341.8,386.9,20.0,20.0,49.1,773.9,3.7,251.7,0
2012,1,2,12,0,793.7,387.0,411.6,20.2,20.2,45.4,772.6,5.1,257.6,0
2012,1,2,13,0,832.9,412.6,421.7,21.2,21.2,44.2,772.5,5.4,258.9,0
2012,1,2,14,0,761.5,377.6,403.5,22.1,22.1,43.4,772.4,5.6,260.1,0
2012,1,2,15,0,691.7,361.5,386.2,22.7,22.7,42.1,772.1,5.5,261.1,0
2012,1,2,16,0,541.3,289.6,340.1,22.4,22.4,41.4,771.7,5.2,262.0,0
2012,1,2,17,0,525.0,946.5,45.2,22.0,22.0,41.5,771.3,4.8,262.9,0
2012,1,2,18,0,275.0,808.8,36.4,20.3,20.3,46.5,771.9,3.0,248.8,0
2012,1,2,19,0,45.6,377.5,18.0,17.6,17.6,50.2,772.0,2.3,254.8,0
2012,1,2,20,0,0.0,0.0,0.0,15.0,15.0,53.9,772.2,1.4,257.7,0
2012,1,2,21,0,0.0,0.0,0.0,13.1,13.1,56.7,772.5,0.4,255.1,0
2012,1,2,22,0,0.0,0.0,0.0,11.6,11.6,59.0,772.7,1.3,238.6,0
