DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-32.772383880381746
LONGITUD,-71.18571363903652
ALTURA,221.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2012-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.50,0.47,1.00,0.00
2012-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.90,0.37,1.00,0.00
2012-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.31,0.32,1.00,0.00
2012-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.77,0.21,1.00,0.00
2012-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.29,0.35,1.00,0.00
2012-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.86,0.47,1.00,0.00
2012-01-01 06:00:00,15.96,0.00,15.63,0.33,17.00,0.00,17.00,0.00,13.71,0.54,1.00,0.00
2012-01-01 07:00:00,54.80,0.12,53.54,1.14,58.90,0.66,58.24,2.62,15.84,0.65,0.00,1.00
2012-01-01 08:00:00,104.66,0.00,102.51,2.16,111.50,0.00,111.50,0.00,18.22,1.01,0.00,1.00
2012-01-01 09:00:00,506.65,394.14,100.72,11.79,609.14,499.58,109.56,789.42,21.12,1.60,0.00,0.00
2012-01-01 10:00:00,710.37,581.29,113.70,15.37,793.96,670.28,123.68,852.23,24.02,2.33,0.00,0.00
2012-01-01 11:00:00,867.75,726.85,122.82,18.08,933.94,800.34,133.60,888.28,26.76,3.17,0.00,0.00
2012-01-01 12:00:00,962.04,814.15,128.21,19.69,1016.94,877.48,139.46,906.02,29.21,3.87,0.00,0.00
