Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-32.7724,-71.1857,-4,221
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2012,1,1,0,0,0.0,0.0,0.0,15.5,15.5,93.7,984.8,0.5,237.2,0
2012,1,1,1,0,0.0,0.0,0.0,14.9,14.9,94.7,984.7,0.4,247.1,0
2012,1,1,2,0,0.0,0.0,0.0,14.3,14.3,95.5,984.6,0.3,256.8,0
2012,1,1,3,0,0.0,0.0,0.0,13.8,13.8,96.3,985.0,0.2,267.8,0
2012,1,1,4,0,0.0,0.0,0.0,13.3,13.3,96.9,985.5,0.3,279.4,0
2012,1,1,5,0,0.0,0.0,0.0,12.9,12.9,97.3,986.1,0.5,290.6,0
2012,1,1,6,0,17.0,0.0,17.0,13.7,13.7,95.6,985.8,0.5,236.5,0
2012,1,1,7,0,58.9,2.6,58.2,15.8,15.8,90.8,986.3,0.7,232.8,0
2012,1,1,8,0,111.5,0.0,111.5,18.2,18.2,85.4,986.8,1.0,228.5,0
2012,1,1,9,0,609.1,789.4,109.6,21.1,21.1,80.4,986.6,1.6,227.6,0
2012,1,1,10,0,794.0,852.2,123.7,24.0,24.0,75.4,986.3,2.3,226.7,0
2012,1,1,11,0,933.9,888.3,133.6,26.8,26.8,71.0,986.1,3.2,226.0,0
2012,1,1,12,0,1016.9,906.0,139.5,29.2,29.2,72.3,987.4,3.9,204.2,0
2012,1,1,13,0,1037.8,912.4,139.5,30.8,30.8,71.3,986.9,3.7,204.8,0
2012,1,1,14,0,992.8,904.5,135.5,32.2,32.2,71.8,986.4,3.7,205.3,0
2012,1,1,15,0,886.2,881.1,127.6,31.6,31.6,71.3,986.0,3.7,205.3,0
2012,1,1,16,0,727.0,837.2,115.8,30.8,30.8,72.5,985.6,3.7,205.1,0
2012,1,1,17,0,529.5,761.9,100.0,29.8,29.8,75.1,985.1,3.8,204.7,0
2012,1,1,18,0,139.5,3.1,138.4,28.8,28.8,78.7,985.5,2.6,221.7,0
2012,1,1,19,0,110.7,368.8,47.3,26.0,26.0,84.6,985.5,1.9,220.8,0
2012,1,1,20,0,0.0,0.0,0.0,23.5,23.5,89.7,985.3,1.4,222.0,0
2012,1,1,21,0,0.0,0.0,0.0,21.4,21.4,93.5,985.5,1.2,229.2,0
2012,1,1,22,0,0.0,0.0,0.0,19.8,19.8,95.9,985.5,1.2,242.0,0
2012,1,1,23,0,0.0,0.0,0.0,18.7,18.7,96.9,985.4,1.3,251.9,0
2012,1,2,0,0,0.0,0.0,0.0,16.1,16.1,99.7,983.3,0.5,252.9,0
2012,1,2,1,0,0.0,0.0,0.0,15.3,15.3,100.0,983.1,0.5,262.9,0
2012,1,2,2,0,0.0,0.0,0.0,14.4,14.4,100.0,983.1,0.5,271.6,0
2012,1,2,3,0,0.0,0.0,0.0,13.7,13.7,100.0,983.8,0.5,275.8,0
2012,1,2,4,0,0.0,0.0,0.0,12.9,12.9,100.0,984.7,0.5,278.5,0
2012,1,2,5,0,0.0,0.0,0.0,12.3,12.3,100.0,985.7,0.4,278.7,0
2012,1,2,6,0,15.9,0.0,15.9,11.7,11.7,100.0,986.2,1.5,250.7,0
2012,1,2,7,0,191.8,539.0,57.2,13.7,13.7,100.0,986.9,1.8,245.5,0
2012,1,2,8,0,409.1,736.6,78.8,15.9,15.9,100.0,987.6,2.3,239.3,0
2012,1,2,9,0,623.4,840.8,92.7,18.9,18.9,96.1,987.3,2.7,238.3,0
2012,1,2,10,0,809.8,901.3,102.1,21.8,21.8,89.9,987.0,3.2,236.7,0
