DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-29.030197
LONGITUD,-71.435711
ALTURA,184.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2006-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,3.62,1.00,0.00
2006-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.27,3.00,1.00,0.00
2006-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.15,2.35,1.00,0.00
2006-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.99,1.56,1.00,0.00
2006-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.83,0.80,1.00,0.00
2006-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.11,1.00,0.00
2006-01-01 06:00:00,6.17,0.00,6.07,0.10,6.48,0.00,6.48,0.00,16.41,5.05,1.00,0.00
2006-01-01 07:00:00,60.04,0.00,59.09,0.95,63.04,0.00,63.04,0.00,16.81,5.60,0.00,1.00
2006-01-01 08:00:00,114.47,0.76,111.90,1.81,120.56,1.18,119.38,2.72,17.49,6.10,0.00,1.00
2006-01-01 09:00:00,240.91,31.79,205.23,3.89,258.86,39.90,218.96,63.94,18.38,5.48,0.00,1.00
2006-01-01 10:00:00,752.99,657.31,82.95,12.73,846.00,757.50,88.50,965.64,19.42,5.21,0.00,0.00
2006-01-01 11:00:00,918.97,815.69,88.29,14.99,996.14,901.94,94.20,997.14,20.54,5.58,0.00,0.00
2006-01-01 12:00:00,1019.09,911.25,91.50,16.34,1086.08,988.46,97.62,1012.97,20.09,6.15,0.00,0.00
2006-01-01 13:00:00,1045.05,936.65,91.71,16.69,1109.46,1011.62,97.84,1018.19,20.28,5.78,0.00,0.00
2006-01-01 14:00:00,993.64,887.82,89.81,16.00,1063.50,967.68,95.82,1011.63,20.36,5.58,0.00,0.00
2006-01-01 15:00:00,869.58,769.39,85.86,14.32,952.00,860.40,91.60,992.11,19.71,5.46,0.00,0.00
2006-01-01 16:00:00,683.83,592.35,79.69,11.79,783.48,698.46,85.02,954.40,18.93,5.55,0.00,0.00
2006-01-01 17:00:00,455.63,376.07,70.95,8.61,572.44,496.74,75.70,887.86,18.04,5.76,0.00,0.00
2006-01-01 18:00:00,214.05,150.71,58.24,5.09,338.16,276.02,62.14,762.93,16.00,8.02,0.00,0.00
2006-01-01 19:00:00,37.97,0.00,36.29,1.68,111.48,72.76,38.72,477.21,14.03,7.56,0.00,0.00
