Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-29.0302,-71.4357,-4,184
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2006,1,1,0,0,0.0,0.0,0.0,17.4,17.4,100.0,989.8,3.6,176.2,0
2006,1,1,1,0,0.0,0.0,0.0,17.3,17.3,100.0,990.0,3.0,176.8,0
2006,1,1,2,0,0.0,0.0,0.0,17.1,17.1,100.0,990.4,2.4,177.9,0
2006,1,1,3,0,0.0,0.0,0.0,17.0,17.0,100.0,990.9,1.6,183.4,0
2006,1,1,4,0,0.0,0.0,0.0,16.8,16.8,99.7,991.4,0.8,216.2,0
2006,1,1,5,0,0.0,0.0,0.0,16.7,16.7,99.0,992.1,0.1,329.4,0
2006,1,1,6,0,6.5,0.0,6.5,16.4,16.4,96.8,993.2,5.0,354.8,0
2006,1,1,7,0,63.0,0.0,63.0,16.8,16.8,94.5,993.6,5.6,355.3,0
2006,1,1,8,0,120.6,2.7,119.4,17.5,17.5,90.9,993.9,6.1,352.3,0
2006,1,1,9,0,258.9,63.9,219.0,18.4,18.4,86.1,993.9,5.5,345.0,0
2006,1,1,10,0,846.0,965.6,88.5,19.4,19.4,80.4,993.8,5.2,332.7,0
2006,1,1,11,0,996.1,997.1,94.2,20.5,20.5,74.2,993.6,5.6,316.6,0
2006,1,1,12,0,1086.1,1013.0,97.6,20.1,20.1,72.9,993.3,6.2,304.2,0
2006,1,1,13,0,1109.5,1018.2,97.8,20.3,20.3,70.6,993.1,5.8,288.2,0
2006,1,1,14,0,1063.5,1011.6,95.8,20.4,20.4,69.3,992.7,5.6,270.4,0
2006,1,1,15,0,952.0,992.1,91.6,19.7,19.7,69.7,992.3,5.5,250.2,0
2006,1,1,16,0,783.5,954.4,85.0,18.9,18.9,71.2,991.8,5.5,231.8,0
2006,1,1,17,0,572.4,887.9,75.7,18.0,18.0,73.9,991.3,5.8,216.6,0
2006,1,1,18,0,338.2,762.9,62.1,16.0,16.0,82.4,991.4,8.0,191.5,0
2006,1,1,19,0,111.5,477.2,38.7,14.0,14.0,90.0,991.2,7.6,184.9,0
2006,1,1,20,0,0.0,0.0,0.0,12.4,12.4,96.2,990.9,7.2,179.9,0
2006,1,1,21,0,0.0,0.0,0.0,11.1,11.1,99.2,991.0,6.4,177.2,0
2006,1,1,22,0,0.0,0.0,0.0,10.2,10.2,100.0,990.9,5.6,176.2,0
2006,1,1,23,0,0.0,0.0,0.0,10.8,10.8,98.9,990.7,5.0,177.3,0
2006,1,2,0,0,0.0,0.0,0.0,12.5,12.5,99.2,990.7,5.0,177.2,0
2006,1,2,1,0,0.0,0.0,0.0,12.8,12.8,99.8,990.9,4.2,178.1,0
2006,1,2,2,0,0.0,0.0,0.0,13.1,13.1,100.0,991.2,3.5,179.7,0
2006,1,2,3,0,0.0,0.0,0.0,13.5,13.5,100.0,991.3,2.6,182.6,0
2006,1,2,4,0,0.0,0.0,0.0,14.0,14.0,99.9,991.5,1.8,188.7,0
2006,1,2,5,0,0.0,0.0,0.0,14.4,14.4,99.6,991.8,1.1,206.3,0
2006,1,2,6,0,5.7,0.0,5.7,15.0,15.0,95.6,992.3,2.5,352.9,0
2006,1,2,7,0,63.6,0.0,63.6,15.9,15.9,93.4,992.3,2.6,353.4,0
2006,1,2,8,0,170.2,24.6,159.5,17.1,17.1,89.7,992.2,2.7,346.8,0
2006,1,2,9,0,313.5,102.9,249.5,18.6,18.6,85.1,992.3,2.9,335.1,0
2006,1,2,10,0,862.4,999.5,79.7,20.3,20.3,79.6,992.3,3.6,319.5,0
2006,1,2,11,0,1015.2,1031.0,83.7,22.1,22.1,73.6,992.2,4.8,305.1,0
2006,1,2,12,0,1107.3,1047.6,85.6,22.5,22.5,70.5,992.8,5.1,270.1,0
2006,1,2,13,0,1130.0,1050.9,86.0,23.3,23.3,68.3,992.6,5.5,254.2,0
2006,1,2,14,0,1083.0,1043.4,84.5,24.0,24.0,67.0,992.4,5.9,240.4,0
2006,1,2,15,0,969.9,1023.8,81.3,23.2,23.2,67.6,992.2,6.3,225.8,0
2006,1,2,16,0,799.6,987.4,76.2,22.4,22.4,69.3,991.9,6.7,213.8,0
2006,1,2,17,0,586.2,923.5,68.6,21.4,21.4,72.1,991.6,7.1,203.9,0
2006,1,2,18,0,348.9,803.9,57.3,19.0,19.0,81.0,991.9,7.4,191.8,0
2006,1,2,19,0,117.3,524.5,36.9,17.0,17.0,88.9,992.0,6.9,184.7,0
2006,1,2,20,0,0.0,0.0,0.0,15.3,15.3,95.5,992.0,6.5,179.2,0
2006,1,2,21,0,0.0,0.0,0.0,14.1,14.1,98.7,991.9,5.9,176.1,0
2006,1,2,22,0,0.0,0.0,0.0,13.2,13.2,99.8,991.7,5.3,174.7,0
2006,1,2,23,0,0.0,0.0,0.0,13.5,13.5,98.8,991.3,4.9,175.4,0
2006,1,3,0,0,0.0,0.0,0.0,13.9,13.9,98.8,991.4,4.6,177.1,0
2006,1,3,1,0,0.0,0.0,0.0,13.9,13.9,99.4,991.4,4.0,178.6,0
2006,1,3,2,0,0.0,0.0,0.0,13.9,13.9,100.0,991.5,3.3,181.0,0
2006,1,3,3,0,0.0,0.0,0.0,14.1,14.1,99.9,991.8,2.8,184.6,0
2006,1,3,4,0,0.0,0.0,0.0,14.2,14.2,99.7,992.2,2.3,190.7,0
2006,1,3,5,0,0.0,0.0,0.0,14.3,14.3,99.4,992.6,1.9,202.1,0
2006,1,3,6,0,4.7,0.0,4.7,14.5,14.5,100.0,992.2,1.6,12.5,0
2006,1,3,7,0,52.2,1.3,51.9,15.1,15.1,100.0,992.5,1.8,12.5,0
2006,1,3,8,0,56.8,0.0,56.8,15.9,15.9,96.6,992.7,1.7,1.9,0
2006,1,3,9,0,170.8,22.0,157.2,17.0,17.0,91.6,992.7,1.4,340.3,0
2006,1,3,10,0,194.6,28.3,172.5,18.3,18.3,85.9,992.6,2.0,299.7,0
2006,1,3,11,0,157.1,13.0,145.4,19.7,19.7,79.6,992.3,3.4,273.6,0
2006,1,3,12,0,425.3,134.0,294.7,19.8,19.8,74.7,992.2,5.4,221.0,0
2006,1,3,13,0,1119.1,1045.0,81.0,20.2,20.2,71.9,991.9,6.8,211.9,0
2006,1,3,14,0,1072.8,1037.2,80.1,20.6,20.6,70.2,991.5,8.1,205.1,0
2006,1,3,15,0,961.1,1017.1,77.7,19.8,19.8,70.8,991.1,9.1,198.4,0
2006,1,3,16,0,792.5,980.6,73.3,18.9,18.9,72.4,990.7,9.9,192.6,0
2006,1,3,17,0,306.4,107.3,246.2,18.0,18.0,75.2,990.2,10.6,187.2,0
2006,1,3,18,0,109.8,0.0,109.8,16.0,16.0,82.3,989.8,7.8,189.5,0
2006,1,3,19,0,116.5,519.3,36.4,14.0,14.0,90.0,989.7,7.2,183.7,0
2006,1,3,20,0,0.0,0.0,0.0,12.2,12.2,96.3,989.5,6.7,179.3,0
2006,1,3,21,0,0.0,0.0,0.0,11.0,11.0,99.2,989.5,5.9,176.7,0
