DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-34.971514
LONGITUD,-71.234426
ALTURA,216.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2006-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.35,1.41,1.00,0.00
2006-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.38,1.32,1.00,0.00
2006-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.36,1.18,1.00,0.00
2006-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.55,0.99,1.00,0.00
2006-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.73,0.77,1.00,0.00
2006-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.93,0.52,1.00,0.00
2006-01-01 06:00:00,19.06,0.00,18.26,0.80,36.76,16.68,20.08,253.68,11.67,0.24,0.00,0.00
2006-01-01 07:00:00,82.01,0.00,80.10,1.91,88.06,0.00,88.06,0.00,12.02,0.14,0.00,1.00
2006-01-01 08:00:00,305.45,235.84,59.92,9.68,446.22,380.34,65.88,834.91,13.01,0.08,0.00,0.00
2006-01-01 09:00:00,542.69,458.79,69.62,14.28,658.24,581.70,76.54,918.40,14.92,0.14,0.00,0.00
2006-01-01 10:00:00,754.32,659.37,76.70,18.25,841.00,756.68,84.32,966.07,17.34,0.28,0.00,0.00
2006-01-01 11:00:00,916.46,813.57,81.64,21.24,978.86,889.10,89.76,993.22,20.19,0.48,0.00,0.00
2006-01-01 12:00:00,1013.68,906.03,84.63,23.02,1060.92,967.88,93.04,1006.83,21.32,1.09,0.00,0.00
2006-01-01 13:00:00,1037.60,928.96,85.17,23.46,1081.12,987.48,93.64,1010.49,22.71,1.31,0.00,0.00
2006-01-01 14:00:00,985.65,879.46,83.68,22.51,1037.34,945.34,92.00,1003.73,23.87,1.59,0.00,0.00
2006-01-01 15:00:00,862.31,761.85,80.21,20.25,932.98,844.80,88.18,985.16,24.74,1.64,0.00,0.00
2006-01-01 16:00:00,678.97,587.47,74.66,16.85,776.30,694.22,82.08,950.93,24.55,1.71,0.00,0.00
2006-01-01 17:00:00,454.09,374.67,66.84,12.59,580.04,506.56,73.48,891.85,24.06,1.80,0.00,0.00
2006-01-01 18:00:00,215.82,152.18,55.79,7.85,361.62,300.28,61.34,785.00,22.83,2.25,0.00,0.00
2006-01-01 19:00:00,41.52,0.00,38.35,3.17,146.00,103.84,42.16,557.74,20.70,1.96,0.00,0.00
2006-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.81,1.73,1.00,0.00
2006-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.38,1.38,1.00,0.00
2006-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.39,1.12,1.00,0.00
