Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-34.9715,-71.2344,-4,216
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2006,1,1,0,0,0.0,0.0,0.0,14.4,14.4,97.4,986.5,1.4,201.6,0
2006,1,1,1,0,0.0,0.0,0.0,13.4,13.4,98.4,986.6,1.3,200.0,0
2006,1,1,2,0,0.0,0.0,0.0,12.4,12.4,99.3,986.9,1.2,198.1,0
2006,1,1,3,0,0.0,0.0,0.0,11.5,11.5,99.7,987.0,1.0,195.6,0
2006,1,1,4,0,0.0,0.0,0.0,10.7,10.7,99.9,987.2,0.8,192.6,0
2006,1,1,5,0,0.0,0.0,0.0,9.9,9.9,99.9,987.5,0.5,188.6,0
2006,1,1,6,0,36.8,253.7,20.1,11.7,11.7,99.2,989.0,0.2,192.4,0
2006,1,1,7,0,88.1,0.0,88.1,12.0,12.0,98.2,989.3,0.1,188.1,0
2006,1,1,8,0,446.2,834.9,65.9,13.0,13.0,95.2,989.7,0.1,183.9,0
2006,1,1,9,0,658.2,918.4,76.5,14.9,14.9,91.0,989.6,0.1,198.4,0
2006,1,1,10,0,841.0,966.1,84.3,17.3,17.3,85.2,989.5,0.3,229.3,0
2006,1,1,11,0,978.9,993.2,89.8,20.2,20.2,78.1,989.4,0.5,245.6,0
2006,1,1,12,0,1060.9,1006.8,93.0,21.3,21.3,74.0,988.8,1.1,283.8,0
2006,1,1,13,0,1081.1,1010.5,93.6,22.7,22.7,72.2,989.0,1.3,270.8,0
2006,1,1,14,0,1037.3,1003.7,92.0,23.9,23.9,71.4,989.3,1.6,259.9,0
2006,1,1,15,0,933.0,985.2,88.2,24.7,24.7,70.6,989.1,1.6,252.9,0
2006,1,1,16,0,776.3,950.9,82.1,24.6,24.6,70.9,989.0,1.7,246.7,0
2006,1,1,17,0,580.0,891.9,73.5,24.1,24.1,72.2,988.8,1.8,241.9,0
2006,1,1,18,0,361.6,785.0,61.3,22.8,22.8,73.2,987.8,2.2,233.8,0
2006,1,1,19,0,146.0,557.7,42.2,20.7,20.7,79.9,987.9,2.0,234.2,0
2006,1,1,20,0,0.0,0.0,0.0,18.8,18.8,85.7,987.9,1.7,233.3,0
2006,1,1,21,0,0.0,0.0,0.0,17.4,17.4,90.0,988.1,1.4,231.9,0
2006,1,1,22,0,0.0,0.0,0.0,16.4,16.4,92.8,988.1,1.1,228.6,0
2006,1,1,23,0,0.0,0.0,0.0,15.9,15.9,93.9,988.0,1.0,222.1,0
2006,1,2,0,0,0.0,0.0,0.0,15.0,15.0,96.5,987.7,1.4,197.2,0
2006,1,2,1,0,0.0,0.0,0.0,14.5,14.5,97.5,987.7,1.3,195.6,0
2006,1,2,2,0,0.0,0.0,0.0,14.0,14.0,98.3,987.8,1.1,193.6,0
2006,1,2,3,0,0.0,0.0,0.0,13.6,13.6,98.8,987.9,1.2,189.4,0
2006,1,2,4,0,0.0,0.0,0.0,13.1,13.1,99.0,988.1,1.1,184.7,0
2006,1,2,5,0,0.0,0.0,0.0,12.7,12.7,99.1,988.4,1.1,179.4,0
2006,1,2,6,0,35.4,249.6,19.6,12.6,12.6,96.6,989.1,0.8,194.1,0
2006,1,2,7,0,225.6,675.9,50.2,12.2,12.2,96.2,989.3,0.9,193.3,0
2006,1,2,8,0,447.7,842.9,65.6,13.3,13.3,93.8,989.5,0.9,194.2,0
2006,1,2,9,0,661.9,928.0,75.8,15.2,15.2,90.1,989.2,0.9,194.7,0
2006,1,2,10,0,846.8,976.8,83.1,17.7,17.7,84.9,989.0,1.0,197.0,0
2006,1,2,11,0,986.6,1005.1,87.9,20.6,20.6,78.4,988.7,1.1,200.5,0
2006,1,2,12,0,1070.4,1019.8,90.7,24.2,24.2,69.4,988.5,1.3,226.0,0
2006,1,2,13,0,1090.6,1023.2,91.0,26.1,26.1,66.1,988.0,1.3,223.3,0
2006,1,2,14,0,1046.6,1016.4,89.2,27.7,27.7,63.7,987.5,1.4,221.8,0
2006,1,2,15,0,941.7,998.1,85.4,28.6,28.6,64.1,987.5,1.7,217.9,0
2006,1,2,16,0,784.1,964.5,79.5,27.9,27.9,65.5,987.6,2.0,216.3,0
2006,1,2,17,0,586.8,906.8,71.1,27.0,27.0,68.0,987.7,2.3,215.8,0
2006,1,2,18,0,367.0,802.2,59.5,25.4,25.4,73.3,987.8,2.2,219.0,0
2006,1,2,19,0,149.4,579.1,41.2,22.9,22.9,79.7,988.1,1.9,222.0,0
