DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-26.245556
LONGITUD,-69.967778
ALTURA,1072.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2012-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.71,2.34,1.00,0.00
2012-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.45,2.51,1.00,0.00
2012-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.13,2.62,1.00,0.00
2012-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,2.60,1.00,0.00
2012-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.87,2.52,1.00,0.00
2012-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.24,2.36,1.00,0.00
2012-01-01 06:00:00,6.12,0.00,6.04,0.08,6.36,0.00,6.36,0.00,13.34,3.12,1.00,0.00
2012-01-01 07:00:00,89.02,48.93,37.60,2.49,204.72,165.12,39.60,706.80,16.52,1.51,0.00,0.00
2012-01-01 08:00:00,326.44,271.85,49.14,5.45,448.76,397.00,51.76,893.18,19.76,0.47,0.00,0.00
2012-01-01 09:00:00,572.60,508.06,56.24,8.29,682.80,623.56,59.24,979.08,22.74,1.80,0.00,0.00
2012-01-01 10:00:00,788.07,716.15,61.20,10.72,882.56,818.10,64.46,1025.59,25.43,3.18,0.00,0.00
2012-01-01 11:00:00,949.93,872.81,64.60,12.52,1031.06,963.02,68.04,1051.32,27.67,4.30,0.00,0.00
2012-01-01 12:00:00,1043.34,963.19,66.59,13.56,1116.26,1046.12,70.14,1063.42,30.04,4.99,0.00,0.00
2012-01-01 13:00:00,1060.08,979.32,67.03,13.74,1131.40,1060.80,70.60,1064.84,31.16,6.15,0.00,0.00
2012-01-01 14:00:00,999.11,919.99,66.06,13.06,1075.64,1006.06,69.58,1056.11,32.02,7.00,0.00,0.00
2012-01-01 15:00:00,865.32,790.09,63.65,11.57,952.98,885.94,67.04,1035.09,31.27,7.24,0.00,0.00
2012-01-01 16:00:00,554.54,195.37,351.87,7.30,601.28,230.66,370.62,323.67,30.27,7.08,0.00,1.00
2012-01-01 17:00:00,434.98,374.56,53.72,6.70,551.70,495.12,56.58,929.40,29.08,6.54,0.00,0.00
2012-01-01 18:00:00,187.80,139.53,44.53,3.75,308.54,261.64,46.90,797.18,27.20,5.46,0.00,0.00
2012-01-01 19:00:00,26.91,0.00,25.96,0.95,78.60,51.26,27.34,453.51,24.44,3.19,0.00,0.00
2012-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.86,1.35,1.00,0.00
2012-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.89,0.67,1.00,0.00
2012-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.37,1.35,1.00,0.00
2012-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,1.58,1.00,0.00
2012-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.35,1.69,1.00,0.00
2012-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,1.80,1.00,0.00
2012-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.19,1.85,1.00,0.00
2012-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.55,1.93,1.00,0.00
2012-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.89,1.93,1.00,0.00
2012-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.24,1.87,1.00,0.00
2012-01-02 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.93,3.51,1.00,1.00
2012-01-02 07:00:00,88.00,0.00,86.89,1.11,91.52,0.00,91.52,0.00,14.15,2.00,0.00,1.00
2012-01-02 08:00:00,246.46,29.78,213.42,3.26,268.32,43.52,224.80,98.36,17.42,0.84,0.00,1.00
2012-01-02 09:00:00,463.98,136.58,321.26,6.14,505.96,167.58,338.38,263.85,20.49,1.63,0.00,1.00
2012-01-02 10:00:00,618.39,239.13,371.20,8.06,664.02,273.04,390.98,342.83,23.27,2.97,0.00,1.00
2012-01-02 11:00:00,804.44,371.73,422.33,10.38,854.74,409.90,444.84,447.89,25.60,4.10,0.00,1.00
2012-01-02 12:00:00,923.03,461.67,449.52,11.84,974.58,501.10,473.48,509.60,28.66,5.30,0.00,1.00
2012-01-02 13:00:00,1047.43,963.81,70.05,13.57,1117.00,1043.22,73.78,1047.16,29.78,6.47,0.00,0.00
2012-01-02 14:00:00,987.83,905.89,69.04,12.90,1062.50,989.78,72.72,1038.56,30.64,7.32,0.00,0.00
2012-01-02 15:00:00,855.95,778.06,66.46,11.43,941.48,871.48,70.00,1017.23,29.86,7.48,0.00,0.00
2012-01-02 16:00:00,663.87,592.39,62.20,9.28,763.84,698.32,65.52,978.40,28.84,7.25,0.00,0.00
2012-01-02 17:00:00,430.70,368.26,55.82,6.61,544.28,485.48,58.80,909.54,27.60,6.63,0.00,0.00
2012-01-02 18:00:00,186.80,137.08,46.03,3.69,303.64,255.16,48.48,774.71,25.72,5.32,0.00,0.00
2012-01-02 19:00:00,27.50,0.00,26.56,0.94,77.06,49.08,27.98,430.26,23.00,3.02,0.00,0.00
2012-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.45,1.11,1.00,0.00
2012-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.49,0.50,1.00,0.00
2012-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.99,1.31,1.00,0.00
2012-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.02,1.55,1.00,0.00
2012-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,2.47,1.00,0.00
