Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-26.2456,-69.9678,-4,1072
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2012,1,1,0,0,0.0,0.0,0.0,14.7,14.7,69.8,892.8,2.3,2.8,0
2012,1,1,1,0,0.0,0.0,0.0,14.5,14.5,67.4,893.0,2.5,348.0,0
2012,1,1,2,0,0.0,0.0,0.0,14.1,14.1,65.5,893.2,2.6,339.8,0
2012,1,1,3,0,0.0,0.0,0.0,13.5,13.5,65.6,893.7,2.6,337.5,0
2012,1,1,4,0,0.0,0.0,0.0,12.9,12.9,66.4,894.1,2.5,335.8,0
2012,1,1,5,0,0.0,0.0,0.0,12.2,12.2,67.9,894.4,2.4,334.3,0
2012,1,1,6,0,6.4,0.0,6.4,13.3,13.3,59.1,894.7,3.1,6.5,0
2012,1,1,7,0,204.7,706.8,39.6,16.5,16.5,49.8,894.9,1.5,1.7,0
2012,1,1,8,0,448.8,893.2,51.8,19.8,19.8,41.4,895.0,0.5,322.7,0
2012,1,1,9,0,682.8,979.1,59.2,22.7,22.7,34.0,894.7,1.8,291.5,0
2012,1,1,10,0,882.6,1025.6,64.5,25.4,25.4,28.5,894.3,3.2,280.9,0
2012,1,1,11,0,1031.1,1051.3,68.0,27.7,27.7,25.2,893.9,4.3,277.6,0
2012,1,1,12,0,1116.3,1063.4,70.1,30.0,30.0,25.6,892.5,5.0,243.1,0
2012,1,1,13,0,1131.4,1064.8,70.6,31.2,31.2,25.1,892.3,6.1,236.7,0
2012,1,1,14,0,1075.6,1056.1,69.6,32.0,32.0,24.8,892.0,7.0,232.2,0
2012,1,1,15,0,953.0,1035.1,67.0,31.3,31.3,25.1,891.9,7.2,233.4,0
2012,1,1,16,0,601.3,323.7,370.6,30.3,30.3,25.5,891.9,7.1,234.6,0
2012,1,1,17,0,551.7,929.4,56.6,29.1,29.1,26.0,891.8,6.5,236.1,0
2012,1,1,18,0,308.5,797.2,46.9,27.2,27.2,39.1,892.4,5.5,268.3,0
2012,1,1,19,0,78.6,453.5,27.3,24.4,24.4,48.8,892.5,3.2,277.7,0
2012,1,1,20,0,0.0,0.0,0.0,21.9,21.9,57.6,892.7,1.3,300.3,0
2012,1,1,21,0,0.0,0.0,0.0,19.9,19.9,66.1,892.4,0.7,337.3,0
2012,1,1,22,0,0.0,0.0,0.0,18.4,18.4,72.4,892.2,1.3,355.9,0
2012,1,1,23,0,0.0,0.0,0.0,17.4,17.4,75.9,892.0,1.6,355.0,0
2012,1,2,0,0,0.0,0.0,0.0,15.3,15.3,67.6,892.1,1.7,333.1,0
2012,1,2,1,0,0.0,0.0,0.0,14.8,14.8,66.2,892.1,1.8,329.8,0
2012,1,2,2,0,0.0,0.0,0.0,14.2,14.2,65.3,892.1,1.9,328.1,0
2012,1,2,3,0,0.0,0.0,0.0,13.5,13.5,66.7,892.6,1.9,328.7,0
2012,1,2,4,0,0.0,0.0,0.0,12.9,12.9,68.8,893.1,1.9,329.0,0
2012,1,2,5,0,0.0,0.0,0.0,12.2,12.2,71.5,893.5,1.9,329.1,0
2012,1,2,6,0,0.0,0.0,0.0,10.9,10.9,61.4,894.5,3.5,4.1,0
2012,1,2,7,0,91.5,0.0,91.5,14.1,14.1,53.1,894.8,2.0,0.5,0
2012,1,2,8,0,268.3,98.4,224.8,17.4,17.4,45.6,894.9,0.8,317.8,0
2012,1,2,9,0,506.0,263.8,338.4,20.5,20.5,39.2,894.9,1.6,289.2,0
2012,1,2,10,0,664.0,342.8,391.0,23.3,23.3,34.7,894.7,3.0,280.3,0
2012,1,2,11,0,854.7,447.9,444.8,25.6,25.6,32.5,894.5,4.1,277.7,0
2012,1,2,12,0,974.6,509.6,473.5,28.7,28.7,32.3,892.8,5.3,238.9,0
2012,1,2,13,0,1117.0,1047.2,73.8,29.8,29.8,32.7,892.7,6.5,234.8,0
2012,1,2,14,0,1062.5,1038.6,72.7,30.6,30.6,33.2,892.6,7.3,231.8,0
2012,1,2,15,0,941.5,1017.2,70.0,29.9,29.9,34.1,892.4,7.5,233.1,0
2012,1,2,16,0,763.8,978.4,65.5,28.8,28.8,35.0,892.1,7.2,234.4,0
2012,1,2,17,0,544.3,909.5,58.8,27.6,27.6,36.1,891.9,6.6,236.0,0
2012,1,2,18,0,303.6,774.7,48.5,25.7,25.7,46.4,892.9,5.3,269.5,0
2012,1,2,19,0,77.1,430.3,28.0,23.0,23.0,56.8,892.9,3.0,279.6,0
2012,1,2,20,0,0.0,0.0,0.0,20.4,20.4,66.5,893.0,1.1,301.0,0
2012,1,2,21,0,0.0,0.0,0.0,18.5,18.5,73.5,893.0,0.5,332.0,0
2012,1,2,22,0,0.0,0.0,0.0,17.0,17.0,78.3,893.0,1.3,351.6,0
2012,1,2,23,0,0.0,0.0,0.0,16.0,16.0,80.3,893.1,1.6,352.9,0
2012,1,3,0,0,0.0,0.0,0.0,15.2,15.2,76.0,892.9,2.5,7.7,0
2012,1,3,1,0,0.0,0.0,0.0,14.7,14.7,71.2,893.1,2.7,2.0,0
2012,1,3,2,0,0.0,0.0,0.0,14.2,14.2,67.1,893.3,2.9,357.6,0
2012,1,3,3,0,0.0,0.0,0.0,13.6,13.6,69.6,893.6,3.0,356.1,0
2012,1,3,4,0,0.0,0.0,0.0,12.9,12.9,72.9,893.9,2.9,355.5,0
2012,1,3,5,0,0.0,0.0,0.0,12.2,12.2,76.8,894.1,2.8,355.4,0
2012,1,3,6,0,4.8,0.0,4.8,11.5,11.5,66.0,894.5,3.2,47.7,0
2012,1,3,7,0,190.6,649.3,41.9,14.7,14.7,58.0,894.6,1.6,111.4,0
2012,1,3,8,0,430.0,848.8,56.1,18.1,18.1,50.9,894.6,0.6,173.3,0
2012,1,3,9,0,661.6,941.8,65.0,21.0,21.0,44.5,894.3,1.9,229.1,0
2012,1,3,10,0,860.4,992.7,71.2,23.7,23.7,40.0,893.8,3.2,252.5,0
2012,1,3,11,0,1008.9,1021.1,75.4,26.0,26.0,37.8,893.3,4.4,261.9,0
2012,1,3,12,0,1094.7,1034.6,77.8,28.9,28.9,31.4,891.5,5.1,243.7,0
2012,1,3,13,0,1111.0,1036.7,78.2,30.1,30.1,31.7,891.2,6.1,237.9,0
2012,1,3,14,0,794.1,382.5,429.4,31.0,31.0,32.0,890.8,6.9,233.8,0
2012,1,3,15,0,936.2,1006.1,73.5,30.3,30.3,32.9,890.8,7.1,234.1,0
2012,1,3,16,0,759.0,966.4,68.3,29.4,29.4,33.8,890.9,6.9,234.4,0
2012,1,3,17,0,362.7,159.9,277.1,28.3,28.3,34.9,890.8,6.4,234.9,0
2012,1,3,18,0,160.1,22.7,152.6,26.9,26.9,53.7,891.8,5.2,281.6,0
2012,1,3,19,0,32.1,45.6,26.8,24.4,24.4,64.6,891.8,2.9,300.1,0
2012,1,3,20,0,0.0,0.0,0.0,22.0,22.0,74.6,891.9,1.0,325.1,0
2012,1,3,21,0,0.0,0.0,0.0,19.9,19.9,81.6,892.1,0.7,344.3,0
2012,1,3,22,0,0.0,0.0,0.0,18.3,18.3,86.4,892.2,1.6,354.0,0
2012,1,3,23,0,0.0,0.0,0.0,17.2,17.2,88.4,892.4,1.9,353.5,0
2012,1,4,0,0,0.0,0.0,0.0,15.8,15.8,99.0,891.9,1.6,45.2,0
2012,1,4,1,0,0.0,0.0,0.0,15.2,15.2,95.4,892.1,1.7,34.6,0
2012,1,4,2,0,0.0,0.0,0.0,14.5,14.5,92.4,892.4,1.8,25.4,0
2012,1,4,3,0,0.0,0.0,0.0,13.8,13.8,95.0,893.0,1.7,19.4,0
2012,1,4,4,0,0.0,0.0,0.0,13.1,13.1,98.3,893.5,1.6,16.4,0
2012,1,4,5,0,0.0,0.0,0.0,12.5,12.5,100.0,894.0,1.4,15.4,0
2012,1,4,6,0,0.0,0.0,0.0,10.8,10.8,81.3,894.9,3.3,131.1,0
