DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-24.249089
LONGITUD,-69.107918
ALTURA,3210.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2005-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,2.55,1.00,0.00
2005-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.26,2.88,1.00,0.00
2005-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.47,2.67,1.00,0.00
2005-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,2.92,1.00,0.00
2005-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.43,3.35,1.00,0.00
2005-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.38,3.57,1.00,0.00
2005-01-01 06:00:00,3.46,0.00,3.43,0.04,3.58,0.00,3.58,0.00,5.16,3.91,1.00,0.00
2005-01-01 07:00:00,101.49,74.39,24.63,2.47,238.32,212.58,25.74,911.95,7.95,4.21,0.00,0.00
2005-01-01 08:00:00,369.16,334.29,29.64,5.23,503.64,472.66,30.98,1057.46,11.28,2.52,0.00,0.00
2005-01-01 09:00:00,632.81,593.02,31.99,7.80,751.90,718.46,33.44,1120.06,13.96,1.94,0.00,0.00
2005-01-01 10:00:00,858.80,815.55,33.28,9.97,961.48,926.70,34.78,1154.01,15.41,3.98,0.00,0.00
2005-01-01 11:00:00,1026.32,980.74,34.00,11.58,1115.88,1080.34,35.54,1173.20,16.52,6.54,0.00,0.00
2005-01-01 12:00:00,1120.55,1073.70,34.37,12.47,1202.40,1166.48,35.92,1181.98,17.18,7.53,0.00,0.00
2005-01-01 13:00:00,1134.80,1087.77,34.42,12.61,1215.48,1179.50,35.98,1183.51,18.15,8.97,0.00,0.00
2005-01-01 14:00:00,1067.92,1021.75,34.20,11.97,1154.16,1118.42,35.74,1178.06,19.08,9.50,0.00,0.00
2005-01-01 15:00:00,924.63,880.42,33.60,10.61,1022.38,987.26,35.12,1163.65,20.31,9.82,0.00,0.00
2005-01-01 16:00:00,717.07,675.90,32.55,8.62,830.52,796.50,34.02,1136.99,19.65,9.74,0.00,0.00
2005-01-01 17:00:00,463.28,426.45,30.67,6.16,593.38,561.32,32.06,1088.28,18.65,8.35,0.00,0.00
2005-01-01 18:00:00,189.08,158.84,26.85,3.40,327.52,299.46,28.06,975.89,17.24,6.55,0.00,0.00
2005-01-01 19:00:00,16.59,0.00,15.84,0.74,71.48,54.92,16.56,623.91,15.25,4.81,0.00,0.00
2005-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.22,3.16,1.00,0.00
2005-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.85,2.19,1.00,0.00
2005-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.67,2.04,1.00,0.00
2005-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.69,1.85,1.00,0.00
2005-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.86,1.84,1.00,0.00
2005-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.98,2.43,1.00,0.00
2005-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.24,2.15,1.00,0.00
2005-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.33,2.51,1.00,0.00
2005-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.21,2.77,1.00,0.00
2005-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.18,3.33,1.00,0.00
2005-01-02 06:00:00,3.04,0.00,3.00,0.03,3.14,0.00,3.14,0.00,5.56,3.88,1.00,0.00
2005-01-02 07:00:00,103.50,76.26,24.68,2.56,246.60,220.80,25.80,956.26,7.95,4.00,0.00,0.00
2005-01-02 08:00:00,380.02,344.92,29.72,5.38,518.98,487.92,31.06,1096.58,11.24,2.73,0.00,0.00
2005-01-02 09:00:00,644.91,604.91,32.05,7.95,766.14,732.64,33.50,1145.27,14.89,0.86,0.00,0.00
2005-01-02 10:00:00,868.84,825.44,33.31,10.09,972.30,937.48,34.82,1169.25,17.27,3.19,0.00,0.00
2005-01-02 11:00:00,1032.45,986.79,34.02,11.64,1121.92,1086.36,35.56,1180.79,18.58,5.42,0.00,0.00
2005-01-02 12:00:00,1124.86,1077.98,34.37,12.51,1206.28,1170.36,35.92,1186.36,19.89,6.38,0.00,0.00
2005-01-02 13:00:00,1137.05,1090.05,34.37,12.63,1217.06,1181.14,35.92,1185.02,19.26,8.24,0.00,0.00
2005-01-02 14:00:00,1068.28,1022.18,34.14,11.97,1153.62,1117.94,35.68,1176.88,18.70,8.77,0.00,0.00
2005-01-02 15:00:00,925.59,881.44,33.54,10.61,1022.36,987.30,35.06,1162.56,18.55,8.61,0.00,0.00
2005-01-02 16:00:00,718.47,677.37,32.47,8.62,830.98,797.04,33.94,1135.94,17.98,8.73,0.00,0.00
2005-01-02 17:00:00,465.10,428.34,30.60,6.16,594.24,562.26,31.98,1087.58,16.94,7.92,0.00,0.00
2005-01-02 18:00:00,193.09,162.74,26.90,3.45,332.58,304.46,28.12,988.44,15.82,6.45,0.00,0.00
2005-01-02 19:00:00,16.85,0.00,16.07,0.78,75.06,58.26,16.80,654.11,14.21,4.06,0.00,0.00
2005-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.92,2.85,1.00,0.00
2005-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.68,2.13,1.00,0.00
2005-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.65,1.51,1.00,0.00
2005-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.87,1.53,1.00,0.00
2005-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.81,1.78,1.00,0.00
2005-01-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.85,2.35,1.00,0.00
2005-01-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.19,2.26,1.00,0.00
2005-01-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,2.50,1.00,0.00
2005-01-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.87,2.73,1.00,0.00
2005-01-03 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.36,3.08,1.00,0.00
2005-01-03 06:00:00,2.40,0.00,2.37,0.03,2.48,0.00,2.48,0.00,6.18,3.29,1.00,0.00
2005-01-03 07:00:00,97.87,70.97,24.47,2.42,233.54,207.96,25.58,909.35,7.92,3.74,0.00,0.00
2005-01-03 08:00:00,366.44,331.68,29.56,5.19,500.18,469.28,30.90,1059.15,11.08,1.94,0.00,0.00
2005-01-03 09:00:00,631.49,591.78,31.94,7.78,749.78,716.40,33.38,1122.71,14.71,1.24,0.00,0.00
2005-01-03 10:00:00,859.05,815.82,33.26,9.97,960.76,926.00,34.76,1156.90,16.36,3.77,0.00,0.00
2005-01-03 11:00:00,1028.13,982.56,33.98,11.58,1116.54,1081.02,35.52,1176.04,17.38,5.50,0.00,0.00
2005-01-03 12:00:00,1122.63,1075.83,34.31,12.48,1203.06,1167.20,35.86,1183.57,18.17,6.94,0.00,0.00
2005-01-03 13:00:00,1136.91,1089.96,34.33,12.62,1216.00,1180.12,35.88,1183.88,18.53,8.09,0.00,0.00
2005-01-03 14:00:00,1070.12,1024.07,34.08,11.98,1154.58,1118.96,35.62,1177.35,18.85,8.87,0.00,0.00
2005-01-03 15:00:00,927.02,882.92,33.49,10.61,1022.86,987.86,35.00,1162.08,20.04,9.56,0.00,0.00
2005-01-03 16:00:00,719.68,678.65,32.42,8.62,831.12,797.24,33.88,1134.62,19.43,9.12,0.00,0.00
2005-01-03 17:00:00,466.23,429.54,30.52,6.16,594.20,562.30,31.90,1085.15,18.58,8.42,0.00,0.00
2005-01-03 18:00:00,194.01,163.72,26.85,3.44,331.80,303.74,28.06,982.40,16.89,6.78,0.00,0.00
2005-01-03 19:00:00,16.85,0.00,16.07,0.78,74.86,58.06,16.80,645.56,14.92,4.35,0.00,0.00
2005-01-03 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.18,2.53,1.00,0.00
2005-01-03 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.15,1.32,1.00,0.00
2005-01-03 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.73,1.51,1.00,0.00
