Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-24.2491,-69.1079,-4,3210
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2005,1,1,0,0,0.0,0.0,0.0,8.9,8.9,51.9,697.1,2.5,103.5,0
2005,1,1,1,0,0.0,0.0,0.0,8.3,8.3,49.5,696.6,2.9,60.0,0
2005,1,1,2,0,0.0,0.0,0.0,7.5,7.5,51.8,695.7,2.7,52.5,0
2005,1,1,3,0,0.0,0.0,0.0,6.4,6.4,52.2,694.7,2.9,52.5,0
2005,1,1,4,0,0.0,0.0,0.0,5.4,5.4,47.7,693.8,3.4,85.5,0
2005,1,1,5,0,0.0,0.0,0.0,4.4,4.4,54.5,692.6,3.6,100.5,0
2005,1,1,6,0,3.6,0.0,3.6,5.2,5.2,40.6,694.2,3.9,108.0,0
2005,1,1,7,0,238.3,911.9,25.7,8.0,8.0,49.9,696.0,4.2,121.5,0
2005,1,1,8,0,503.6,1057.5,31.0,11.3,11.3,36.0,697.6,2.5,136.5,0
2005,1,1,9,0,751.9,1120.1,33.4,14.0,14.0,26.0,699.6,1.9,190.5,0
2005,1,1,10,0,961.5,1154.0,34.8,15.4,15.4,37.4,701.3,4.0,240.0,0
2005,1,1,11,0,1115.9,1173.2,35.5,16.5,16.5,19.0,702.7,6.5,252.0,0
2005,1,1,12,0,1202.4,1182.0,35.9,17.2,17.2,15.9,704.5,7.5,253.5,0
2005,1,1,13,0,1215.5,1183.5,36.0,18.2,18.2,7.1,706.0,9.0,253.5,0
2005,1,1,14,0,1154.2,1178.1,35.7,19.1,19.1,13.0,707.8,9.5,264.0,0
2005,1,1,15,0,1022.4,1163.6,35.1,20.3,20.3,14.8,709.5,9.8,264.0,0
2005,1,1,16,0,830.5,1137.0,34.0,19.6,19.6,16.3,708.1,9.7,264.0,0
2005,1,1,17,0,593.4,1088.3,32.1,18.7,18.7,17.6,707.1,8.4,261.0,0
2005,1,1,18,0,327.5,975.9,28.1,17.2,17.2,22.2,705.8,6.5,253.5,0
2005,1,1,19,0,71.5,623.9,16.6,15.3,15.3,23.1,704.6,4.8,241.5,0
2005,1,1,20,0,0.0,0.0,0.0,13.2,13.2,36.4,703.5,3.2,223.5,0
2005,1,1,21,0,0.0,0.0,0.0,11.8,11.8,48.7,702.6,2.2,213.0,0
2005,1,1,22,0,0.0,0.0,0.0,10.7,10.7,50.8,701.2,2.0,193.5,0
2005,1,1,23,0,0.0,0.0,0.0,9.7,9.7,50.4,699.7,1.8,189.0,0
2005,1,2,0,0,0.0,0.0,0.0,8.9,8.9,51.9,698.7,1.8,178.5,0
2005,1,2,1,0,0.0,0.0,0.0,8.0,8.0,53.9,697.8,2.4,190.5,0
2005,1,2,2,0,0.0,0.0,0.0,7.2,7.2,49.5,696.9,2.2,175.5,0
2005,1,2,3,0,0.0,0.0,0.0,6.3,6.3,62.8,696.2,2.5,172.5,0
2005,1,2,4,0,0.0,0.0,0.0,5.2,5.2,55.7,694.6,2.8,153.0,0
2005,1,2,5,0,0.0,0.0,0.0,4.2,4.2,53.5,693.5,3.3,151.5,0
2005,1,2,6,0,3.1,0.0,3.1,5.6,5.6,39.8,696.0,3.9,136.5,0
2005,1,2,7,0,246.6,956.3,25.8,7.9,7.9,47.2,697.6,4.0,136.5,0
2005,1,2,8,0,519.0,1096.6,31.1,11.2,11.2,29.7,699.6,2.7,139.5,0
2005,1,2,9,0,766.1,1145.3,33.5,14.9,14.9,23.6,701.5,0.9,174.0,0
2005,1,2,10,0,972.3,1169.3,34.8,17.3,17.3,39.0,703.5,3.2,255.0,0
2005,1,2,11,0,1121.9,1180.8,35.6,18.6,18.6,19.4,705.2,5.4,259.5,0
2005,1,2,12,0,1206.3,1186.4,35.9,19.9,19.9,21.1,707.0,6.4,247.5,0
2005,1,2,13,0,1217.1,1185.0,35.9,19.3,19.3,19.2,705.9,8.2,244.5,0
2005,1,2,14,0,1153.6,1176.9,35.7,18.7,18.7,14.0,705.1,8.8,255.0,0
2005,1,2,15,0,1022.4,1162.6,35.1,18.6,18.6,17.3,704.1,8.6,253.5,0
2005,1,2,16,0,831.0,1135.9,33.9,18.0,18.0,19.8,703.0,8.7,253.5,0
2005,1,2,17,0,594.2,1087.6,32.0,16.9,16.9,26.1,702.2,7.9,247.5,0
2005,1,2,18,0,332.6,988.4,28.1,15.8,15.8,31.6,701.3,6.4,235.5,0
2005,1,2,19,0,75.1,654.1,16.8,14.2,14.2,37.8,700.3,4.1,219.0,0
2005,1,2,20,0,0.0,0.0,0.0,12.9,12.9,30.9,699.6,2.9,208.5,0
2005,1,2,21,0,0.0,0.0,0.0,11.7,11.7,56.7,698.6,2.1,195.0,0
2005,1,2,22,0,0.0,0.0,0.0,10.6,10.6,51.6,697.3,1.5,193.5,0
2005,1,2,23,0,0.0,0.0,0.0,9.9,9.9,51.8,696.2,1.5,187.5,0
2005,1,3,0,0,0.0,0.0,0.0,8.8,8.8,58.6,695.4,1.8,139.5,0
2005,1,3,1,0,0.0,0.0,0.0,7.8,7.8,59.2,694.5,2.4,48.0,0
2005,1,3,2,0,0.0,0.0,0.0,7.2,7.2,56.1,693.8,2.3,85.5,0
2005,1,3,3,0,0.0,0.0,0.0,6.4,6.4,67.0,693.3,2.5,97.5,0
2005,1,3,4,0,0.0,0.0,0.0,5.9,5.9,76.6,692.2,2.7,144.0,0
2005,1,3,5,0,0.0,0.0,0.0,5.4,5.4,64.7,691.3,3.1,142.5,0
2005,1,3,6,0,2.5,0.0,2.5,6.2,6.2,50.3,693.2,3.3,144.0,0
2005,1,3,7,0,233.5,909.4,25.6,7.9,7.9,54.8,694.4,3.7,139.5,0
2005,1,3,8,0,500.2,1059.2,30.9,11.1,11.1,31.9,695.6,1.9,132.0,0
2005,1,3,9,0,749.8,1122.7,33.4,14.7,14.7,27.2,696.9,1.2,276.0,0
2005,1,3,10,0,960.8,1156.9,34.8,16.4,16.4,48.8,698.3,3.8,274.5,0
2005,1,3,11,0,1116.5,1176.0,35.5,17.4,17.4,24.7,699.3,5.5,271.5,0
2005,1,3,12,0,1203.1,1183.6,35.9,18.2,18.2,28.0,700.4,6.9,258.0,0
2005,1,3,13,0,1216.0,1183.9,35.9,18.5,18.5,29.1,701.6,8.1,258.0,0
2005,1,3,14,0,1154.6,1177.3,35.6,18.8,18.8,18.0,702.9,8.9,256.5,0
2005,1,3,15,0,1022.9,1162.1,35.0,20.0,20.0,20.1,704.3,9.6,252.0,0
2005,1,3,16,0,831.1,1134.6,33.9,19.4,19.4,22.5,702.9,9.1,250.5,0
2005,1,3,17,0,594.2,1085.2,31.9,18.6,18.6,33.2,702.2,8.4,243.0,0
2005,1,3,18,0,331.8,982.4,28.1,16.9,16.9,36.2,700.6,6.8,229.5,0
2005,1,3,19,0,74.9,645.6,16.8,14.9,14.9,43.2,699.8,4.3,216.0,0
2005,1,3,20,0,0.0,0.0,0.0,13.2,13.2,36.7,698.7,2.5,205.5,0
2005,1,3,21,0,0.0,0.0,0.0,12.1,12.1,91.0,698.7,1.3,198.0,0
2005,1,3,22,0,0.0,0.0,0.0,10.7,10.7,50.8,696.8,1.5,190.5,0
2005,1,3,23,0,0.0,0.0,0.0,9.6,9.6,52.2,694.8,1.8,204.0,0
2005,1,4,0,0,0.0,0.0,0.0,8.6,8.6,51.3,692.9,1.7,25.5,0
2005,1,4,1,0,0.0,0.0,0.0,8.0,8.0,60.1,692.0,2.0,7.5,0
2005,1,4,2,0,0.0,0.0,0.0,7.3,7.3,53.0,691.5,1.9,306.0,0
2005,1,4,3,0,0.0,0.0,0.0,6.1,6.1,52.9,691.7,2.5,135.0,0
2005,1,4,4,0,0.0,0.0,0.0,5.2,5.2,66.8,688.9,2.9,124.5,0
2005,1,4,5,0,0.0,0.0,0.0,4.1,4.1,80.2,687.4,3.3,124.5,0
2005,1,4,6,0,1.9,0.0,1.9,5.8,5.8,48.8,690.5,3.6,117.0,0
2005,1,4,7,0,228.8,898.5,25.5,8.4,8.4,61.5,691.5,3.9,106.5,0
2005,1,4,8,0,492.8,1047.7,30.9,11.5,11.5,36.1,693.6,2.1,94.5,0
2005,1,4,9,0,740.6,1111.4,33.3,14.6,14.6,33.3,695.6,1.4,6.0,0
2005,1,4,10,0,950.1,1145.5,34.7,16.6,16.6,52.7,697.2,3.7,301.5,0
2005,1,4,11,0,1104.8,1164.4,35.5,17.8,17.8,30.3,699.1,5.4,288.0,0
