DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-20.213596
LONGITUD,-70.151759
ALTURA,14.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2005-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.54,0.61,1.00,0.00
2005-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.76,0.65,1.00,0.00
2005-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.96,0.70,1.00,0.00
2005-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.45,0.67,1.00,0.00
2005-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.94,0.66,1.00,0.00
2005-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.44,0.67,1.00,0.00
2005-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.82,0.64,1.00,0.00
2005-01-01 07:00:00,76.71,30.86,44.85,1.00,138.82,92.58,46.24,476.64,13.75,0.78,0.00,0.00
2005-01-01 08:00:00,151.18,4.09,145.96,1.13,156.16,5.66,150.50,13.63,15.68,1.11,0.00,1.00
2005-01-01 09:00:00,519.52,433.18,81.97,4.37,603.22,518.70,84.52,840.63,17.31,1.61,0.00,0.00
2005-01-01 10:00:00,724.82,627.45,91.55,5.82,803.58,709.18,94.40,902.06,18.79,2.07,0.00,0.00
2005-01-01 11:00:00,880.53,775.75,97.88,6.90,953.86,852.94,100.92,936.44,20.07,2.45,0.00,0.00
2005-01-01 12:00:00,971.61,862.71,101.37,7.54,1041.26,936.74,104.52,953.19,21.33,2.76,0.00,0.00
2005-01-01 13:00:00,990.12,881.22,101.23,7.66,1059.08,954.70,104.38,957.72,21.17,2.80,0.00,0.00
2005-01-01 14:00:00,934.11,828.43,98.40,7.28,1005.50,904.04,101.46,949.39,20.80,2.74,0.00,0.00
2005-01-01 15:00:00,808.48,709.18,92.89,6.40,884.78,789.00,95.78,926.06,20.74,2.69,0.00,0.00
2005-01-01 16:00:00,624.97,535.22,84.63,5.12,707.12,619.86,87.26,882.02,20.48,2.57,0.00,0.00
2005-01-01 17:00:00,402.66,326.10,73.03,3.53,488.20,412.90,75.30,801.69,20.06,2.38,0.00,0.00
2005-01-01 18:00:00,172.51,114.81,55.88,1.82,250.86,193.24,57.62,641.56,19.48,2.33,0.00,0.00
2005-01-01 19:00:00,22.42,0.00,22.13,0.29,39.92,17.10,22.82,224.93,18.95,1.62,0.00,0.00
2005-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.45,1.02,1.00,0.00
2005-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.98,0.72,1.00,0.00
