Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-20.2136,-70.1518,-4,14
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2005,1,1,0,0,0.0,0.0,0.0,16.5,16.5,94.8,1012.1,0.6,196.1,0
2005,1,1,1,0,0.0,0.0,0.0,15.8,15.8,94.4,1012.0,0.6,199.4,0
2005,1,1,2,0,0.0,0.0,0.0,15.0,15.0,93.8,1011.9,0.7,202.1,0
2005,1,1,3,0,0.0,0.0,0.0,14.4,14.4,93.5,1012.0,0.7,200.5,0
2005,1,1,4,0,0.0,0.0,0.0,13.9,13.9,92.9,1012.1,0.7,198.1,0
2005,1,1,5,0,0.0,0.0,0.0,13.4,13.4,92.2,1012.0,0.7,195.4,0
2005,1,1,6,0,0.0,0.0,0.0,11.8,11.8,93.3,1013.2,0.6,174.8,0
2005,1,1,7,0,138.8,476.6,46.2,13.7,13.7,91.4,1013.3,0.8,181.4,0
2005,1,1,8,0,156.2,13.6,150.5,15.7,15.7,89.5,1013.4,1.1,191.6,0
2005,1,1,9,0,603.2,840.6,84.5,17.3,17.3,88.2,1013.2,1.6,203.2,0
2005,1,1,10,0,803.6,902.1,94.4,18.8,18.8,87.2,1012.9,2.1,211.9,0
2005,1,1,11,0,953.9,936.4,100.9,20.1,20.1,86.6,1012.6,2.5,218.3,0
2005,1,1,12,0,1041.3,953.2,104.5,21.3,21.3,87.5,1011.7,2.8,215.7,0
2005,1,1,13,0,1059.1,957.7,104.4,21.2,21.2,87.6,1011.5,2.8,215.7,0
2005,1,1,14,0,1005.5,949.4,101.5,20.8,20.8,87.9,1011.3,2.7,215.8,0
2005,1,1,15,0,884.8,926.1,95.8,20.7,20.7,88.5,1010.9,2.7,212.0,0
2005,1,1,16,0,707.1,882.0,87.3,20.5,20.5,89.1,1010.5,2.6,208.3,0
2005,1,1,17,0,488.2,801.7,75.3,20.1,20.1,89.9,1010.4,2.4,204.6,0
2005,1,1,18,0,250.9,641.6,57.6,19.5,19.5,91.8,1009.7,2.3,200.3,0
2005,1,1,19,0,39.9,224.9,22.8,18.9,18.9,94.2,1009.9,1.6,201.1,0
2005,1,1,20,0,0.0,0.0,0.0,18.4,18.4,95.7,1010.2,1.0,201.7,0
2005,1,1,21,0,0.0,0.0,0.0,18.0,18.0,96.3,1010.5,0.7,202.8,0
2005,1,1,22,0,0.0,0.0,0.0,17.6,17.6,95.8,1010.9,0.6,203.6,0
2005,1,1,23,0,0.0,0.0,0.0,17.3,17.3,94.5,1011.1,0.6,203.6,0
2005,1,2,0,0,0.0,0.0,0.0,16.9,16.9,91.8,1011.4,0.3,198.6,0
2005,1,2,1,0,0.0,0.0,0.0,16.5,16.5,91.0,1011.4,0.3,211.5,0
2005,1,2,2,0,0.0,0.0,0.0,16.0,16.0,90.0,1011.3,0.4,224.9,0
2005,1,2,3,0,0.0,0.0,0.0,15.7,15.7,90.5,1011.5,0.4,216.3,0
2005,1,2,4,0,0.0,0.0,0.0,15.4,15.4,90.7,1011.7,0.4,206.3,0
2005,1,2,5,0,0.0,0.0,0.0,15.1,15.1,90.7,1011.8,0.5,198.7,0
2005,1,2,6,0,0.0,0.0,0.0,14.7,14.7,92.3,1013.1,0.4,186.5,0
2005,1,2,7,0,144.1,532.8,41.8,16.7,16.7,90.8,1013.3,0.6,197.5,0
2005,1,2,8,0,79.6,0.0,79.6,18.7,18.7,89.5,1013.3,1.1,210.0,0
2005,1,2,9,0,222.7,45.7,194.6,20.2,20.2,88.4,1012.9,1.6,216.3,0
2005,1,2,10,0,816.2,939.1,79.1,21.6,21.6,87.6,1012.5,2.1,221.0,0
2005,1,2,11,0,967.3,971.4,83.3,22.9,22.9,87.2,1012.0,2.5,224.4,0
2005,1,2,12,0,1055.5,987.8,85.1,23.8,23.8,86.4,1011.1,2.6,218.2,0
2005,1,2,13,0,1072.7,989.7,85.9,23.4,23.4,86.6,1010.7,2.7,217.2,0
2005,1,2,14,0,1018.6,980.2,84.6,22.8,22.8,86.9,1010.4,2.7,216.4,0
2005,1,2,15,0,897.4,957.0,81.2,22.5,22.5,87.4,1010.1,2.6,212.6,0
2005,1,2,16,0,719.2,914.4,75.4,22.0,22.0,88.2,1010.0,2.5,209.0,0
2005,1,2,17,0,499.1,837.8,66.6,21.3,21.3,89.0,1010.0,2.3,205.4,0
2005,1,2,18,0,259.4,683.7,52.5,20.5,20.5,91.2,1008.6,2.1,199.8,0
2005,1,2,19,0,42.6,262.3,22.3,19.7,19.7,93.5,1008.9,1.4,200.1,0
2005,1,2,20,0,0.0,0.0,0.0,19.0,19.0,95.0,1009.3,0.8,199.8,0
2005,1,2,21,0,0.0,0.0,0.0,18.2,18.2,95.6,1009.6,0.5,200.3,0
2005,1,2,22,0,0.0,0.0,0.0,17.5,17.5,95.3,1010.0,0.4,200.0,0
2005,1,2,23,0,0.0,0.0,0.0,16.9,16.9,93.9,1010.2,0.4,198.8,0
2005,1,3,0,0,0.0,0.0,0.0,15.7,15.7,95.4,1010.6,0.5,207.7,0
2005,1,3,1,0,0.0,0.0,0.0,15.1,15.1,95.2,1010.6,0.6,212.5,0
2005,1,3,2,0,0.0,0.0,0.0,14.4,14.4,94.7,1010.5,0.6,214.5,0
2005,1,3,3,0,0.0,0.0,0.0,13.9,13.9,94.9,1010.8,0.6,209.4,0
2005,1,3,4,0,0.0,0.0,0.0,13.4,13.4,94.8,1011.0,0.7,203.7,0
2005,1,3,5,0,0.0,0.0,0.0,13.0,13.0,94.4,1011.2,0.7,198.8,0
2005,1,3,6,0,0.0,0.0,0.0,12.3,12.3,93.2,1011.8,0.6,179.4,0
2005,1,3,7,0,139.2,509.0,42.6,14.2,14.2,92.0,1011.9,0.9,187.4,0
2005,1,3,8,0,81.3,0.0,81.3,16.2,16.2,90.9,1012.0,1.4,195.8,0
2005,1,3,9,0,206.7,36.3,184.4,17.8,17.8,89.0,1011.6,1.9,203.1,0
2005,1,3,10,0,805.0,920.7,83.5,19.2,19.2,87.5,1011.2,2.3,209.0,0
2005,1,3,11,0,954.9,952.1,89.1,20.5,20.5,86.4,1010.8,2.7,213.7,0
2005,1,3,12,0,1042.1,967.0,92.2,21.8,21.8,87.1,1009.8,2.6,219.6,0
2005,1,3,13,0,1060.8,971.2,92.3,22.5,22.5,87.1,1009.4,2.7,219.0,0
