Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-20.2535,-69.7782,-4,1032
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2010,1,1,0,0,0.0,0.0,0.0,13.5,13.5,81.5,898.0,2.3,217.0,0
2010,1,1,1,0,0.0,0.0,0.0,13.7,13.7,82.3,898.1,1.4,270.4,0
2010,1,1,2,0,0.0,0.0,0.0,13.4,13.4,84.6,898.1,0.8,279.5,0
2010,1,1,3,0,0.0,0.0,0.0,12.6,12.6,86.6,898.3,1.3,281.4,0
2010,1,1,4,0,0.0,0.0,0.0,9.9,9.9,89.5,898.5,0.3,263.3,0
2010,1,1,5,0,0.0,0.0,0.0,10.5,10.5,93.2,898.7,0.5,193.8,0
2010,1,1,6,0,0.0,0.0,0.0,10.2,10.2,90.0,898.3,0.8,132.6,0
2010,1,1,7,0,164.4,655.8,32.9,9.8,9.8,70.8,898.5,1.2,119.1,0
2010,1,1,8,0,409.2,867.3,44.1,11.4,11.4,53.8,898.5,0.5,117.1,0
2010,1,1,9,0,646.2,957.9,50.1,19.0,19.0,41.8,898.0,1.6,122.0,0
2010,1,1,10,0,849.0,1006.0,54.1,23.7,23.7,34.0,897.5,3.8,139.4,0
2010,1,1,11,0,999.9,1032.5,56.7,26.3,26.3,31.0,896.7,3.7,187.2,0
2010,1,1,12,0,1086.5,1045.1,58.2,28.7,28.7,26.3,895.3,1.2,253.1,0
2010,1,1,13,0,1101.6,1046.9,58.5,31.2,31.2,27.1,895.0,1.3,262.9,0
2010,1,1,14,0,1044.7,1038.5,57.8,29.4,29.4,29.8,894.8,9.6,267.8,0
2010,1,1,15,0,919.7,1017.8,55.9,27.5,27.5,31.6,894.5,9.9,268.2,0
2010,1,1,16,0,736.9,979.6,52.7,26.3,26.3,35.1,894.4,9.7,268.8,0
2010,1,1,17,0,511.6,909.9,47.8,25.1,25.1,40.1,894.3,9.4,269.6,0
2010,1,1,18,0,266.0,766.2,39.4,23.6,23.6,52.2,894.6,8.7,272.0,0
2010,1,1,19,0,41.2,325.6,18.3,21.0,21.0,57.4,895.2,5.9,275.4,0
2010,1,1,20,0,0.0,0.0,0.0,21.1,21.1,64.2,895.7,4.0,278.8,0
2010,1,1,21,0,0.0,0.0,0.0,18.1,18.1,67.4,896.1,3.1,283.9,0
2010,1,1,22,0,0.0,0.0,0.0,17.1,17.1,71.7,896.3,1.6,291.5,0
2010,1,1,23,0,0.0,0.0,0.0,15.5,15.5,76.8,896.3,1.3,311.4,0
2010,1,2,0,0,0.0,0.0,0.0,14.3,14.3,84.7,896.1,1.5,116.2,0
2010,1,2,1,0,0.0,0.0,0.0,14.3,14.3,83.4,896.0,1.4,79.4,0
2010,1,2,2,0,0.0,0.0,0.0,12.7,12.7,83.7,895.8,1.1,99.3,0
2010,1,2,3,0,0.0,0.0,0.0,12.0,12.0,85.5,896.0,0.7,106.3,0
2010,1,2,4,0,0.0,0.0,0.0,10.6,10.6,88.3,896.1,1.0,117.1,0
2010,1,2,5,0,0.0,0.0,0.0,11.0,11.0,91.9,896.2,1.4,123.6,0
2010,1,2,6,0,0.0,0.0,0.0,9.6,9.6,85.5,895.6,0.8,144.0,0
2010,1,2,7,0,160.1,637.9,33.6,11.4,11.4,65.5,895.8,0.8,121.5,0
2010,1,2,8,0,403.7,855.0,45.4,16.6,16.6,47.5,895.9,0.4,119.4,0
2010,1,2,9,0,640.2,948.1,51.8,20.7,20.7,35.3,895.6,1.9,125.6,0
2010,1,2,10,0,842.8,997.3,55.9,25.1,25.1,27.3,895.2,3.1,154.1,0
2010,1,2,11,0,993.7,1024.4,58.6,28.3,28.3,24.1,894.7,2.9,217.3,0
2010,1,2,12,0,1080.4,1037.2,60.1,31.1,31.1,25.1,894.3,4.8,263.9,0
2010,1,2,13,0,1096.0,1039.1,60.4,29.2,29.2,24.6,894.0,7.5,267.5,0
2010,1,2,14,0,1039.6,1030.6,59.6,28.0,28.0,26.0,893.8,8.5,269.8,0
2010,1,2,15,0,915.3,1009.6,57.6,27.7,27.7,27.0,893.5,8.4,269.6,0
2010,1,2,16,0,733.3,970.6,54.2,27.2,27.2,29.8,893.4,8.3,269.9,0
2010,1,2,17,0,509.0,900.1,48.9,26.3,26.3,34.0,893.3,8.6,270.4,0
2010,1,2,18,0,264.5,755.4,40.2,24.8,24.8,49.1,893.8,8.0,271.1,0
2010,1,2,19,0,41.3,316.4,18.6,22.3,22.3,52.3,894.3,5.9,273.4,0
2010,1,2,20,0,0.0,0.0,0.0,19.9,19.9,57.1,894.7,4.7,275.1,0
2010,1,2,21,0,0.0,0.0,0.0,18.7,18.7,60.2,895.4,2.9,277.7,0
2010,1,2,22,0,0.0,0.0,0.0,17.4,17.4,64.5,896.0,2.2,280.2,0
2010,1,2,23,0,0.0,0.0,0.0,16.2,16.2,69.6,896.4,1.2,283.3,0
2010,1,3,0,0,0.0,0.0,0.0,15.0,15.0,74.6,896.1,1.4,325.8,0
2010,1,3,1,0,0.0,0.0,0.0,14.5,14.5,72.3,896.3,1.5,319.4,0
2010,1,3,2,0,0.0,0.0,0.0,15.4,15.4,71.4,896.5,1.4,316.8,0
2010,1,3,3,0,0.0,0.0,0.0,14.3,14.3,73.5,896.6,1.5,327.8,0
2010,1,3,4,0,0.0,0.0,0.0,13.7,13.7,76.7,896.7,0.4,352.3,0
2010,1,3,5,0,0.0,0.0,0.0,12.6,12.6,80.5,896.7,0.8,54.8,0
2010,1,3,6,0,0.0,0.0,0.0,11.4,11.4,82.4,896.0,0.9,162.0,0
2010,1,3,7,0,155.4,619.7,33.8,13.0,13.0,62.7,896.0,0.7,126.8,0
2010,1,3,8,0,397.3,841.9,46.1,17.2,17.2,45.1,895.9,1.2,120.7,0
2010,1,3,9,0,632.7,936.8,52.9,21.1,21.1,33.0,895.7,2.0,130.4,0
2010,1,3,10,0,834.8,986.9,57.3,24.4,24.4,25.2,895.3,2.4,166.5,0
2010,1,3,11,0,985.4,1014.5,60.1,27.3,27.3,22.2,894.8,1.8,223.8,0
2010,1,3,12,0,1072.3,1027.8,61.6,30.0,30.0,23.6,894.5,3.0,268.1,0
2010,1,3,13,0,1088.8,1030.1,61.9,32.3,32.3,23.6,894.2,2.6,269.9,0
2010,1,3,14,0,678.1,311.8,381.5,30.7,30.7,25.4,894.1,7.7,271.5,0
2010,1,3,15,0,585.1,271.6,354.0,29.6,29.6,26.5,893.8,8.4,269.4,0
2010,1,3,16,0,443.1,199.1,303.5,28.0,28.0,29.3,893.7,9.1,267.9,0
2010,1,3,17,0,506.6,891.7,49.7,26.9,26.9,33.6,893.7,8.4,266.7,0
2010,1,3,18,0,263.3,746.7,40.7,25.6,25.6,43.2,894.0,8.3,269.4,0
2010,1,3,19,0,41.6,311.4,18.9,22.5,22.5,47.6,894.5,7.4,271.4,0
2010,1,3,20,0,0.0,0.0,0.0,20.1,20.1,53.6,895.0,3.6,272.6,0
2010,1,3,21,0,0.0,0.0,0.0,18.7,18.7,56.5,895.5,1.7,274.2,0
2010,1,3,22,0,0.0,0.0,0.0,17.3,17.3,60.7,895.8,2.5,274.5,0
2010,1,3,23,0,0.0,0.0,0.0,16.7,16.7,65.6,896.0,1.7,265.7,0
2010,1,4,0,0,0.0,0.0,0.0,15.6,15.6,78.9,896.2,0.8,122.7,0
2010,1,4,1,0,0.0,0.0,0.0,15.3,15.3,79.7,896.2,0.8,96.1,0
2010,1,4,2,0,0.0,0.0,0.0,13.9,13.9,82.1,896.1,1.2,88.4,0
2010,1,4,3,0,0.0,0.0,0.0,13.9,13.9,81.8,896.5,0.9,78.6,0
2010,1,4,4,0,0.0,0.0,0.0,11.4,11.4,82.5,896.8,1.3,90.2,0
2010,1,4,5,0,0.0,0.0,0.0,12.2,12.2,84.0,897.1,0.8,102.9,0
2010,1,4,6,0,0.0,0.0,0.0,13.4,13.4,84.9,896.3,0.7,145.3,0
2010,1,4,7,0,152.7,614.2,33.6,13.9,13.9,66.1,896.7,0.5,119.2,0
2010,1,4,8,0,394.3,839.1,45.9,16.7,16.7,49.5,896.8,0.8,114.8,0
2010,1,4,9,0,629.9,935.3,52.6,21.2,21.2,37.6,896.7,0.7,124.3,0
2010,1,4,10,0,832.4,986.1,56.9,26.2,26.2,29.8,896.4,0.8,163.0,0
2010,1,4,11,0,983.8,1014.1,59.6,29.5,29.5,26.9,896.0,1.8,227.0,0
2010,1,4,12,0,1071.4,1027.8,61.0,31.8,31.8,24.1,895.2,2.6,256.4,0
2010,1,4,13,0,1088.6,1030.0,61.7,31.5,31.5,24.7,895.0,6.4,265.1,0
2010,1,4,14,0,1033.7,1021.4,61.2,29.5,29.5,27.2,894.9,8.5,269.7,0
2010,1,4,15,0,612.0,291.3,364.0,28.0,28.0,27.4,894.7,9.6,269.2,0
2010,1,4,16,0,492.4,238.4,325.1,27.2,27.2,29.4,894.7,8.4,269.2,0
2010,1,4,17,0,283.9,104.7,230.1,25.9,25.9,32.8,894.7,9.1,269.4,0
2010,1,4,18,0,132.9,10.1,129.9,23.7,23.7,37.6,895.2,8.3,276.4,0
2010,1,4,19,0,42.1,308.9,19.3,21.2,21.2,42.5,895.9,6.5,279.6,0
2010,1,4,20,0,0.0,0.0,0.0,19.3,19.3,49.0,896.5,5.6,283.1,0
2010,1,4,21,0,0.0,0.0,0.0,18.3,18.3,52.5,897.0,2.4,286.3,0
2010,1,4,22,0,0.0,0.0,0.0,17.3,17.3,57.1,897.4,2.5,290.9,0
2010,1,4,23,0,0.0,0.0,0.0,17.0,17.0,62.5,897.5,3.2,302.4,0
2010,1,5,0,0,0.0,0.0,0.0,15.7,15.7,66.0,897.2,1.5,344.2,0
2010,1,5,1,0,0.0,0.0,0.0,14.3,14.3,67.7,897.2,2.3,333.3,0
2010,1,5,2,0,0.0,0.0,0.0,14.6,14.6,70.9,897.2,1.3,329.7,0
2010,1,5,3,0,0.0,0.0,0.0,14.1,14.1,73.4,897.3,1.0,337.5,0
2010,1,5,4,0,0.0,0.0,0.0,13.5,13.5,77.0,897.2,0.7,354.5,0
2010,1,5,5,0,0.0,0.0,0.0,12.6,12.6,81.3,897.2,1.0,38.6,0
2010,1,5,6,0,0.0,0.0,0.0,11.8,11.8,84.9,897.1,1.0,151.4,0
2010,1,5,7,0,148.3,588.0,35.7,12.5,12.5,65.6,897.2,2.0,116.0,0
2010,1,5,8,0,230.9,71.4,201.5,15.6,15.6,48.5,897.0,1.8,112.4,0
2010,1,5,9,0,626.7,922.6,58.6,20.6,20.6,34.8,897.0,1.3,127.9,0
2010,1,5,10,0,539.2,248.0,344.4,24.5,24.5,25.4,896.7,0.6,206.3,0
2010,1,5,11,0,661.1,304.5,383.9,28.1,28.1,20.8,896.4,2.2,247.1,0
2010,1,5,12,0,1072.6,1019.4,70.7,30.1,30.1,17.9,895.6,5.5,265.6,0
2010,1,5,13,0,1091.2,1023.4,70.6,31.5,31.5,16.9,895.5,4.7,270.9,0
2010,1,5,14,0,1037.1,1016.1,69.0,30.7,30.7,17.7,895.4,7.5,274.0,0
2010,1,5,15,0,914.7,995.9,65.8,30.5,30.5,18.6,895.3,8.4,270.9,0
2010,1,5,16,0,733.9,957.1,61.0,29.4,29.4,21.1,895.4,8.5,268.7,0
