DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-31.779333
LONGITUD,-70.995662
ALTURA,467.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2010-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.73,1.83,1.00,0.00
2010-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.07,1.34,1.00,0.00
2010-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.41,0.97,1.00,0.00
2010-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.26,1.10,1.00,0.00
2010-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.05,1.66,1.00,0.00
2010-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.59,1.55,1.00,0.00
2010-01-01 06:00:00,13.27,0.00,13.01,0.26,14.08,0.00,14.08,0.00,15.22,1.88,1.00,0.00
2010-01-01 07:00:00,79.46,34.24,41.21,4.01,219.74,175.14,44.60,705.69,18.42,0.80,0.00,0.00
2010-01-01 08:00:00,311.95,250.34,53.35,8.25,452.48,394.74,57.74,879.14,19.82,1.53,0.00,0.00
2010-01-01 09:00:00,556.75,483.36,61.06,12.33,676.44,610.36,66.08,964.07,22.46,1.92,0.00,0.00
2010-01-01 10:00:00,774.09,691.76,66.47,15.85,869.32,797.38,71.94,1011.75,25.66,2.04,0.00,0.00
2010-01-01 11:00:00,939.88,851.18,70.21,18.50,1014.40,938.42,75.98,1038.67,27.06,3.29,0.00,0.00
2010-01-01 12:00:00,1038.78,946.25,72.46,20.07,1100.44,1022.02,78.42,1052.13,28.45,3.64,0.00,0.00
2010-01-01 13:00:00,1061.07,967.64,73.02,20.41,1119.56,1040.54,79.02,1054.19,29.46,4.01,0.00,0.00
2010-01-01 14:00:00,1005.71,914.07,72.11,19.54,1071.38,993.34,78.04,1046.13,29.85,4.64,0.00,0.00
2010-01-01 15:00:00,877.38,790.22,69.67,17.49,959.34,883.94,75.40,1026.21,30.17,5.01,0.00,0.00
2010-01-01 16:00:00,687.89,607.81,65.62,14.45,792.40,721.38,71.02,990.24,28.89,4.88,0.00,0.00
2010-01-01 17:00:00,455.98,385.78,59.54,10.65,584.24,519.80,64.44,928.35,26.83,5.42,0.00,0.00
2010-01-01 18:00:00,210.52,153.75,50.32,6.44,353.26,298.80,54.46,813.48,24.15,5.26,0.00,0.00
2010-01-01 19:00:00,36.21,0.00,33.89,2.32,127.28,90.60,36.68,553.55,21.15,4.34,0.00,0.00
2010-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.99,2.16,1.00,0.00
2010-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.34,1.42,1.00,0.00
2010-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.71,0.82,1.00,0.00
2010-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.61,0.51,1.00,0.00
2010-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.81,0.57,1.00,0.00
2010-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.04,1.36,1.00,0.00
2010-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.79,1.72,1.00,0.00
2010-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,2.19,1.00,0.00
2010-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.13,1.93,1.00,0.00
2010-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.31,1.88,1.00,0.00
2010-01-02 06:00:00,12.74,0.00,12.49,0.25,13.52,0.00,13.52,0.00,17.55,1.72,1.00,0.00
2010-01-02 07:00:00,77.77,31.50,42.41,3.86,211.68,165.78,45.90,673.95,19.93,1.04,0.00,0.00
2010-01-02 08:00:00,305.11,241.62,55.44,8.05,441.44,381.44,60.00,853.67,22.05,1.15,0.00,0.00
