Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-31.7793,-70.9957,-4,467
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2010,1,1,0,0,0.0,0.0,0.0,15.7,15.7,83.4,958.6,1.8,242.6,0
2010,1,1,1,0,0.0,0.0,0.0,16.1,16.1,81.8,958.8,1.3,237.7,0
2010,1,1,2,0,0.0,0.0,0.0,16.4,16.4,79.8,959.1,1.0,228.7,0
2010,1,1,3,0,0.0,0.0,0.0,16.3,16.3,80.2,958.8,1.1,226.1,0
2010,1,1,4,0,0.0,0.0,0.0,15.1,15.1,80.1,958.6,1.7,223.3,0
2010,1,1,5,0,0.0,0.0,0.0,15.6,15.6,79.5,958.6,1.5,220.4,0
2010,1,1,6,0,14.1,0.0,14.1,15.2,15.2,78.3,958.2,1.9,326.8,0
2010,1,1,7,0,219.7,705.7,44.6,18.4,18.4,75.8,958.0,0.8,259.6,0
2010,1,1,8,0,452.5,879.1,57.7,19.8,19.8,70.7,957.7,1.5,256.6,0
2010,1,1,9,0,676.4,964.1,66.1,22.5,22.5,64.4,957.6,1.9,269.3,0
2010,1,1,10,0,869.3,1011.8,71.9,25.7,25.7,56.4,957.4,2.0,281.3,0
2010,1,1,11,0,1014.4,1038.7,76.0,27.1,27.1,47.2,957.2,3.3,290.5,0
2010,1,1,12,0,1100.4,1052.1,78.4,28.4,28.4,49.7,957.7,3.6,287.2,0
2010,1,1,13,0,1119.6,1054.2,79.0,29.5,29.5,51.2,957.6,4.0,289.9,0
2010,1,1,14,0,1071.4,1046.1,78.0,29.9,29.9,53.5,957.5,4.6,293.4,0
2010,1,1,15,0,959.3,1026.2,75.4,30.2,30.2,55.7,957.5,5.0,296.0,0
2010,1,1,16,0,792.4,990.2,71.0,28.9,28.9,58.5,957.4,4.9,299.3,0
2010,1,1,17,0,584.2,928.4,64.4,26.8,26.8,61.7,957.2,5.4,303.3,0
2010,1,1,18,0,353.3,813.5,54.5,24.2,24.2,64.9,956.8,5.3,307.9,0
2010,1,1,19,0,127.3,553.6,36.7,21.1,21.1,69.8,957.0,4.3,309.2,0
2010,1,1,20,0,0.0,0.0,0.0,14.0,14.0,74.1,957.0,2.2,309.8,0
2010,1,1,21,0,0.0,0.0,0.0,17.3,17.3,77.2,956.9,1.4,301.7,0
2010,1,1,22,0,0.0,0.0,0.0,17.7,17.7,79.0,956.6,0.8,161.3,0
2010,1,1,23,0,0.0,0.0,0.0,17.6,17.6,79.3,956.2,0.5,173.1,0
2010,1,2,0,0,0.0,0.0,0.0,17.8,17.8,79.2,955.7,0.6,171.8,0
2010,1,2,1,0,0.0,0.0,0.0,17.0,17.0,78.9,955.4,1.4,139.7,0
2010,1,2,2,0,0.0,0.0,0.0,16.8,16.8,78.1,955.2,1.7,120.9,0
2010,1,2,3,0,0.0,0.0,0.0,17.2,17.2,78.5,955.3,2.2,115.0,0
2010,1,2,4,0,0.0,0.0,0.0,17.1,17.1,78.5,955.6,1.9,109.0,0
2010,1,2,5,0,0.0,0.0,0.0,17.3,17.3,78.0,956.0,1.9,103.4,0
2010,1,2,6,0,13.5,0.0,13.5,17.6,17.6,75.4,955.9,1.7,94.7,0
2010,1,2,7,0,211.7,673.9,45.9,19.9,19.9,72.0,955.7,1.0,158.8,0
2010,1,2,8,0,441.4,853.7,60.0,22.0,22.0,66.1,955.5,1.1,193.4,0
2010,1,2,9,0,663.2,941.2,68.9,24.5,24.5,61.5,955.4,1.8,245.2,0
2010,1,2,10,0,854.2,990.3,75.0,27.4,27.4,55.2,955.3,2.2,274.2,0
2010,1,2,11,0,997.8,1017.9,79.2,29.5,29.5,47.8,955.2,2.6,288.6,0
2010,1,2,12,0,1082.9,1031.4,81.6,31.0,31.0,53.7,954.5,3.8,281.3,0
2010,1,2,13,0,1103.3,1034.5,82.3,31.7,31.7,56.3,954.3,4.4,284.3,0
2010,1,2,14,0,1056.9,1027.2,81.3,31.4,31.4,59.6,954.0,4.6,287.8,0
2010,1,2,15,0,947.0,1007.6,78.5,30.5,30.5,61.0,954.0,5.1,292.0,0
2010,1,2,16,0,782.3,971.6,73.8,29.7,29.7,63.0,953.9,5.0,296.5,0
2010,1,2,17,0,576.5,908.9,66.8,28.5,28.5,65.4,953.7,5.3,301.5,0
2010,1,2,18,0,348.0,792.7,56.2,26.7,26.7,64.3,953.8,4.3,308.4,0
2010,1,2,19,0,124.9,531.4,37.5,24.2,24.2,68.6,953.9,3.8,310.3,0
2010,1,2,20,0,0.0,0.0,0.0,22.0,22.0,72.2,953.8,2.3,312.6,0
2010,1,2,21,0,0.0,0.0,0.0,20.7,20.7,74.7,953.9,1.8,315.5,0
2010,1,2,22,0,0.0,0.0,0.0,20.1,20.1,75.8,953.8,0.8,168.4,0
2010,1,2,23,0,0.0,0.0,0.0,19.4,19.4,75.4,953.6,0.7,170.8,0
2010,1,3,0,0,0.0,0.0,0.0,18.9,18.9,76.2,953.8,0.6,171.2,0
2010,1,3,1,0,0.0,0.0,0.0,17.9,17.9,74.5,954.0,0.8,133.0,0
2010,1,3,2,0,0.0,0.0,0.0,17.2,17.2,72.3,954.3,0.9,110.7,0
2010,1,3,3,0,0.0,0.0,0.0,16.7,16.7,73.4,954.5,0.8,112.6,0
2010,1,3,4,0,0.0,0.0,0.0,15.9,15.9,74.1,954.8,1.1,115.7,0
2010,1,3,5,0,0.0,0.0,0.0,15.6,15.6,74.4,955.3,1.3,121.1,0
2010,1,3,6,0,13.1,0.0,13.1,15.0,15.0,76.8,956.2,1.5,321.3,0
2010,1,3,7,0,56.9,0.0,56.9,17.3,17.3,74.3,956.6,0.8,248.0,0
2010,1,3,8,0,113.5,1.7,112.7,19.8,19.8,69.2,956.9,0.7,250.3,0
2010,1,3,9,0,159.9,16.7,149.4,22.5,22.5,63.2,956.9,1.5,267.2,0
2010,1,3,10,0,667.8,336.5,403.6,25.5,25.5,55.5,956.8,2.2,280.8,0
2010,1,3,11,0,1001.0,1017.1,84.1,27.3,27.3,46.6,956.7,3.2,290.5,0
2010,1,3,12,0,1088.1,1032.1,86.8,28.9,28.9,49.3,955.8,4.1,289.9,0
2010,1,3,13,0,1109.6,1036.2,87.2,30.1,30.1,50.9,955.7,3.8,292.4,0
2010,1,3,14,0,1063.8,1029.7,85.6,30.9,30.9,53.3,955.6,4.8,295.6,0
2010,1,3,15,0,953.9,1010.8,82.2,30.2,30.2,54.4,955.3,5.5,297.2,0
2010,1,3,16,0,788.6,975.3,76.8,29.2,29.2,56.1,955.0,5.7,299.8,0
2010,1,3,17,0,581.7,913.0,69.0,27.7,27.7,58.2,954.7,5.5,303.2,0
2010,1,3,18,0,351.8,797.1,57.7,26.0,26.0,60.1,954.3,4.9,307.6,0
2010,1,3,19,0,126.8,536.2,38.3,23.7,23.7,65.2,954.4,4.0,308.6,0
2010,1,3,20,0,0.0,0.0,0.0,21.8,21.8,69.5,954.3,1.8,308.6,0
2010,1,3,21,0,0.0,0.0,0.0,20.2,20.2,72.2,954.7,1.5,295.6,0
2010,1,3,22,0,0.0,0.0,0.0,18.7,18.7,73.5,954.9,1.6,180.4,0
2010,1,3,23,0,0.0,0.0,0.0,17.9,17.9,73.3,955.0,1.2,187.0,0
2010,1,4,0,0,0.0,0.0,0.0,17.5,17.5,73.9,955.4,0.8,201.0,0
2010,1,4,1,0,0.0,0.0,0.0,17.0,17.0,72.8,955.4,0.8,175.0,0
2010,1,4,2,0,0.0,0.0,0.0,16.5,16.5,71.4,955.6,0.8,150.9,0
2010,1,4,3,0,0.0,0.0,0.0,16.3,16.3,72.6,955.7,0.6,149.4,0
2010,1,4,4,0,0.0,0.0,0.0,15.7,15.7,73.3,955.8,0.7,149.1,0
2010,1,4,5,0,0.0,0.0,0.0,15.3,15.3,73.7,956.1,0.6,151.5,0
2010,1,4,6,0,12.4,0.0,12.4,14.7,14.7,80.6,957.1,0.6,263.4,0
2010,1,4,7,0,210.5,681.2,46.2,15.9,15.9,79.2,957.1,0.8,217.5,0
2010,1,4,8,0,444.5,867.5,60.6,18.5,18.5,75.2,957.1,0.9,234.9,0
2010,1,4,9,0,670.9,958.5,69.4,21.8,21.8,68.4,957.1,1.3,257.9,0
2010,1,4,10,0,866.6,1009.5,75.4,25.2,25.2,59.9,957.0,2.1,276.0,0
2010,1,4,11,0,1014.7,1039.0,79.2,28.2,28.2,50.2,956.8,2.5,288.2,0
2010,1,4,12,0,1103.4,1054.2,81.3,29.9,29.9,51.8,955.4,4.3,294.6,0
2010,1,4,13,0,1124.8,1057.2,81.8,31.3,31.3,53.8,955.3,4.8,296.1,0
2010,1,4,14,0,1078.3,1050.0,80.6,30.8,30.8,56.6,955.1,5.3,298.6,0
2010,1,4,15,0,967.3,1030.9,77.7,30.0,30.0,58.3,955.1,5.7,300.1,0
2010,1,4,16,0,800.5,995.7,73.0,29.0,29.0,60.6,954.9,5.7,302.5,0
2010,1,4,17,0,591.6,934.6,66.1,27.5,27.5,63.4,954.7,6.0,305.7,0
2010,1,4,18,0,359.2,820.8,55.7,25.3,25.3,70.1,954.9,6.0,307.9,0
2010,1,4,19,0,130.8,563.1,37.5,22.8,22.8,74.6,955.0,5.3,308.6,0
2010,1,4,20,0,0.0,0.0,0.0,20.5,20.5,78.5,955.0,2.9,307.6,0
2010,1,4,21,0,0.0,0.0,0.0,19.5,19.5,81.3,955.2,2.3,300.1,0
