DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-34.420029
LONGITUD,-71.104697
ALTURA,204.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2007-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.50,0.98,1.00,0.00
2007-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.32,0.82,1.00,0.00
2007-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,0.69,1.00,0.00
2007-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.29,0.57,1.00,0.00
2007-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.48,0.49,1.00,0.00
2007-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.73,0.44,1.00,0.00
2007-01-01 06:00:00,18.36,0.00,17.60,0.77,37.44,18.20,19.24,285.11,10.13,0.77,0.00,0.00
2007-01-01 07:00:00,84.75,37.18,42.76,4.81,234.50,187.74,46.76,718.36,11.05,0.68,0.00,0.00
2007-01-01 08:00:00,317.50,253.85,54.19,9.46,461.32,402.06,59.26,881.39,12.39,0.81,0.00,0.00
2007-01-01 09:00:00,561.70,486.52,61.25,13.93,678.98,612.00,66.98,963.98,14.55,0.98,0.00,0.00
2007-01-01 10:00:00,778.57,694.87,65.94,17.77,866.28,794.18,72.10,1011.15,17.01,1.25,0.00,0.00
2007-01-01 11:00:00,944.52,854.91,68.94,20.67,1007.52,932.14,75.38,1038.52,19.66,1.59,0.00,0.00
2007-01-01 12:00:00,1043.66,950.79,70.47,22.39,1091.38,1014.32,77.06,1052.55,22.56,1.69,0.00,0.00
2007-01-01 13:00:00,1066.91,972.92,71.20,22.79,1110.90,1033.04,77.86,1055.07,24.14,2.19,0.00,0.00
2007-01-01 14:00:00,1012.52,920.11,70.56,21.85,1064.98,987.82,77.16,1047.60,25.53,2.64,0.00,0.00
2007-01-01 15:00:00,885.37,797.20,68.53,19.64,957.28,882.34,74.94,1028.83,26.41,2.91,0.00,0.00
2007-01-01 16:00:00,696.94,615.67,64.93,16.33,796.16,725.16,71.00,994.94,26.07,3.07,0.00,0.00
2007-01-01 17:00:00,465.68,394.11,59.37,12.20,594.48,529.56,64.92,936.37,25.46,3.12,0.00,0.00
2007-01-01 18:00:00,219.82,161.38,50.85,7.59,369.92,314.32,55.60,830.11,24.31,1.81,0.00,0.00
2007-01-01 19:00:00,38.87,0.00,35.85,3.03,147.48,108.28,39.20,598.12,22.16,1.36,0.00,0.00
2007-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.27,1.02,1.00,0.00
2007-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.44,1.01,1.00,0.00
2007-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.05,1.04,1.00,0.00
2007-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.14,1.06,1.00,0.00
2007-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.60,0.71,1.00,0.00
2007-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.85,0.68,1.00,0.00
2007-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.09,0.63,1.00,0.00
2007-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.37,0.54,1.00,0.00
2007-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.69,0.41,1.00,0.00
2007-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.07,0.27,1.00,0.00
