Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-34.4200,-71.1047,-4,204
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2007,1,1,0,0,0.0,0.0,0.0,15.5,15.5,88.1,987.8,1.0,291.4,0
2007,1,1,1,0,0.0,0.0,0.0,14.3,14.3,89.7,987.8,0.8,290.5,0
2007,1,1,2,0,0.0,0.0,0.0,13.2,13.2,91.1,987.9,0.7,289.3,0
2007,1,1,3,0,0.0,0.0,0.0,12.3,12.3,93.1,987.8,0.6,290.7,0
2007,1,1,4,0,0.0,0.0,0.0,11.5,11.5,94.8,988.0,0.5,294.7,0
2007,1,1,5,0,0.0,0.0,0.0,10.7,10.7,96.0,988.2,0.4,305.5,0
2007,1,1,6,0,37.4,285.1,19.2,10.1,10.1,98.2,990.8,0.8,316.2,0
2007,1,1,7,0,234.5,718.4,46.8,11.0,11.0,96.9,990.9,0.7,84.2,0
2007,1,1,8,0,461.3,881.4,59.3,12.4,12.4,93.4,991.0,0.8,103.0,0
2007,1,1,9,0,679.0,964.0,67.0,14.6,14.6,87.1,990.9,1.0,118.2,0
2007,1,1,10,0,866.3,1011.1,72.1,17.0,17.0,79.2,990.8,1.2,154.7,0
2007,1,1,11,0,1007.5,1038.5,75.4,19.7,19.7,70.2,990.6,1.6,211.1,0
2007,1,1,12,0,1091.4,1052.6,77.1,22.6,22.6,65.1,989.7,1.7,213.5,0
2007,1,1,13,0,1110.9,1055.1,77.9,24.1,24.1,62.5,989.7,2.2,226.3,0
2007,1,1,14,0,1065.0,1047.6,77.2,25.5,25.5,61.2,989.7,2.6,233.5,0
2007,1,1,15,0,957.3,1028.8,74.9,26.4,26.4,60.9,989.4,2.9,234.5,0
2007,1,1,16,0,796.2,994.9,71.0,26.1,26.1,62.2,989.1,3.1,234.5,0
2007,1,1,17,0,594.5,936.4,64.9,25.5,25.5,64.9,988.8,3.1,233.9,0
2007,1,1,18,0,369.9,830.1,55.6,24.3,24.3,70.9,988.1,1.8,208.1,0
2007,1,1,19,0,147.5,598.1,39.2,22.2,22.2,76.9,988.0,1.4,218.0,0
2007,1,1,20,0,0.0,0.0,0.0,20.3,20.3,81.9,987.8,1.0,223.7,0
2007,1,1,21,0,0.0,0.0,0.0,18.4,18.4,86.3,988.0,1.0,235.3,0
2007,1,1,22,0,0.0,0.0,0.0,17.0,17.0,89.1,988.0,1.0,246.0,0
2007,1,1,23,0,0.0,0.0,0.0,16.1,16.1,90.1,987.9,1.1,267.9,0
2007,1,2,0,0,0.0,0.0,0.0,13.6,13.6,95.3,987.4,0.7,78.4,0
2007,1,2,1,0,0.0,0.0,0.0,12.8,12.8,97.9,987.3,0.7,99.6,0
2007,1,2,2,0,0.0,0.0,0.0,12.1,12.1,100.0,987.3,0.6,106.0,0
2007,1,2,3,0,0.0,0.0,0.0,11.4,11.4,100.0,987.4,0.5,106.8,0
2007,1,2,4,0,0.0,0.0,0.0,10.7,10.7,100.0,987.6,0.4,106.8,0
2007,1,2,5,0,0.0,0.0,0.0,10.1,10.1,100.0,987.9,0.3,106.2,0
2007,1,2,6,0,35.2,264.2,19.0,10.8,10.8,100.0,989.4,1.1,95.2,0
2007,1,2,7,0,230.4,701.7,48.7,11.5,11.5,99.1,989.8,1.4,102.1,0
2007,1,2,8,0,457.0,868.5,62.7,12.7,12.7,95.3,990.1,1.7,107.6,0
2007,1,2,9,0,674.9,952.5,71.9,14.9,14.9,89.0,990.2,1.5,117.7,0
2007,1,2,10,0,862.6,1000.3,78.3,17.5,17.5,81.2,990.3,1.6,150.6,0
2007,1,2,11,0,1004.1,1027.6,82.8,20.2,20.2,72.1,990.4,1.9,227.3,0
2007,1,2,12,0,1088.1,1041.2,85.4,22.8,22.8,66.4,989.1,1.5,248.2,0
2007,1,2,13,0,1108.2,1044.1,86.1,24.4,24.4,64.4,989.1,2.1,258.9,0
2007,1,2,14,0,1062.5,1036.5,85.0,25.7,25.7,63.8,989.1,2.7,265.0,0
2007,1,2,15,0,954.9,1017.2,82.1,26.4,26.4,62.4,989.1,3.0,261.7,0
2007,1,2,16,0,793.6,982.0,77.2,25.8,25.8,62.6,989.1,3.1,258.3,0
2007,1,2,17,0,591.8,921.4,70.0,24.9,24.9,64.1,989.1,3.2,254.8,0
2007,1,2,18,0,367.2,811.5,59.3,24.3,24.3,69.5,988.8,2.5,262.3,0
2007,1,2,19,0,145.6,574.9,41.1,21.8,21.8,76.2,989.0,2.1,269.8,0
2007,1,2,20,0,0.0,0.0,0.0,19.6,19.6,81.8,989.0,1.7,276.5,0
2007,1,2,21,0,0.0,0.0,0.0,17.7,17.7,85.8,989.2,1.4,280.0,0
2007,1,2,22,0,0.0,0.0,0.0,16.2,16.2,88.1,989.1,1.1,283.9,0
2007,1,2,23,0,0.0,0.0,0.0,15.3,15.3,88.6,989.0,0.8,288.9,0
2007,1,3,0,0,0.0,0.0,0.0,12.6,12.6,89.7,989.3,0.6,294.9,0
2007,1,3,1,0,0.0,0.0,0.0,11.5,11.5,91.9,989.4,0.5,292.4,0
2007,1,3,2,0,0.0,0.0,0.0,10.5,10.5,94.0,989.6,0.4,288.6,0
2007,1,3,3,0,0.0,0.0,0.0,9.8,9.8,95.1,989.4,0.3,288.1,0
2007,1,3,4,0,0.0,0.0,0.0,9.2,9.2,95.9,989.4,0.3,289.4,0
2007,1,3,5,0,0.0,0.0,0.0,8.7,8.7,96.3,989.5,0.4,293.9,0
2007,1,3,6,0,32.7,239.5,18.6,9.7,9.7,100.0,990.5,0.5,271.0,0
2007,1,3,7,0,225.4,683.2,50.0,10.9,10.9,99.3,990.4,0.6,246.7,0
2007,1,3,8,0,451.5,855.4,65.0,12.4,12.4,95.9,990.3,0.7,210.0,0
2007,1,3,9,0,669.5,942.3,74.8,14.7,14.7,89.3,990.4,0.9,248.0,0
2007,1,3,10,0,857.6,991.7,81.5,17.3,17.3,80.9,990.4,1.3,258.5,0
2007,1,3,11,0,999.6,1020.1,86.1,20.1,20.1,71.4,990.3,1.8,263.8,0
2007,1,3,12,0,1084.2,1034.4,88.7,22.5,22.5,66.4,989.2,1.7,252.9,0
2007,1,3,13,0,1105.1,1038.0,89.3,24.1,24.1,64.5,989.1,2.5,259.4,0
2007,1,3,14,0,1060.2,1030.8,87.9,25.4,25.4,63.8,989.1,3.3,263.3,0
2007,1,3,15,0,953.2,1011.8,84.7,26.2,26.2,62.5,989.2,3.5,258.6,0
2007,1,3,16,0,792.5,976.7,79.4,25.9,25.9,62.7,989.3,3.7,253.8,0
2007,1,3,17,0,591.1,916.1,71.7,25.3,25.3,64.3,989.4,3.7,248.9,0
2007,1,3,18,0,366.8,806.0,60.5,24.6,24.6,70.3,989.4,2.1,262.1,0
2007,1,3,19,0,145.5,568.9,41.7,22.4,22.4,77.1,989.8,1.9,267.9,0
2007,1,3,20,0,0.0,0.0,0.0,20.4,20.4,82.7,990.0,1.7,273.0,0
2007,1,3,21,0,0.0,0.0,0.0,18.6,18.6,86.1,990.1,1.4,278.0,0
2007,1,3,22,0,0.0,0.0,0.0,17.3,17.3,87.9,990.2,1.1,283.4,0
2007,1,3,23,0,0.0,0.0,0.0,16.4,16.4,87.8,990.0,0.7,290.2,0
2007,1,4,0,0,0.0,0.0,0.0,14.3,14.3,89.7,989.9,0.7,295.5,0
2007,1,4,1,0,0.0,0.0,0.0,13.4,13.4,91.8,989.9,0.6,293.5,0
2007,1,4,2,0,0.0,0.0,0.0,12.5,12.5,93.7,990.1,0.6,290.9,0
2007,1,4,3,0,0.0,0.0,0.0,12.1,12.1,95.6,990.1,0.4,296.7,0
2007,1,4,4,0,0.0,0.0,0.0,11.8,11.8,97.2,990.1,0.3,322.1,0
2007,1,4,5,0,0.0,0.0,0.0,11.5,11.5,98.4,990.3,0.3,35.4,0
2007,1,4,6,0,31.1,231.4,18.0,12.1,12.1,98.8,991.1,0.5,70.5,0
2007,1,4,7,0,223.8,684.7,49.7,13.3,13.3,98.2,991.0,0.7,83.5,0
2007,1,4,8,0,450.9,859.1,64.6,14.8,14.8,95.4,990.9,0.8,89.9,0
