DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-33.455873
LONGITUD,-70.662172
ALTURA,545.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2012-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.57,1.02,1.00,0.00
2012-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.15,1.15,1.00,0.00
2012-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.61,1.30,1.00,0.00
2012-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.26,1.31,1.00,0.00
2012-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.83,1.33,1.00,0.00
2012-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.34,1.37,1.00,0.00
2012-01-01 06:00:00,19.96,0.00,19.55,0.41,21.26,0.00,21.26,0.00,14.44,0.72,1.00,0.00
2012-01-01 07:00:00,97.72,26.35,67.70,3.67,189.76,116.12,73.64,441.75,16.59,0.40,0.00,0.00
2012-01-01 08:00:00,289.38,177.22,104.62,7.54,389.50,275.70,113.80,600.10,18.93,0.16,0.00,0.00
2012-01-01 09:00:00,496.90,350.22,135.34,11.33,585.34,438.12,147.22,685.16,22.16,0.43,0.00,0.00
2012-01-01 10:00:00,683.25,508.55,160.09,14.61,754.86,580.72,174.14,734.45,25.34,0.82,0.00,0.00
2012-01-01 11:00:00,825.92,630.75,178.09,17.08,882.42,688.70,193.72,762.90,28.32,1.23,0.00,0.00
2012-01-01 12:00:00,910.32,703.25,188.54,18.53,957.24,752.16,205.08,777.05,29.53,1.98,0.00,0.00
2012-01-01 13:00:00,929.03,720.21,189.97,18.85,973.84,767.20,206.64,781.27,30.77,2.55,0.00,0.00
2012-01-01 14:00:00,879.84,678.59,183.24,18.01,930.34,731.02,199.32,774.55,31.96,2.95,0.00,0.00
2012-01-01 15:00:00,767.22,582.41,168.73,16.07,830.24,646.70,183.54,755.49,31.19,3.10,0.00,0.00
2012-01-01 16:00:00,602.19,441.72,147.26,13.20,681.98,521.80,160.18,720.19,30.36,3.05,0.00,0.00
2012-01-01 17:00:00,402.53,273.18,119.70,9.65,498.42,368.22,130.20,659.34,29.51,2.81,0.00,0.00
2012-01-01 18:00:00,112.10,0.00,109.79,2.31,119.42,0.00,119.42,0.00,28.37,1.32,0.00,1.00
2012-01-01 19:00:00,48.70,0.00,46.63,2.07,106.94,56.22,50.72,332.65,26.06,0.59,0.00,0.00
2012-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.98,0.54,1.00,0.00
2012-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.08,0.92,1.00,0.00
2012-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.58,1.20,1.00,0.00
2012-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.53,1.29,1.00,0.00
2012-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,0.79,1.00,0.00
2012-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.69,0.94,1.00,0.00
2012-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.78,1.12,1.00,0.00
2012-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.01,1.11,1.00,0.00
2012-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,1.11,1.00,0.00
2012-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.25,1.11,1.00,0.00
2012-01-02 06:00:00,18.96,0.00,18.57,0.39,20.20,0.00,20.20,0.00,14.51,0.37,1.00,0.00
2012-01-02 07:00:00,95.22,27.97,63.47,3.78,195.26,126.22,69.04,484.52,16.49,0.07,0.00,0.00
2012-01-02 08:00:00,292.33,187.77,96.86,7.70,397.72,292.36,105.36,639.17,18.65,0.31,0.00,0.00
2012-01-02 09:00:00,503.19,367.31,124.37,11.51,594.68,459.40,135.28,720.41,21.68,0.62,0.00,0.00
2012-01-02 10:00:00,691.79,530.72,146.27,14.81,764.76,605.66,159.10,767.34,24.66,0.96,0.00,0.00
2012-01-02 11:00:00,835.99,656.83,161.88,17.28,892.74,716.66,176.08,794.80,27.44,1.30,0.00,0.00
2012-01-02 12:00:00,921.59,732.35,170.50,18.74,968.14,782.68,185.46,809.05,28.34,2.62,0.00,0.00
2012-01-02 13:00:00,941.49,750.10,172.30,19.08,985.76,798.34,187.42,813.12,29.50,3.18,0.00,0.00
2012-01-02 14:00:00,893.36,708.40,166.69,18.27,943.62,762.30,181.32,807.54,30.60,3.58,0.00,0.00
2012-01-02 15:00:00,781.28,610.91,154.01,16.36,844.96,677.44,167.52,790.91,29.76,3.71,0.00,0.00
2012-01-02 16:00:00,615.75,467.34,134.90,13.51,697.76,551.02,146.74,759.64,28.87,3.63,0.00,0.00
2012-01-02 17:00:00,413.76,293.53,110.27,9.96,514.36,394.42,119.94,705.16,27.95,3.36,0.00,0.00
2012-01-02 18:00:00,201.21,114.61,80.57,6.03,311.62,223.98,87.64,605.50,27.03,1.61,0.00,0.00
2012-01-02 19:00:00,46.76,0.00,44.53,2.23,115.24,66.80,48.44,393.25,24.80,0.85,0.00,0.00
2012-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.79,0.40,1.00,0.00
2012-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.93,0.54,1.00,0.00
2012-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.47,0.78,1.00,0.00
2012-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.46,0.88,1.00,0.00
2012-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,0.22,1.00,0.00
2012-01-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.75,0.09,1.00,0.00
2012-01-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.16,0.09,1.00,0.00
2012-01-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.36,0.21,1.00,0.00
2012-01-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.48,0.33,1.00,0.00
2012-01-03 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.54,0.46,1.00,0.00
