Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-33.4559,-70.6622,-3,545
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2012,1,1,0,0,0.0,0.0,0.0,14.6,14.6,99.8,948.8,1.0,307.9,0
2012,1,1,1,0,0.0,0.0,0.0,14.1,14.1,100.0,948.5,1.2,320.4,0
2012,1,1,2,0,0.0,0.0,0.0,13.6,13.6,100.0,948.4,1.3,331.8,0
2012,1,1,3,0,0.0,0.0,0.0,13.3,13.3,100.0,948.9,1.3,342.1,0
2012,1,1,4,0,0.0,0.0,0.0,12.8,12.8,100.0,949.4,1.3,351.8,0
2012,1,1,5,0,0.0,0.0,0.0,12.3,12.3,100.0,950.1,1.4,0.7,0
2012,1,1,6,0,21.3,0.0,21.3,14.4,14.4,91.9,949.2,0.7,44.7,0
2012,1,1,7,0,189.8,441.8,73.6,16.6,16.6,87.0,949.7,0.4,31.6,0
2012,1,1,8,0,389.5,600.1,113.8,18.9,18.9,81.1,950.1,0.2,10.6,0
2012,1,1,9,0,585.3,685.2,147.2,22.2,22.2,75.6,949.9,0.4,324.4,0
2012,1,1,10,0,754.9,734.4,174.1,25.3,25.3,70.0,949.6,0.8,280.8,0
2012,1,1,11,0,882.4,762.9,193.7,28.3,28.3,64.6,949.4,1.2,259.1,0
2012,1,1,12,0,957.2,777.0,205.1,29.5,29.5,63.0,950.8,2.0,213.2,0
2012,1,1,13,0,973.8,781.3,206.6,30.8,30.8,63.1,950.4,2.5,215.3,0
2012,1,1,14,0,930.3,774.5,199.3,32.0,32.0,64.4,949.8,3.0,215.4,0
2012,1,1,15,0,830.2,755.5,183.5,31.2,31.2,65.0,949.7,3.1,213.8,0
2012,1,1,16,0,682.0,720.2,160.2,30.4,30.4,66.8,949.3,3.0,211.1,0
2012,1,1,17,0,498.4,659.3,130.2,29.5,29.5,69.6,948.9,2.8,207.3,0
2012,1,1,18,0,119.4,0.0,119.4,28.4,28.4,74.2,949.6,1.3,214.5,0
2012,1,1,19,0,106.9,332.7,50.7,26.1,26.1,80.7,949.5,0.6,201.1,0
2012,1,1,20,0,0.0,0.0,0.0,24.0,24.0,86.4,949.1,0.5,188.8,0
2012,1,1,21,0,0.0,0.0,0.0,22.1,22.1,90.3,949.2,0.9,178.5,0
2012,1,1,22,0,0.0,0.0,0.0,20.6,20.6,92.7,949.1,1.2,172.4,0
2012,1,1,23,0,0.0,0.0,0.0,19.5,19.5,93.4,948.8,1.3,180.1,0
2012,1,2,0,0,0.0,0.0,0.0,16.5,16.5,98.5,947.5,0.8,310.3,0
2012,1,2,1,0,0.0,0.0,0.0,15.7,15.7,99.3,947.2,0.9,329.5,0
2012,1,2,2,0,0.0,0.0,0.0,14.8,14.8,100.0,947.2,1.1,348.0,0
2012,1,2,3,0,0.0,0.0,0.0,14.0,14.0,100.0,947.8,1.1,356.8,0
2012,1,2,4,0,0.0,0.0,0.0,13.2,13.2,100.0,948.6,1.1,6.5,0
2012,1,2,5,0,0.0,0.0,0.0,12.2,12.2,100.0,949.6,1.1,17.1,0
2012,1,2,6,0,20.2,0.0,20.2,14.5,14.5,100.0,948.8,0.4,60.2,0
2012,1,2,7,0,195.3,484.5,69.0,16.5,16.5,98.2,949.4,0.1,45.6,0
2012,1,2,8,0,397.7,639.2,105.4,18.7,18.7,92.9,950.0,0.3,260.7,0
2012,1,2,9,0,594.7,720.4,135.3,21.7,21.7,86.9,949.7,0.6,254.1,0
2012,1,2,10,0,764.8,767.3,159.1,24.7,24.7,80.8,949.5,1.0,248.5,0
2012,1,2,11,0,892.7,794.8,176.1,27.4,27.4,74.8,949.2,1.3,243.6,0
2012,1,2,12,0,968.1,809.1,185.5,28.3,28.3,73.0,949.9,2.6,203.5,0
2012,1,2,13,0,985.8,813.1,187.4,29.5,29.5,72.9,949.5,3.2,207.2,0
2012,1,2,14,0,943.6,807.5,181.3,30.6,30.6,73.9,948.9,3.6,208.5,0
2012,1,2,15,0,845.0,790.9,167.5,29.8,29.8,73.9,949.1,3.7,208.2,0
2012,1,2,16,0,697.8,759.6,146.7,28.9,28.9,74.9,949.0,3.6,206.6,0
2012,1,2,17,0,514.4,705.2,119.9,27.9,27.9,77.1,948.8,3.4,203.9,0
2012,1,2,18,0,311.6,605.5,87.6,27.0,27.0,74.5,949.6,1.6,221.9,0
2012,1,2,19,0,115.2,393.3,48.4,24.8,24.8,80.8,949.6,0.8,213.1,0
2012,1,2,20,0,0.0,0.0,0.0,22.8,22.8,86.3,949.5,0.4,206.1,0
2012,1,2,21,0,0.0,0.0,0.0,20.9,20.9,90.4,949.7,0.5,203.0,0
2012,1,2,22,0,0.0,0.0,0.0,19.5,19.5,93.0,949.8,0.8,207.4,0
2012,1,2,23,0,0.0,0.0,0.0,18.5,18.5,94.0,949.7,0.9,225.3,0
2012,1,3,0,0,0.0,0.0,0.0,17.2,17.2,96.2,949.8,0.2,236.5,0
2012,1,3,1,0,0.0,0.0,0.0,16.8,16.8,96.5,949.8,0.1,235.1,0
2012,1,3,2,0,0.0,0.0,0.0,16.2,16.2,96.8,949.9,0.1,227.8,0
2012,1,3,3,0,0.0,0.0,0.0,15.4,15.4,97.2,950.1,0.2,230.8,0
2012,1,3,4,0,0.0,0.0,0.0,14.5,14.5,97.4,950.4,0.3,58.5,0
2012,1,3,5,0,0.0,0.0,0.0,13.5,13.5,97.7,950.9,0.5,60.2,0
2012,1,3,6,0,19.3,0.0,19.3,14.4,14.4,100.0,950.2,0.5,101.6,0
2012,1,3,7,0,204.5,537.1,65.8,16.7,16.7,96.3,950.3,0.2,104.2,0
2012,1,3,8,0,412.2,685.0,100.4,19.1,19.1,90.8,950.5,0.2,224.0,0
2012,1,3,9,0,613.0,761.0,129.2,22.1,22.1,84.9,950.3,0.5,250.0,0
2012,1,3,10,0,786.2,804.6,152.4,25.0,25.0,78.8,950.0,0.9,249.1,0
2012,1,3,11,0,916.8,830.1,169.2,27.7,27.7,72.9,949.8,1.2,245.6,0
2012,1,3,12,0,994.2,843.4,178.8,28.2,28.2,70.4,950.1,2.1,204.8,0
2012,1,3,13,0,1010.4,844.0,182.0,29.4,29.4,69.2,950.0,2.6,209.0,0
2012,1,3,14,0,966.1,835.5,177.3,30.5,30.5,69.1,949.8,3.0,210.1,0
2012,1,3,15,0,864.5,816.3,164.9,29.7,29.7,69.8,949.9,3.1,208.8,0
2012,1,3,16,0,713.7,782.8,145.4,28.8,28.8,71.6,949.8,3.1,206.3,0
2012,1,3,17,0,526.2,726.0,119.6,27.9,27.9,74.5,949.5,3.0,202.6,0
2012,1,3,18,0,319.1,623.7,87.9,27.0,27.0,76.0,950.2,1.7,219.0,0
2012,1,3,19,0,118.5,409.1,48.7,24.7,24.7,82.7,950.3,1.0,210.4,0
2012,1,3,20,0,0.0,0.0,0.0,22.7,22.7,88.5,950.2,0.4,203.7,0
2012,1,3,21,0,0.0,0.0,0.0,20.9,20.9,92.4,950.2,0.4,197.3,0
2012,1,3,22,0,0.0,0.0,0.0,19.5,19.5,94.8,950.0,0.6,196.2,0
2012,1,3,23,0,0.0,0.0,0.0,18.6,18.6,95.5,949.6,0.6,206.1,0
2012,1,4,0,0,0.0,0.0,0.0,16.8,16.8,97.2,949.6,0.4,226.9,0
2012,1,4,1,0,0.0,0.0,0.0,16.0,16.0,97.9,949.5,0.5,231.4,0
2012,1,4,2,0,0.0,0.0,0.0,15.0,15.0,98.6,949.5,0.6,236.4,0
2012,1,4,3,0,0.0,0.0,0.0,14.2,14.2,99.3,949.7,0.7,237.0,0
2012,1,4,4,0,0.0,0.0,0.0,13.2,13.2,99.9,950.0,0.8,95.6,0
2012,1,4,5,0,0.0,0.0,0.0,12.2,12.2,100.0,950.5,1.0,78.8,0
2012,1,4,6,0,18.7,0.0,18.7,13.4,13.4,100.0,950.7,0.7,66.8,0
2012,1,4,7,0,192.3,479.5,69.7,15.4,15.4,96.9,950.9,0.3,33.4,0
2012,1,4,8,0,395.2,632.1,108.8,17.6,17.6,91.6,951.2,0.1,337.3,0
2012,1,4,9,0,593.4,712.0,141.9,20.7,20.7,86.0,951.1,0.5,275.5,0
2012,1,4,10,0,764.9,757.8,169.0,23.8,23.8,80.3,951.1,0.9,251.4,0
2012,1,4,11,0,894.1,783.6,189.2,26.7,26.7,74.8,951.0,1.3,240.2,0
2012,1,4,12,0,970.1,795.7,201.4,27.8,27.8,70.4,951.2,2.1,231.6,0
2012,1,4,13,0,986.9,797.6,204.2,28.8,28.8,70.6,951.2,2.7,226.9,0
2012,1,4,14,0,943.0,788.8,198.1,29.8,29.8,72.0,951.1,3.1,223.3,0
2012,1,4,15,0,841.8,767.8,183.4,28.9,28.9,72.2,951.2,3.3,220.6,0
2012,1,4,16,0,691.7,730.5,160.9,27.9,27.9,73.5,951.2,3.2,217.6,0
2012,1,4,17,0,505.8,667.6,131.4,27.0,27.0,75.9,951.0,3.0,213.7,0
2012,1,4,18,0,302.2,556.9,95.4,25.4,25.4,77.2,951.7,2.1,216.4,0
2012,1,4,19,0,109.2,338.1,51.4,23.1,23.1,83.3,951.8,1.3,208.3,0
2012,1,4,20,0,0.0,0.0,0.0,20.9,20.9,88.5,951.7,0.7,202.5,0
2012,1,4,21,0,0.0,0.0,0.0,19.1,19.1,92.6,951.7,0.3,196.7,0
2012,1,4,22,0,0.0,0.0,0.0,17.7,17.7,95.2,951.5,0.3,196.3,0
2012,1,4,23,0,0.0,0.0,0.0,16.7,16.7,96.1,951.2,0.4,206.6,0
2012,1,5,0,0,0.0,0.0,0.0,15.2,15.2,98.2,950.6,0.6,232.3,0
2012,1,5,1,0,0.0,0.0,0.0,14.5,14.5,98.7,950.3,0.7,234.4,0
2012,1,5,2,0,0.0,0.0,0.0,13.8,13.8,99.2,950.2,0.8,234.2,0
2012,1,5,3,0,0.0,0.0,0.0,12.8,12.8,99.6,950.4,0.9,240.2,0
2012,1,5,4,0,0.0,0.0,0.0,11.8,11.8,99.9,950.7,1.0,265.5,0
2012,1,5,5,0,0.0,0.0,0.0,10.7,10.7,100.0,951.1,1.1,60.3,0
2012,1,5,6,0,17.9,0.0,17.9,11.7,11.7,100.0,950.9,0.9,72.8,0
2012,1,5,7,0,179.3,426.0,71.4,13.7,13.7,95.4,950.9,0.6,51.4,0
2012,1,5,8,0,377.4,587.7,112.4,16.0,16.0,89.6,950.8,0.3,355.6,0
2012,1,5,9,0,572.9,674.3,146.6,19.1,19.1,84.1,950.6,0.2,282.1,0
2012,1,5,10,0,742.9,724.6,174.3,22.2,22.2,78.4,950.4,0.6,260.9,0
2012,1,5,11,0,871.4,753.4,194.5,25.2,25.2,72.9,950.2,1.0,250.6,0
2012,1,5,12,0,947.1,767.3,206.3,26.4,26.4,67.9,950.5,2.1,242.2,0
2012,1,5,13,0,964.8,770.3,209.1,27.5,27.5,67.1,950.3,2.6,238.7,0
2012,1,5,14,0,922.4,762.1,202.7,28.6,28.6,67.6,950.0,3.0,236.1,0
2012,1,5,15,0,823.2,741.1,187.5,27.9,27.9,67.6,950.5,3.1,231.9,0
2012,1,5,16,0,675.6,703.2,164.3,27.1,27.1,68.8,950.7,3.1,228.1,0
2012,1,5,17,0,492.7,638.8,134.0,26.3,26.3,71.1,950.8,2.9,224.1,0
2012,1,5,18,0,135.3,0.0,135.3,25.4,25.4,76.2,950.9,2.1,211.4,0
2012,1,5,19,0,104.6,307.0,51.9,23.2,23.2,82.1,951.1,1.4,201.1,0
2012,1,5,20,0,0.0,0.0,0.0,21.3,21.3,87.2,951.1,0.8,192.3,0
2012,1,5,21,0,0.0,0.0,0.0,19.8,19.8,91.3,951.1,0.6,187.9,0
2012,1,5,22,0,0.0,0.0,0.0,18.6,18.6,93.9,950.9,0.6,189.5,0
2012,1,5,23,0,0.0,0.0,0.0,18.0,18.0,94.9,950.6,0.6,203.2,0
2012,1,6,0,0,0.0,0.0,0.0,15.5,15.5,100.0,950.3,0.9,237.6,0
2012,1,6,1,0,0.0,0.0,0.0,15.3,15.3,100.0,949.9,1.0,240.2,0
2012,1,6,2,0,0.0,0.0,0.0,14.9,14.9,100.0,949.6,1.0,241.5,0
2012,1,6,3,0,0.0,0.0,0.0,14.7,14.7,100.0,949.8,0.9,240.7,0
2012,1,6,4,0,0.0,0.0,0.0,14.3,14.3,100.0,950.1,0.8,234.0,0
2012,1,6,5,0,0.0,0.0,0.0,14.0,14.0,100.0,950.6,0.7,212.8,0
2012,1,6,6,0,16.9,0.0,16.9,13.7,13.7,100.0,949.2,0.7,81.7,0
2012,1,6,7,0,173.5,408.7,71.0,15.9,15.9,97.8,949.3,0.5,75.9,0
2012,1,6,8,0,370.0,574.4,112.3,18.4,18.4,92.1,949.5,0.2,215.6,0
2012,1,6,9,0,272.7,39.4,247.9,21.4,21.4,86.5,949.4,0.3,251.2,0
