DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-33.312780809075385
LONGITUD,-70.73383972346574
ALTURA,494.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2007-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.99,1.00,0.00
2007-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.14,0.84,1.00,0.00
2007-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.13,0.69,1.00,0.00
2007-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.49,0.69,1.00,0.00
2007-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.77,0.68,1.00,0.00
2007-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.99,0.67,1.00,0.00
2007-01-01 06:00:00,17.69,0.00,17.32,0.36,18.84,0.00,18.84,0.00,10.61,0.84,1.00,0.00
2007-01-01 07:00:00,90.70,38.19,48.12,4.40,227.04,174.70,52.34,670.62,12.41,0.79,0.00,0.00
2007-01-01 08:00:00,316.99,242.11,66.16,8.72,450.38,378.42,71.96,827.03,14.48,0.84,0.00,0.00
2007-01-01 09:00:00,553.36,460.86,79.63,12.87,664.56,577.94,86.62,905.53,17.38,1.19,0.00,0.00
2007-01-01 10:00:00,762.56,656.30,89.84,16.43,848.52,750.80,97.72,950.58,20.33,1.65,0.00,0.00
2007-01-01 11:00:00,921.87,805.87,96.90,19.10,986.72,881.32,105.40,976.60,23.20,2.14,0.00,0.00
2007-01-01 12:00:00,1016.51,895.09,100.74,20.68,1068.34,958.76,109.58,990.35,25.05,2.57,0.00,0.00
