Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-33.3128,-70.7338,-4,494
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2007,1,1,0,0,0.0,0.0,0.0,15.0,15.0,91.9,955.3,1.0,159.0,0
2007,1,1,1,0,0.0,0.0,0.0,14.1,14.1,93.1,955.1,0.8,155.5,0
2007,1,1,2,0,0.0,0.0,0.0,13.1,13.1,94.2,955.0,0.7,150.4,0
2007,1,1,3,0,0.0,0.0,0.0,12.5,12.5,94.6,955.0,0.7,151.0,0
2007,1,1,4,0,0.0,0.0,0.0,11.8,11.8,95.1,955.1,0.7,152.1,0
2007,1,1,5,0,0.0,0.0,0.0,11.0,11.0,95.6,955.4,0.7,154.0,0
2007,1,1,6,0,18.8,0.0,18.8,10.6,10.6,100.0,957.3,0.8,136.7,0
2007,1,1,7,0,227.0,670.6,52.3,12.4,12.4,96.8,957.3,0.8,145.2,0
2007,1,1,8,0,450.4,827.0,72.0,14.5,14.5,91.4,957.3,0.8,160.9,0
2007,1,1,9,0,664.6,905.5,86.6,17.4,17.4,86.3,957.1,1.2,185.3,0
2007,1,1,10,0,848.5,950.6,97.7,20.3,20.3,80.6,956.8,1.6,200.2,0
2007,1,1,11,0,986.7,976.6,105.4,23.2,23.2,75.0,956.5,2.1,208.4,0
2007,1,1,12,0,1068.3,990.3,109.6,25.1,25.1,64.7,956.0,2.6,202.5,0
2007,1,1,13,0,1085.9,992.5,110.8,26.2,26.2,63.5,956.1,3.2,196.4,0
2007,1,1,14,0,1039.1,985.5,108.3,27.3,27.3,63.9,956.0,3.9,191.2,0
2007,1,1,15,0,931.6,967.8,102.3,26.6,26.6,64.9,955.8,4.2,188.5,0
2007,1,1,16,0,771.7,935.6,92.9,25.8,25.8,67.6,955.5,4.5,185.4,0
2007,1,1,17,0,572.3,879.8,80.1,24.8,24.8,71.8,955.1,4.6,182.1,0
2007,1,1,18,0,350.7,777.0,63.6,23.6,23.6,73.0,955.1,3.0,187.1,0
2007,1,1,19,0,132.6,546.5,40.1,21.4,21.4,79.0,955.1,2.8,176.2,0
2007,1,1,20,0,0.0,0.0,0.0,19.5,19.5,84.3,954.9,2.5,168.3,0
2007,1,1,21,0,0.0,0.0,0.0,17.9,17.9,88.0,955.1,2.1,162.8,0
2007,1,1,22,0,0.0,0.0,0.0,16.6,16.6,90.4,955.2,1.6,159.1,0
2007,1,1,23,0,0.0,0.0,0.0,15.8,15.8,91.5,955.1,1.0,157.6,0
2007,1,2,0,0,0.0,0.0,0.0,14.7,14.7,95.0,955.0,1.0,167.0,0
2007,1,2,1,0,0.0,0.0,0.0,14.1,14.1,96.5,955.0,0.7,164.7,0
2007,1,2,2,0,0.0,0.0,0.0,13.3,13.3,98.0,955.1,0.5,161.0,0
2007,1,2,3,0,0.0,0.0,0.0,12.6,12.6,98.1,955.1,0.5,158.4,0
2007,1,2,4,0,0.0,0.0,0.0,11.9,11.9,98.2,955.3,0.4,155.2,0
2007,1,2,5,0,0.0,0.0,0.0,11.1,11.1,98.3,955.6,0.4,151.3,0
2007,1,2,6,0,18.3,0.0,18.3,10.4,10.4,98.9,956.6,0.3,121.3,0
2007,1,2,7,0,225.0,667.1,52.7,12.1,12.1,95.1,956.9,0.3,134.9,0
2007,1,2,8,0,448.2,823.6,73.0,14.1,14.1,90.0,957.2,0.5,166.6,0
2007,1,2,9,0,662.2,901.6,88.5,17.0,17.0,84.5,957.4,0.9,195.2,0
2007,1,2,10,0,846.0,945.5,100.5,19.8,19.8,78.6,957.5,1.4,205.4,0
2007,1,2,11,0,983.9,970.4,109.1,22.6,22.6,72.6,957.7,1.9,209.7,0
2007,1,2,12,0,1065.0,982.8,114.1,25.5,25.5,68.8,956.9,2.2,218.7,0
2007,1,2,13,0,1083.2,985.4,115.3,26.8,26.8,67.6,957.0,2.7,207.4,0
2007,1,2,14,0,1037.1,978.4,112.7,28.0,28.0,68.0,957.1,3.2,198.9,0
2007,1,2,15,0,930.0,960.6,106.3,27.2,27.2,68.4,957.2,3.5,195.0,0
2007,1,2,16,0,770.3,928.0,96.4,26.2,26.2,70.4,957.1,3.7,191.0,0
2007,1,2,17,0,571.0,871.4,83.0,25.1,25.1,73.9,957.0,3.7,187.0,0
2007,1,2,18,0,349.6,766.7,65.6,22.7,22.7,72.1,956.7,3.3,187.4,0
2007,1,2,19,0,131.9,533.4,41.2,20.4,20.4,77.7,956.9,3.2,176.2,0
2007,1,2,20,0,0.0,0.0,0.0,18.3,18.3,82.5,956.9,2.9,168.0,0
2007,1,2,21,0,0.0,0.0,0.0,16.5,16.5,86.3,957.1,2.4,162.7,0
2007,1,2,22,0,0.0,0.0,0.0,15.2,15.2,88.9,957.1,1.8,159.0,0
2007,1,2,23,0,0.0,0.0,0.0,14.3,14.3,90.1,957.1,1.1,157.6,0
2007,1,3,0,0,0.0,0.0,0.0,12.1,12.1,93.9,956.7,0.6,154.9,0
2007,1,3,1,0,0.0,0.0,0.0,11.3,11.3,95.6,956.7,0.4,148.3,0
2007,1,3,2,0,0.0,0.0,0.0,10.4,10.4,97.3,956.8,0.3,136.0,0
2007,1,3,3,0,0.0,0.0,0.0,9.9,9.9,97.4,956.6,0.3,129.1,0
2007,1,3,4,0,0.0,0.0,0.0,9.2,9.2,97.6,956.6,0.3,121.9,0
2007,1,3,5,0,0.0,0.0,0.0,8.6,8.6,97.8,956.7,0.3,116.0,0
2007,1,3,6,0,17.9,0.0,17.9,9.8,9.8,100.0,958.5,0.7,146.7,0
2007,1,3,7,0,221.8,657.7,53.4,11.8,11.8,95.9,958.4,0.7,158.5,0
2007,1,3,8,0,445.4,818.2,74.4,14.0,14.0,90.6,958.4,0.8,180.5,0
2007,1,3,9,0,660.2,898.1,90.3,16.7,16.7,84.5,958.5,1.1,196.8,0
2007,1,3,10,0,844.9,943.3,102.6,19.4,19.4,77.9,958.6,1.5,205.8,0
2007,1,3,11,0,983.8,969.0,111.4,22.1,22.1,71.3,958.7,2.0,210.6,0
2007,1,3,12,0,1065.7,981.8,116.4,25.3,25.3,62.2,957.2,1.8,260.3,0
2007,1,3,13,0,1084.8,984.8,117.6,26.5,26.5,61.0,957.3,2.1,231.5,0
2007,1,3,14,0,1039.1,978.2,114.8,27.5,27.5,61.4,957.2,2.6,210.7,0
2007,1,3,15,0,932.3,960.5,108.3,26.8,26.8,61.9,957.6,3.0,201.7,0
2007,1,3,16,0,772.6,927.9,98.1,26.0,26.0,64.1,957.8,3.2,194.7,0
2007,1,3,17,0,573.1,871.2,84.4,25.1,25.1,67.7,957.8,3.4,188.7,0
2007,1,3,18,0,351.1,766.3,66.7,22.8,22.8,70.9,957.8,3.0,189.7,0
2007,1,3,19,0,132.7,532.8,41.8,20.7,20.7,76.0,958.0,2.8,177.2,0
2007,1,3,20,0,0.0,0.0,0.0,18.8,18.8,80.4,958.1,2.5,168.2,0
2007,1,3,21,0,0.0,0.0,0.0,17.1,17.1,84.0,958.2,2.1,162.3,0
