DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-22.805245
LONGITUD,-69.282943
ALTURA,1645.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2014-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.88,1.54,1.00,0.00
2014-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.02,1.60,1.00,0.00
2014-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.83,1.76,1.00,0.00
2014-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.57,2.15,1.00,0.00
2014-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.74,2.05,1.00,0.00
2014-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,2.41,1.00,0.00
2014-01-01 06:00:00,0.68,0.00,0.67,0.01,0.70,0.00,0.70,0.00,10.10,2.19,1.00,0.00
2014-01-01 07:00:00,95.26,63.27,29.92,2.06,216.04,184.88,31.16,829.39,12.89,1.19,0.00,0.00
2014-01-01 08:00:00,351.17,309.07,37.57,4.54,475.62,436.50,39.12,993.60,17.57,0.25,0.00,0.00
2014-01-01 09:00:00,606.33,558.28,41.18,6.87,719.92,677.04,42.88,1064.62,20.72,1.81,0.00,0.00
2014-01-01 10:00:00,825.79,773.80,43.15,8.84,926.34,881.40,44.94,1102.04,22.95,3.22,0.00,0.00
2014-01-01 11:00:00,988.60,934.06,44.25,10.29,1078.36,1032.28,46.08,1122.85,24.41,4.10,0.00,0.00
2014-01-01 12:00:00,1078.63,1022.76,44.79,11.08,1161.78,1115.14,46.64,1130.29,26.11,4.64,0.00,0.00
2014-01-01 13:00:00,1090.70,1034.67,44.84,11.19,1172.64,1125.94,46.70,1129.31,27.44,4.86,0.00,0.00
