DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-30.030907
LONGITUD,-70.745316
ALTURA,574.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2012-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.87,0.83,1.00,0.00
2012-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,0.88,1.00,0.00
2012-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.19,0.94,1.00,0.00
2012-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.70,0.97,1.00,0.00
2012-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.20,1.00,1.00,0.00
2012-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.72,1.02,1.00,0.00
2012-01-01 06:00:00,11.50,0.00,11.31,0.19,12.12,0.00,12.12,0.00,15.26,0.49,1.00,0.00
2012-01-01 07:00:00,83.89,32.05,48.72,3.11,193.42,141.20,52.22,580.01,17.53,0.19,0.00,0.00
2012-01-01 08:00:00,300.38,226.84,66.79,6.76,420.38,348.80,71.58,779.26,19.98,0.38,0.00,0.00
2012-01-01 09:00:00,534.83,445.82,78.69,10.33,642.24,557.90,84.34,879.14,22.63,1.39,0.00,0.00
2012-01-01 10:00:00,744.60,644.05,87.14,13.41,833.86,740.46,93.40,935.34,25.24,2.90,0.00,0.00
2012-01-01 11:00:00,904.64,796.03,92.89,15.72,977.76,878.20,99.56,966.95,27.69,4.81,0.00,0.00
2012-01-01 12:00:00,999.18,885.92,96.19,17.08,1062.10,959.00,103.10,982.36,29.36,6.00,0.00,0.00
2012-01-01 13:00:00,1020.28,906.22,96.68,17.38,1080.90,977.28,103.62,986.06,30.43,6.55,0.00,0.00
2012-01-01 14:00:00,965.28,853.95,94.74,16.59,1031.88,930.34,101.54,977.44,31.26,6.98,0.00,0.00
2012-01-01 15:00:00,838.98,733.87,90.33,14.77,918.72,821.90,96.82,954.58,30.75,6.83,0.00,0.00
2012-01-01 16:00:00,653.69,558.21,83.41,12.07,751.00,661.60,89.40,912.69,30.00,6.51,0.00,0.00
2012-01-01 17:00:00,321.34,54.13,261.54,5.67,352.80,72.48,280.32,131.15,29.06,6.10,0.00,1.00
2012-01-01 18:00:00,195.61,131.06,59.49,5.06,315.04,251.28,63.76,705.67,27.68,4.32,0.00,0.00
2012-01-01 19:00:00,37.43,0.00,35.83,1.60,99.64,61.24,38.40,411.91,25.55,2.16,0.00,0.00
2012-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.88,0.64,1.00,0.00
2012-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.41,0.77,1.00,0.00
2012-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.53,1.04,1.00,0.00
2012-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.27,1.09,1.00,0.00
2012-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.49,0.93,1.00,0.00
2012-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.86,0.96,1.00,0.00
2012-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.19,0.99,1.00,0.00
2012-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,0.95,1.00,0.00
2012-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.59,0.93,1.00,0.00
2012-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.81,0.89,1.00,0.00
2012-01-02 06:00:00,10.74,0.00,10.56,0.18,11.32,0.00,11.32,0.00,14.41,0.72,1.00,0.00
2012-01-02 07:00:00,81.82,31.03,47.71,3.08,191.54,140.40,51.14,582.39,16.56,0.56,0.00,0.00
2012-01-02 08:00:00,298.70,226.86,65.11,6.74,418.96,349.18,69.78,783.94,18.89,0.23,0.00,0.00
2012-01-02 09:00:00,533.99,447.40,76.28,10.31,641.50,559.74,81.76,884.68,21.63,1.02,0.00,0.00
2012-01-02 10:00:00,744.95,647.51,84.03,13.41,834.08,744.02,90.06,941.49,24.33,2.47,0.00,0.00
2012-01-02 11:00:00,906.26,801.36,89.16,15.74,979.10,883.54,95.56,973.85,26.88,4.34,0.00,0.00
2012-01-02 12:00:00,1002.27,893.23,91.92,17.12,1064.76,966.24,98.52,990.28,28.80,6.28,0.00,0.00
2012-01-02 13:00:00,1023.68,913.42,92.83,17.42,1083.70,984.20,99.50,993.13,30.08,6.76,0.00,0.00
2012-01-02 14:00:00,968.77,860.70,91.44,16.64,1034.74,936.74,98.00,983.89,31.11,7.05,0.00,0.00
2012-01-02 15:00:00,842.53,740.00,87.70,14.82,921.70,827.70,94.00,960.62,30.31,7.03,0.00,0.00
2012-01-02 16:00:00,656.96,563.35,81.49,12.12,753.88,666.54,87.34,918.43,29.28,6.80,0.00,0.00
2012-01-02 17:00:00,431.73,350.59,72.36,8.77,545.62,468.06,77.56,845.36,28.07,6.42,0.00,0.00
2012-01-02 18:00:00,197.45,133.43,58.93,5.10,317.06,253.90,63.16,711.08,26.01,4.82,0.00,0.00
2012-01-02 19:00:00,37.48,0.00,35.87,1.62,100.64,62.20,38.44,415.96,23.74,2.82,0.00,0.00
2012-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.93,1.37,1.00,0.00
2012-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.55,0.67,1.00,0.00
2012-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.78,0.50,1.00,0.00
2012-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.62,0.69,1.00,0.00
2012-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.10,0.71,1.00,0.00
