Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-30.0309,-70.7453,-4,574
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2012,1,1,0,0,0.0,0.0,0.0,17.9,17.9,75.6,942.0,0.8,170.9,0
2012,1,1,1,0,0.0,0.0,0.0,17.6,17.6,73.7,942.0,0.9,121.8,0
2012,1,1,2,0,0.0,0.0,0.0,17.2,17.2,71.0,942.1,0.9,109.5,0
2012,1,1,3,0,0.0,0.0,0.0,16.7,16.7,71.3,942.6,1.0,106.2,0
2012,1,1,4,0,0.0,0.0,0.0,16.2,16.2,70.7,943.2,1.0,104.1,0
2012,1,1,5,0,0.0,0.0,0.0,15.7,15.7,69.1,943.8,1.0,102.6,0
2012,1,1,6,0,12.1,0.0,12.1,15.3,15.3,74.6,944.1,0.5,276.3,0
2012,1,1,7,0,193.4,580.0,52.2,17.5,17.5,70.9,944.5,0.2,276.0,0
2012,1,1,8,0,420.4,779.3,71.6,20.0,20.0,65.7,944.8,0.4,280.4,0
2012,1,1,9,0,642.2,879.1,84.3,22.6,22.6,62.3,944.5,1.4,280.7,0
2012,1,1,10,0,833.9,935.3,93.4,25.2,25.2,58.3,944.1,2.9,281.0,0
2012,1,1,11,0,977.8,967.0,99.6,27.7,27.7,54.0,943.7,4.8,281.1,0
2012,1,1,12,0,1062.1,982.4,103.1,29.4,29.4,56.4,944.3,6.0,280.0,0
2012,1,1,13,0,1080.9,986.1,103.6,30.4,30.4,57.0,943.9,6.6,283.9,0
2012,1,1,14,0,1031.9,977.4,101.5,31.3,31.3,58.7,943.3,7.0,285.7,0
2012,1,1,15,0,918.7,954.6,96.8,30.7,30.7,58.9,943.1,6.8,286.2,0
2012,1,1,16,0,751.0,912.7,89.4,30.0,30.0,60.3,942.7,6.5,285.4,0
2012,1,1,17,0,352.8,131.1,280.3,29.1,29.1,62.7,942.1,6.1,283.4,0
2012,1,1,18,0,315.0,705.7,63.8,27.7,27.7,66.1,942.5,4.3,289.7,0
2012,1,1,19,0,99.6,411.9,38.4,25.6,25.6,71.7,942.5,2.2,287.5,0
2012,1,1,20,0,0.0,0.0,0.0,23.9,23.9,76.0,942.3,0.6,282.1,0
2012,1,1,21,0,0.0,0.0,0.0,22.4,22.4,78.2,942.4,0.8,197.6,0
2012,1,1,22,0,0.0,0.0,0.0,21.5,21.5,78.6,942.3,1.0,128.1,0
2012,1,1,23,0,0.0,0.0,0.0,21.3,21.3,77.0,942.1,1.1,0.3,0
2012,1,2,0,0,0.0,0.0,0.0,19.5,19.5,80.4,941.2,0.9,221.1,0
2012,1,2,1,0,0.0,0.0,0.0,18.9,18.9,79.4,941.3,1.0,141.1,0
2012,1,2,2,0,0.0,0.0,0.0,18.2,18.2,77.6,941.5,1.0,113.3,0
2012,1,2,3,0,0.0,0.0,0.0,17.4,17.4,78.1,942.0,1.0,121.4,0
2012,1,2,4,0,0.0,0.0,0.0,16.6,16.6,77.6,942.6,0.9,143.4,0
2012,1,2,5,0,0.0,0.0,0.0,15.8,15.8,76.2,943.3,0.9,202.2,0
2012,1,2,6,0,11.3,0.0,11.3,14.4,14.4,85.3,943.5,0.7,29.3,0
2012,1,2,7,0,191.5,582.4,51.1,16.6,16.6,82.2,943.9,0.6,75.1,0
2012,1,2,8,0,419.0,783.9,69.8,18.9,18.9,77.6,944.3,0.2,339.0,0
2012,1,2,9,0,641.5,884.7,81.8,21.6,21.6,71.4,944.0,1.0,289.3,0
2012,1,2,10,0,834.1,941.5,90.1,24.3,24.3,64.6,943.6,2.5,284.3,0
2012,1,2,11,0,979.1,973.9,95.6,26.9,26.9,57.6,943.3,4.3,282.9,0
2012,1,2,12,0,1064.8,990.3,98.5,28.8,28.8,55.4,943.5,6.3,291.4,0
2012,1,2,13,0,1083.7,993.1,99.5,30.1,30.1,54.4,943.1,6.8,293.4,0
2012,1,2,14,0,1034.7,983.9,98.0,31.1,31.1,54.5,942.5,7.0,294.0,0
2012,1,2,15,0,921.7,960.6,94.0,30.3,30.3,55.6,942.5,7.0,294.2,0
2012,1,2,16,0,753.9,918.4,87.3,29.3,29.3,57.8,942.4,6.8,293.3,0
2012,1,2,17,0,545.6,845.4,77.6,28.1,28.1,61.0,942.0,6.4,291.5,0
2012,1,2,18,0,317.1,711.1,63.2,26.0,26.0,64.5,942.9,4.8,288.1,0
2012,1,2,19,0,100.6,416.0,38.4,23.7,23.7,70.2,943.0,2.8,284.9,0
2012,1,2,20,0,0.0,0.0,0.0,21.9,21.9,74.6,943.0,1.4,278.7,0
2012,1,2,21,0,0.0,0.0,0.0,20.6,20.6,77.1,943.3,0.7,260.7,0
2012,1,2,22,0,0.0,0.0,0.0,19.8,19.8,77.8,943.4,0.5,235.6,0
2012,1,2,23,0,0.0,0.0,0.0,19.6,19.6,76.5,943.4,0.7,275.5,0
2012,1,3,0,0,0.0,0.0,0.0,18.1,18.1,81.5,942.7,0.7,264.4,0
2012,1,3,1,0,0.0,0.0,0.0,17.6,17.6,79.9,942.9,0.7,263.8,0
2012,1,3,2,0,0.0,0.0,0.0,17.1,17.1,77.6,943.1,0.7,263.2,0
2012,1,3,3,0,0.0,0.0,0.0,16.5,16.5,78.0,943.3,0.8,264.0,0
2012,1,3,4,0,0.0,0.0,0.0,16.0,16.0,77.5,943.4,0.8,264.8,0
2012,1,3,5,0,0.0,0.0,0.0,15.4,15.4,76.1,943.7,0.8,265.5,0
2012,1,3,6,0,10.6,0.0,10.6,14.7,14.7,85.1,943.4,0.4,288.4,0
2012,1,3,7,0,186.2,561.1,52.2,17.0,17.0,80.1,943.3,0.2,298.7,0
2012,1,3,8,0,412.0,766.3,72.3,19.5,19.5,73.5,943.2,0.3,286.6,0
2012,1,3,9,0,633.9,869.2,85.5,22.3,22.3,68.2,943.0,1.2,282.5,0
2012,1,3,10,0,826.3,927.1,95.0,24.9,24.9,62.3,942.8,2.6,281.7,0
2012,1,3,11,0,971.3,959.9,101.5,27.4,27.4,56.1,942.5,4.4,281.5,0
2012,1,3,12,0,1057.0,976.0,105.2,29.5,29.5,55.5,942.4,6.3,287.2,0
2012,1,3,13,0,1077.3,980.4,105.8,30.8,30.8,54.9,942.1,6.8,289.7,0
2012,1,3,14,0,1029.6,972.1,103.7,31.8,31.8,55.6,941.7,7.1,290.5,0
2012,1,3,15,0,917.6,949.7,98.9,31.1,31.1,56.4,941.9,6.9,290.6,0
2012,1,3,16,0,750.8,907.7,91.3,30.2,30.2,58.3,941.8,6.6,289.5,0
2012,1,3,17,0,543.3,834.7,80.5,29.2,29.2,61.4,941.6,6.2,287.3,0
2012,1,3,18,0,315.6,699.9,65.0,26.2,26.2,67.6,941.9,5.5,288.2,0
2012,1,3,19,0,100.2,405.9,39.2,24.0,24.0,73.8,942.2,3.5,285.1,0
2012,1,3,20,0,0.0,0.0,0.0,22.3,22.3,78.7,942.3,2.1,280.3,0
2012,1,3,21,0,0.0,0.0,0.0,21.0,21.0,80.4,942.4,1.0,272.4,0
2012,1,3,22,0,0.0,0.0,0.0,20.4,20.4,80.2,942.3,0.3,267.7,0
2012,1,3,23,0,0.0,0.0,0.0,20.4,20.4,78.1,941.9,0.8,280.5,0
2012,1,4,0,0,0.0,0.0,0.0,18.8,18.8,75.7,942.7,0.5,264.4,0
2012,1,4,1,0,0.0,0.0,0.0,18.2,18.2,73.3,942.9,0.5,263.6,0
2012,1,4,2,0,0.0,0.0,0.0,17.6,17.6,70.2,943.2,0.5,262.7,0
2012,1,4,3,0,0.0,0.0,0.0,16.8,16.8,70.7,943.5,0.5,262.9,0
2012,1,4,4,0,0.0,0.0,0.0,16.1,16.1,70.3,943.9,0.5,263.2,0
2012,1,4,5,0,0.0,0.0,0.0,15.3,15.3,69.0,944.3,0.5,263.7,0
2012,1,4,6,0,9.8,0.0,9.8,14.2,14.2,77.1,945.3,1.2,106.3,0
2012,1,4,7,0,186.6,572.1,51.3,16.2,16.2,74.5,945.6,1.3,103.7,0
2012,1,4,8,0,414.7,779.8,70.7,18.4,18.4,70.4,945.9,0.9,101.8,0
2012,1,4,9,0,638.8,883.2,83.1,21.0,21.0,66.9,945.7,0.2,282.3,0
2012,1,4,10,0,833.3,941.6,91.7,23.6,23.6,62.8,945.5,1.7,282.1,0
2012,1,4,11,0,980.2,975.1,97.4,25.9,25.9,58.4,945.4,3.7,282.1,0
2012,1,4,12,0,1067.6,992.3,100.5,28.9,28.9,56.6,944.6,6.0,283.8,0
2012,1,4,13,0,1087.7,995.6,101.3,29.8,29.8,56.5,944.5,6.7,289.2,0
2012,1,4,14,0,1039.4,986.6,99.5,30.5,30.5,57.7,944.3,7.3,292.1,0
2012,1,4,15,0,926.7,963.7,95.2,29.8,29.8,58.3,944.3,7.2,292.3,0
2012,1,4,16,0,758.7,921.9,88.3,28.8,28.8,60.1,944.1,6.9,291.4,0
2012,1,4,17,0,550.0,849.4,78.2,27.6,27.6,62.9,943.6,6.4,289.4,0
2012,1,4,18,0,320.5,715.8,63.6,24.6,24.6,68.1,943.9,5.9,288.3,0
2012,1,4,19,0,102.6,422.1,38.8,22.4,22.4,74.4,944.1,3.8,286.0,0
2012,1,4,20,0,0.0,0.0,0.0,20.7,20.7,79.5,944.0,2.3,282.3,0
2012,1,4,21,0,0.0,0.0,0.0,19.3,19.3,81.8,944.0,1.5,275.8,0
2012,1,4,22,0,0.0,0.0,0.0,18.6,18.6,82.2,943.9,0.9,273.6,0
2012,1,4,23,0,0.0,0.0,0.0,18.4,18.4,80.7,943.6,1.0,281.0,0
2012,1,5,0,0,0.0,0.0,0.0,17.2,17.2,84.0,944.2,0.1,268.4,0
2012,1,5,1,0,0.0,0.0,0.0,16.6,16.6,82.3,944.3,0.1,268.1,0
2012,1,5,2,0,0.0,0.0,0.0,15.9,15.9,79.9,944.4,0.0,267.7,0
2012,1,5,3,0,0.0,0.0,0.0,15.0,15.0,80.1,944.8,0.1,268.3,0
2012,1,5,4,0,0.0,0.0,0.0,14.1,14.1,79.3,945.3,0.1,268.9,0
2012,1,5,5,0,0.0,0.0,0.0,13.3,13.3,77.6,945.9,0.1,269.5,0
2012,1,5,6,0,9.0,0.0,9.0,11.7,11.7,81.8,946.7,0.4,233.4,0
2012,1,5,7,0,183.2,565.9,50.8,13.7,13.7,78.1,947.0,0.4,187.2,0
2012,1,5,8,0,409.9,773.5,70.3,15.8,15.8,72.9,947.3,0.2,252.3,0
2012,1,5,9,0,632.6,876.4,82.8,18.6,18.6,68.4,947.1,1.1,272.6,0
2012,1,5,10,0,825.9,934.2,91.7,21.4,21.4,63.2,946.8,2.6,277.2,0
2012,1,5,11,0,972.0,966.9,97.6,24.0,24.0,57.7,946.6,4.6,279.0,0
2012,1,5,12,0,1058.7,983.3,101.0,26.8,26.8,55.1,944.7,6.3,287.4,0
2012,1,5,13,0,1079.8,987.7,101.4,27.9,27.9,54.3,944.6,6.9,290.8,0
2012,1,5,14,0,1032.8,979.7,99.3,28.8,28.8,54.6,944.2,7.3,292.4,0
2012,1,5,15,0,921.6,958.0,94.7,28.0,28.0,56.5,944.4,7.4,293.3,0
2012,1,5,16,0,755.3,917.3,87.5,26.9,26.9,59.6,944.3,7.4,293.1,0
2012,1,5,17,0,548.2,846.4,77.3,25.7,25.7,63.7,944.1,7.2,292.0,0
2012,1,5,18,0,320.1,715.4,62.8,23.6,23.6,67.9,943.7,6.5,286.6,0
2012,1,5,19,0,103.0,425.6,38.4,21.3,21.3,74.8,944.0,4.6,283.8,0
2012,1,5,20,0,0.0,0.0,0.0,19.5,19.5,80.4,944.1,3.2,280.0,0
2012,1,5,21,0,0.0,0.0,0.0,18.3,18.3,82.9,944.1,2.3,274.3,0
2012,1,5,22,0,0.0,0.0,0.0,17.8,17.8,83.5,943.9,1.7,271.9,0
2012,1,5,23,0,0.0,0.0,0.0,17.9,17.9,82.1,943.5,1.5,276.8,0
2012,1,6,0,0,0.0,0.0,0.0,16.9,16.9,88.7,943.7,0.2,270.0,0
2012,1,6,1,0,0.0,0.0,0.0,16.6,16.6,87.8,943.5,0.2,269.7,0
2012,1,6,2,0,0.0,0.0,0.0,16.3,16.3,86.1,943.3,0.2,269.2,0
