ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
45,19005.526,8,CIA MINERA CERRO COLORADO LTDA,CIA. MINERA CERRO COLORADO LTDA.,Extracción de minerales,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS,Tarapacá,Tamarugal,Pozo Almonte,19.0,7782121.0,473092.0,-20.05762649190619,-69.25732690489642,5190.02,1,7,-7709690.364756355,-2279858.8270116816,9.852485057967474,#d62728
160,9733.000000000002,5,CONSERVERA PENTZKE SA,CONSERVERA PENTZKE S.A.,Producción de alimentos,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",Valparaíso,San Felipe de Aconcagua,San Felipe,19.0,6374666.0,337858.0,-32.75393562074498,-70.73080278495674,3864.51,1,2,-7873716.9494208405,-3862688.393156688,9.183277452426493,#aec7e8
244,1943.165,2,METSO MINERALS (CHILE) S A,FÁBRICA CONCÓN,Industria manufacturera,FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO,Valparaíso,Valparaíso,Concón,19.0,6350456.0,265374.0,-32.959046204011734,-71.51014048516245,1152.39,1,6,-7960472.425363742,-3889869.2927247174,7.572073365998376,#98df8a
331,12985.86802,2,INVERTEC FOODS S A,INVERTEC FOODS S A,Producción de alimentos,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",Libertador Gral. Bernardo O'Higgins,Cachapoal,Rengo,19.0,6190139.0,328646.0,-34.41601820249911,-70.8645476034866,12984.7,1,2,-7888605.354515824,-4084800.839301075,9.471616969764051,#aec7e8
365,4029.0509999999995,3,FRUTAS DE CURICO LIMITADA,FRUTAS DE CURICO LIMITADA,Producción de alimentos,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",Maule,Curicó,Curicó,19.0,6122616.0,294689.0,-35.018275493770176,-71.25024405646505,1976.36,1,2,-7931540.887262157,-4166364.9880955485,8.30128614333908,#aec7e8
373,1036.34,1,ROCOFRUT S A,ROCOFRUT  S.A.,Producción de alimentos,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",Maule,Curicó,Romeral,19.0,6128689.0,300111.0,-34.964639716351186,-71.1893987421705,1036.34,1,2,-7924767.61785773,-4159076.8604306723,6.9434505543065885,#aec7e8
398,1155.96,1,CURTIEMBRE TALCA S A,CURTIEMBRE TALCA,Industria manufacturera,CURTIDO Y ADOBO DE CUEROS,Maule,Talca,Talca,19.0,6075735.0,258971.0,-35.43266733114137,-71.65510498909566,1155.96,1,6,-7976609.800124686,-4222835.468214952,7.052686446557533,#98df8a
645,1343.91,1,INDUSTRIAS CHILENAS DE ALAMBRE INCHALAM S.A.,INCHALAM,Industria manufacturera,FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.,Biobío,Concepción,Talcahuano,18.0,5931140.0,667572.0,-36.75069943411784,-73.12286922214501,1343.91,1,6,-8140000.5671523195,-4404414.237951421,7.203338554555173,#98df8a
796,2892.3199999999997,2,FRIGORIFICO DE OSORNO S A,FRIGORIFICO DE OSORNO S.A,Producción de alimentos,"PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS",Los Lagos,Osorno,Osorno,18.0,5506028.0,656820.0,-40.58168747666417,-73.14706481033512,2748.7,1,2,-8142694.007709087,-4950835.089672365,7.969814227226544,#aec7e8
831,1512.77459,2,EXTRACTOS NATURALES GELYMAR S A,EXTRACTOS NATURALES GELYMAR S.A.,Industria manufacturera,EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS,Los Lagos,Llanquihue,Calbuco,18.0,5396003.0,650314.0,-41.573528397758935,-73.19702455370646,784.304,1,6,-8148255.500901346,-5097308.603064553,7.321700720534753,#98df8a
835,1819.548,2,PRODUCTORA DE AGAR S A,PROAGAR S.A.,Industria manufacturera,ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO,Los Lagos,Llanquihue,Llanquihue,18.0,5429818.0,667378.0,-41.26573259717678,-73.00181676933052,1474.46,1,6,-8126525.069745733,-5051616.52721366,7.506343397578112,#98df8a
1390,1610.5440000000003,3,EMPRESA EL MERCURIO S A P,EL MERCURIO,Industria manufacturera,OTRAS ACTIVIDADES DE SERVICIOS N.C.P.,Metropolitana,Santiago,Vitacura,19.0,6305007.0,351883.0,-33.38401543772755,-70.59241929280346,751.6080000000002,1,6,-7858312.169540143,-3946387.224769582,7.384327289105904,#98df8a
1521,2388.1987,3,HILADOS Y TEJIDOS GARIB SA,HILADOS Y TEJIDOS GARIB S.A.,Industria manufacturera,PREPARACIÓN DE HILATURA DE FIBRAS TEXTILES; TEJEDURA DE PRODUCTOS TEXTILES,Metropolitana,Santiago,Ñuñoa,19.0,6294875.0,349218.0,-33.47499599552571,-70.62276055345983,1917.43,1,6,-7861689.743226436,-3958522.7926533385,7.778294678756116,#98df8a
1573,1009.833,3,COMERCIAL ALAMEDA LIMITADA,COMERCIAL ALAMEDA,Industria manufacturera,ACABADO DE PRODUCTOS TEXTIL,Metropolitana,Santiago,Macul,19.0,6294359.0,349722.0,-33.479719180874284,-70.61742471047764,920.787,1,6,-7861095.759902705,-3959153.148901063,6.917540249629407,#98df8a
1643,3121.744,2,LABORATORIO SANDERSON SA,LABORATORIO SANDERSON,Producción de alimentos,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Metropolitana,Santiago,San Joaquín,19.0,6295008.0,348701.0,-33.47372389985964,-70.62830027021954,3028.67,1,2,-7862306.421675266,-3958353.024658,8.04614709899453,#aec7e8
1673,1052.154,2,TINTORERIA KREISEL S A I,TINTORERIAS KREISEL S.A.I.,Industria manufacturera,ACABADO DE PRODUCTOS TEXTIL,Metropolitana,Santiago,San Joaquín,19.0,6293373.0,349645.0,-33.488598204945056,-70.61841853089106,1029.69,1,6,-7861206.391485068,-3960338.236362724,6.958594770416702,#98df8a
1974,1085.1285,2,EVERCRISP SNACK PRODUCTOS DE CHILE S A,EVERCRISP SNACK PROD. DE CHILE S.A.,Producción de alimentos,ELABORACIÓN DE PRODUCTOS DE MOLINERÍA,Metropolitana,Santiago,Cerrillos,19.0,6292972.0,340396.0,-33.49087348903573,-70.7180081231942,1007.14,1,2,-7872292.654188562,-3960641.9391418383,6.989453692141628,#aec7e8
2048,6580.538921,1,CAFFARENA S.A.,TEJIDOS CAFFARENA S.A,Industria manufacturera,PREPARACIÓN DE HILATURA DE FIBRAS TEXTILES; TEJEDURA DE PRODUCTOS TEXTILES,Metropolitana,Santiago,Maipú,19.0,6290238.0,338957.0,-33.515306192601045,-70.73398321183078,6580.538921,1,6,-7874070.992920964,-3963903.6965381103,8.791871923853043,#98df8a
2059,5305.671968,2,CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.,PLANTA 1 CIAL,Producción de alimentos,"PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS",Metropolitana,Santiago,Pudahuel,19.0,6303984.0,335762.0,-33.39089401585678,-70.76585598839876,5304.95,1,2,-7877619.054178679,-3947304.289222537,8.57653170994451,#aec7e8
2138,11629.68152,1,ELABORADORA DE ALIMENTOS DONIHUE LTDA,ELABORADORA DE ALIMENTOS DOÑIHUE LTDA,Producción de alimentos,"PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS",Metropolitana,Santiago,Pudahuel,19.0,6298085.0,335173.0,-33.44398584532562,-70.77326713756572,11629.68152,1,2,-7878444.059530139,-3954385.0314556425,9.361315860786934,#aec7e8
2438,2144.99,1,SOC PROCESADORA DE LECHE DEL SUR S A,PLANTA OSORNO,Producción de alimentos,ELABORACIÓN DE PRODUCTOS LÁCTEOS,Los Lagos,Osorno,Osorno,18.0,5509722.0,656490.0,-40.54848835180388,-73.15187747895337,2144.99,1,2,-8143229.751529026,-4945970.18652284,7.670890169346588,#aec7e8
2481,2048.419,2,NESTLE CHILE SA,NESTLE CHILE SA PLANTA SAN FERNANDO,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Libertador Gral. Bernardo O'Higgins,Colchagua,San Fernando,19.0,6169912.0,319279.0,-34.59672498988549,-70.97070862009959,1384.75,1,2,-7900423.144827277,-4109211.835772015,7.6248235550775005,#aec7e8
2482,9646.99,5,NESTLE CHILE SA,NESTLE CHILE SA,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Libertador Gral. Bernardo O'Higgins,Cachapoal,Graneros,19.0,6228964.0,340677.0,-34.06795794885033,-70.7265270214724,3632.61,1,2,-7873240.973607013,-4037930.7725569946,9.17440122857833,#aec7e8
2483,2972.9248,4,NESTLE CHILE SA,FABRICA LOS ANGELES,Producción de alimentos,ELABORACIÓN DE PRODUCTOS LÁCTEOS,Biobío,Biobío,Los Angeles,18.0,5848000.0,734132.0,-37.48525998987832,-72.35191780778894,2862.26,1,2,-8054178.648279848,-4506963.350475686,7.9973015283626845,#aec7e8
2486,3257.0772,1,NESTLE CHILE SA,NESTLE CHILE S.A FÁBRICA MAIPU,Producción de alimentos,ELABORACIÓN DE PRODUCTOS DE MOLINERÍA,Metropolitana,Santiago,Maipú,19.0,6287986.0,335822.0,-33.535131633282404,-70.76813776056147,3257.0772,1,2,-7877873.05989394,-3966551.062976169,8.08858550778931,#aec7e8
