"Time stamp","System power generated | (kW)","AC inverter output power | (W)","DC inverter input power | (W)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Weather file ambient temperature | (C)","Weather file beam irradiance | (W/m2)","Weather file diffuse irradiance | (W/m2)","Weather file global horizontal irradiance | (W/m2)"
"Jan 1, 12:00 am",0,0,0,14.7,0,14.7,0,0,0
"Jan 1, 01:00 am",0,0,0,14.5,0,14.5,0,0,0
"Jan 1, 02:00 am",0,0,0,14.1,0,14.1,0,0,0
"Jan 1, 03:00 am",0,0,0,13.5,0,13.5,0,0,0
"Jan 1, 04:00 am",0,0,0,12.9,0,12.9,0,0,0
"Jan 1, 05:00 am",0,0,0,12.2,0,12.2,0,0,0
"Jan 1, 06:00 am",0,0,0,11.6738,5.03216,13.3,0,6.4,6.4
"Jan 1, 07:00 am",408.521,408521,424612,28.7321,490.566,16.5,706.8,39.6,204.7
"Jan 1, 08:00 am",686.421,686421,713834,50.0286,904.013,19.8,893.2,51.8,448.8
"Jan 1, 09:00 am",776.085,776085,807848,51.2403,1043.89,22.7,979.1,59.2,682.8
"Jan 1, 10:00 am",809.51,809510,842984,51.0594,1099.99,25.4,1025.6,64.5,882.6
"Jan 1, 11:00 am",820.702,820702,854760,51.5605,1124.81,27.7,1051.3,68,1031.1
"Jan 1, 12:00 pm",821.539,821540,855641,52.4907,1133.92,30,1063.4,70.1,1116.3
"Jan 1, 01:00 pm",825.356,825356,859657,51.2951,1134.29,31.2,1064.8,70.6,1131.4
"Jan 1, 02:00 pm",825.936,825936,860267,50.4276,1128.81,32,1056.1,69.6,1075.6
"Jan 1, 03:00 pm",820.933,820933,855002,49.1119,1110.46,31.3,1035.1,67,953
"Jan 1, 04:00 pm",534.995,534995,555837,41.8082,703.212,30.3,323.7,370.6,601.3
"Jan 1, 05:00 pm",746.148,746148,776421,45.242,971.412,29.1,929.4,56.6,551.7
"Jan 1, 06:00 pm",578.57,578570,601204,40.933,728.116,27.2,797.2,46.9,308.5
"Jan 1, 07:00 pm",153.177,153177,161673,29.2651,194.989,24.4,453.5,27.3,78.6
"Jan 1, 08:00 pm",0,0,0,21.9,0,21.9,0,0,0
"Jan 1, 09:00 pm",0,0,0,19.9,0,19.9,0,0,0
"Jan 1, 10:00 pm",0,0,0,18.4,0,18.4,0,0,0
"Jan 1, 11:00 pm",0,0,0,17.4,0,17.4,0,0,0
"Jan 2, 12:00 am",0,0,0,15.3,0,15.3,0,0,0
"Jan 2, 01:00 am",0,0,0,14.8,0,14.8,0,0,0
"Jan 2, 02:00 am",0,0,0,14.2,0,14.2,0,0,0
"Jan 2, 03:00 am",0,0,0,13.5,0,13.5,0,0,0
"Jan 2, 04:00 am",0,0,0,12.9,0,12.9,0,0,0
"Jan 2, 05:00 am",0,0,0,12.2,0,12.2,0,0,0
"Jan 2, 06:00 am",0,0,0,10.9,0,10.9,0,0,0
"Jan 2, 07:00 am",67.911,67911,74455,14.4506,84.9512,14.1,0,91.5,91.5
"Jan 2, 08:00 am",259.886,259886,271234,26.2852,320.132,17.4,98.4,224.8,268.3
"Jan 2, 09:00 am",468.438,468438,486697,36.6258,601.082,20.5,263.8,338.4,506
"Jan 2, 10:00 am",564.785,564785,586844,40.6284,742.891,23.3,342.8,391,664
"Jan 2, 11:00 am",670.125,670125,696785,44.7367,901.396,25.6,447.9,444.8,854.7
"Jan 2, 12:00 pm",723.524,723524,752696,47.4787,989.011,28.7,509.6,473.5,974.6
"Jan 2, 01:00 pm",823.402,823402,857601,48.7327,1119.82,29.8,1047.2,73.8,1117
"Jan 2, 02:00 pm",822.491,822491,856642,48.3039,1114.42,30.6,1038.6,72.7,1062.5
"Jan 2, 03:00 pm",816.981,816981,850844,47.0099,1095.75,29.9,1017.2,70,941.5
"Jan 2, 04:00 pm",797.753,797753,830620,45.6783,1054.97,28.8,978.4,65.5,763.8
"Jan 2, 05:00 pm",738.388,738388,768281,43.7125,955.47,27.6,909.5,58.8,544.3
"Jan 2, 06:00 pm",570.682,570682,592985,39.4426,714.019,25.7,774.7,48.5,303.6
"Jan 2, 07:00 pm",150.097,150097,158517,27.8403,190.105,23,430.3,28,77.1
"Jan 2, 08:00 pm",0,0,0,20.4,0,20.4,0,0,0
"Jan 2, 09:00 pm",0,0,0,18.5,0,18.5,0,0,0
"Jan 2, 10:00 pm",0,0,0,17,0,17,0,0,0
"Jan 2, 11:00 pm",0,0,0,16,0,16,0,0,0
"Jan 3, 12:00 am",0,0,0,15.2,0,15.2,0,0,0
"Jan 3, 01:00 am",0,0,0,14.7,0,14.7,0,0,0
"Jan 3, 02:00 am",0,0,0,14.2,0,14.2,0,0,0
"Jan 3, 03:00 am",0,0,0,13.6,0,13.6,0,0,0
"Jan 3, 04:00 am",0,0,0,12.9,0,12.9,0,0,0
"Jan 3, 05:00 am",0,0,0,12.2,0,12.2,0,0,0
"Jan 3, 06:00 am",0,0,0,10.3285,3.77412,11.5,0,4.8,4.8
"Jan 3, 07:00 am",381.121,381121,396269,25.6981,452.817,14.7,649.3,41.9,190.6
"Jan 3, 08:00 am",668.31,668310,694886,46.5749,867.508,18.1,848.8,56.1,430
"Jan 3, 09:00 am",762.688,762688,793780,48.4069,1013.68,21,941.8,65,661.6
"Jan 3, 10:00 am",798.301,798301,831196,48.8211,1074.59,23.7,992.7,71.2,860.4
"Jan 3, 11:00 am",812.122,812122,845731,49.2487,1102.37,26,1021.1,75.4,1008.9
"Jan 3, 12:00 pm",812.29,812290,845908,50.7151,1112.84,28.9,1034.6,77.8,1094.7
"Jan 3, 01:00 pm",815.362,815362,849141,49.8074,1113.63,30.1,1036.7,78.2,1111
"Jan 3, 02:00 pm",606.479,606479,630303,44.5936,818.843,31,382.5,429.4,794.1
"Jan 3, 03:00 pm",809.631,809631,843112,47.5856,1088.36,30.3,1006.1,73.5,936.2
"Jan 3, 04:00 pm",788.317,788317,820701,46.5885,1046.25,29.4,966.4,68.3,759
"Jan 3, 05:00 pm",347.409,347409,361440,36.1399,444.479,28.3,159.9,277.1,362.7
"Jan 3, 06:00 pm",126.672,126672,134530,29.5728,161.133,26.9,22.7,152.6,160.1
"Jan 3, 07:00 pm",32.2934,32293.4,38107.6,24.4403,45.9793,24.4,45.6,26.8,32.1
"Jan 3, 08:00 pm",0,0,0,22,0,22,0,0,0
"Jan 3, 09:00 pm",0,0,0,19.9,0,19.9,0,0,0
"Jan 3, 10:00 pm",0,0,0,18.3,0,18.3,0,0,0
"Jan 3, 11:00 pm",0,0,0,17.2,0,17.2,0,0,0
"Jan 4, 12:00 am",0,0,0,15.8,0,15.8,0,0,0
"Jan 4, 01:00 am",0,0,0,15.2,0,15.2,0,0,0
"Jan 4, 02:00 am",0,0,0,14.5,0,14.5,0,0,0
"Jan 4, 03:00 am",0,0,0,13.8,0,13.8,0,0,0
"Jan 4, 04:00 am",0,0,0,13.1,0,13.1,0,0,0
"Jan 4, 05:00 am",0,0,0,12.5,0,12.5,0,0,0
"Jan 4, 06:00 am",0,0,0,10.8,0,10.8,0,0,0
"Jan 4, 07:00 am",50.1364,50136.4,56309.9,13.7589,64.1152,14,0,74.6,74.6
"Jan 4, 08:00 am",173.283,173283,182281,22.1631,213.041,17.2,43.9,179.5,198.8
"Jan 4, 09:00 am",320.304,320304,333470,29.988,403.743,20.1,138.5,270.7,358.3
"Jan 4, 10:00 am",382.437,382437,397630,33.7084,492.416,22.8,186.7,315.4,463.6
"Jan 4, 11:00 am",635.47,635470,660564,42.3006,847.227,25,404.8,433.8,803.6
"Jan 4, 12:00 pm",804.769,804769,837997,50.2194,1100.18,27.8,1023.8,76,1081.8
"Jan 4, 01:00 pm",809.599,809599,843077,48.9696,1101.92,28.9,1027.3,76,1099.4
"Jan 4, 02:00 pm",810.145,810145,843652,48.2151,1097.16,29.7,1019.8,74.4,1047.1
"Jan 4, 03:00 pm",804.517,804517,837732,47.04,1079.08,29,999.5,71,928.8
"Jan 4, 04:00 pm",504.841,504841,524490,39.5818,658.781,28.1,288.4,361.5,567.9
"Jan 4, 05:00 pm",727.887,727887,757269,43.5479,941.319,26.9,893.8,58.8,537.9
"Jan 4, 06:00 pm",565.191,565191,587267,39.3031,706.824,25.4,761.8,48.2,300.6
"Jan 4, 07:00 pm",150.39,150390,158817,27.6639,190.037,22.7,423.5,27.9,77
"Jan 4, 08:00 pm",0,0,0,20.2,0,20.2,0,0,0
"Jan 4, 09:00 pm",0,0,0,18.1,0,18.1,0,0,0
"Jan 4, 10:00 pm",0,0,0,16.4,0,16.4,0,0,0
"Jan 4, 11:00 pm",0,0,0,15.2,0,15.2,0,0,0
"Jan 5, 12:00 am",0,0,0,14.5,0,14.5,0,0,0
"Jan 5, 01:00 am",0,0,0,13.9,0,13.9,0,0,0
"Jan 5, 02:00 am",0,0,0,13.2,0,13.2,0,0,0
"Jan 5, 03:00 am",0,0,0,12.5,0,12.5,0,0,0
"Jan 5, 04:00 am",0,0,0,11.7,0,11.7,0,0,0
"Jan 5, 05:00 am",0,0,0,11,0,11,0,0,0
"Jan 5, 06:00 am",0,0,0,8.76253,2.35883,10,0,3,3
"Jan 5, 07:00 am",377.986,377986,393028,24.3149,446.993,13.3,659.1,38.8,186.7
"Jan 5, 08:00 am",671.553,671553,698278,45.8151,868.795,16.6,858.1,51.1,425.4
"Jan 5, 09:00 am",765.592,765592,796828,47.4733,1013.49,19.6,949.6,58.3,656.5
"Jan 5, 10:00 am",801.618,801618,834684,47.4438,1072.93,22.3,999.9,62.9,855.2
"Jan 5, 11:00 am",814.176,814176,847892,48.0142,1099.57,24.6,1028.3,65.8,1004.1
"Jan 5, 12:00 pm",809.633,809633,843114,50.8619,1109.79,26.9,1042.4,67.2,1090.8
"Jan 5, 01:00 pm",813.794,813794,847491,49.7984,1111.43,28,1045.9,67.1,1109.1
"Jan 5, 02:00 pm",815.77,815770,849569,48.7782,1107.4,28.8,1039,65.8,1057.3
"Jan 5, 03:00 pm",812.411,812411,846036,47.4045,1091.42,28.1,1020.3,63.1,939.3
"Jan 5, 04:00 pm",795.409,795409,828156,46.3255,1054.76,27.3,985.1,59,764.7
"Jan 5, 05:00 pm",740.563,740563,770561,44.4782,961.469,26.2,921.5,53.1,547.8
"Jan 5, 06:00 pm",584.404,584404,607283,39.6539,731.954,24.9,796.5,44.3,309
"Jan 5, 07:00 pm",160.998,160998,169687,27.8018,202.708,22.3,468.2,26.5,81.1
"Jan 5, 08:00 pm",0,0,0,19.8,0,19.8,0,0,0
"Jan 5, 09:00 pm",0,0,0,17.8,0,17.8,0,0,0
"Jan 5, 10:00 pm",0,0,0,16.3,0,16.3,0,0,0
"Jan 5, 11:00 pm",0,0,0,15.3,0,15.3,0,0,0
"Jan 6, 12:00 am",0,0,0,14.6,0,14.6,0,0,0
"Jan 6, 01:00 am",0,0,0,14.2,0,14.2,0,0,0
"Jan 6, 02:00 am",0,0,0,13.7,0,13.7,0,0,0
"Jan 6, 03:00 am",0,0,0,13.2,0,13.2,0,0,0
"Jan 6, 04:00 am",0,0,0,12.8,0,12.8,0,0,0
"Jan 6, 05:00 am",0,0,0,12.3,0,12.3,0,0,0
"Jan 6, 06:00 am",0,0,0,10.7088,1.65118,11.9,0,2.1,2.1
"Jan 6, 07:00 am",379.644,379644,394742,26.1423,452.089,15,696.5,35.7,190.3
"Jan 6, 08:00 am",674.866,674866,701744,50.4905,889.632,18.3,888.2,46.1,431.7
"Jan 6, 09:00 am",770.826,770826,802325,50.0719,1031.16,21.4,975.2,51.9,664.5
"Jan 6, 10:00 am",805.576,805576,838846,49.6205,1087.75,24.2,1022.9,55.4,864.6
"Jan 6, 11:00 am",816.652,816652,850498,50.1335,1112.43,26.5,1049.8,57.6,1014.5
"Jan 6, 12:00 pm",814.492,814492,848225,52.0057,1121.74,28.2,1063.3,58.5,1102.2
"Jan 6, 01:00 pm",818.664,818664,852615,50.8612,1123.01,29.3,1066.1,58.7,1120.9
"Jan 6, 02:00 pm",820.16,820160,854189,50.1144,1119.51,30.1,1059.3,58,1069.2
