Ton vapor,,,,consumo agua,,,consumo GN,,
Caldera Loos,Caldera Salcor,Caldera Visa,Desgasificador,Caldera Loos,Caldera Salcor,Caldera Visa,Caldera Loos,Caldera Salcor,Caldera Visa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,2.0,0.0,10.0,132.0,3.6,0.0,"8,351.0",439.0,0.0
206.0,1.0,20.0,16.0,217.0,0.2,21.0,"14,409.0",65.0,"1,766.0"
212.0,0.0,0.0,15.0,227.0,0.0,1.0,"15,224.0",52.0,0.0
236.0,5.0,2.0,15.0,250.0,4.5,3.0,"16,875.0",479.0,244.0
201.0,0.0,0.0,13.0,212.0,0.6,1.0,"14,268.0",137.0,0.0
129.0,2.0,0.0,8.0,141.0,1.7,0.0,"9,046.0",234.0,0.0
21.0,0.0,0.0,3.0,25.0,0.8,0.0,"1,458.0",22.0,0.0
91.0,1.0,0.0,7.0,104.0,0.0,0.0,"6,538.0",141.0,0.0
175.0,0.0,0.0,12.0,185.0,0.0,0.0,"12,349.0",0.0,0.0
229.0,2.0,0.0,16.0,245.0,0.2,0.0,"16,434.0",230.0,0.0
266.0,9.0,0.0,18.0,280.0,10.8,0.0,"19,047.0",858.0,0.0
186.0,2.0,0.0,13.0,200.0,2.2,0.0,"13,135.0",176.0,0.0
73.0,0.0,0.0,4.0,82.0,0.0,0.0,"4,950.0",79.0,0.0
14.0,0.0,0.0,1.0,19.0,0.0,0.0,"1,083.0",0.0,0.0
95.0,2.0,0.0,7.0,102.0,1.9,0.0,"6,709.0",287.0,0.0
155.0,1.0,0.0,10.0,165.0,0.0,0.0,"10,882.0",130.0,0.0
165.0,0.0,0.0,11.0,176.0,0.0,0.0,"11,614.0",0.0,0.0
201.0,0.0,0.0,14.0,213.0,0.0,0.0,"14,260.0",78.0,0.0
251.0,6.0,0.0,18.0,265.0,6.5,0.0,"17,983.0",627.0,0.0
180.0,1.0,0.0,12.0,192.0,1.0,0.0,"12,688.0",67.0,0.0
63.0,0.0,0.0,6.0,84.0,0.0,0.0,"4,999.0",117.0,0.0
88.0,0.0,0.0,9.0,102.0,0.0,0.0,"6,388.0",0.0,0.0
