ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
45,19005.526,8,CIA MINERA CERRO COLORADO LTDA,CIA. MINERA CERRO COLORADO LTDA.,Extracción de minerales,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS,Tarapacá,Tamarugal,Pozo Almonte,19.0,7782121.0,473092.0,-20.05762649190619,-69.25732690489642,5190.02,1,7,-7709690.364756355,-2279858.8270116816,9.852485057967474,#d62728
160,9733.000000000002,5,CONSERVERA PENTZKE SA,CONSERVERA PENTZKE S.A.,Producción de alimentos,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",Valparaíso,San Felipe de Aconcagua,San Felipe,19.0,6374666.0,337858.0,-32.75393562074498,-70.73080278495674,3864.51,1,2,-7873716.9494208405,-3862688.393156688,9.183277452426493,#aec7e8
181,354.163,1,FRIGORIFICO LA CALERA LIMITADA,FRIGORIFICO LA CALERA LTDA.,Producción de alimentos,"PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS",Valparaíso,Quillota,Calera,19.0,6369557.0,294571.0,-32.79275736996975,-71.19374303988539,354.163,1,2,-7925251.222867207,-3867828.1676174183,5.869757259135694,#aec7e8
185,419.21,1,CONFITES MERELLO S A,CONFITES MERELLO S.A.,Producción de alimentos,ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA,Valparaíso,Marga Marga,Limache,19.0,6345985.0,288783.0,-33.004125864133876,-71.26090545651206,419.21,1,2,-7932727.708886534,-3895851.6156566534,6.0383719876841395,#aec7e8
244,1943.165,2,METSO MINERALS (CHILE) S A,FÁBRICA CONCÓN,Industria manufacturera,FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO,Valparaíso,Valparaíso,Concón,19.0,6350456.0,265374.0,-32.959046204011734,-71.51014048516245,1152.39,1,6,-7960472.425363742,-3889869.2927247174,7.572073365998376,#98df8a
250,186.7909,2,QUIMICA LATINOAMERICANA S A,QUIMICA LATINOAMERICANA S.A.,Producción química,FABRICACIÓN DE PRODUCTOS DE REFINACIÓN DE PETRÓLEO,Valparaíso,Valparaíso,Viña del Mar,19.0,6339961.0,266678.0,-33.05390423944902,-71.49886823632163,124.346,1,14,-7959217.604362686,-3902461.0372568727,5.229989809404692,#f7b6d2
295,171.7142,2,ECKART ALIMENTOS LIMITADA,ECKART,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Valparaíso,Valparaíso,Casablanca,19.0,6311275.0,275119.0,-33.314203100666155,-71.41562468775834,133.236,1,2,-7949950.974924795,-3937083.818387267,5.145831466871662,#aec7e8
320,5136.01,1,INTERNATIONAL PAPER CARTONES LIMITADA,INTERNATIONAL PAPER CARTONES LTDA,Industria del papel y celulosa,FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN,Libertador Gral. Bernardo O'Higgins,Cachapoal,Graneros,19.0,6226817.0,341667.0,-34.08746284014425,-70.71619342889663,5136.01,1,16,-7872090.643343412,-4040552.203528379,8.5440317924084,#c7c7c7
322,2810.754000000001,2,CIA PAPELERA DEL PACIFICO S A,COMPANIA PAPELERA PACIFICO,Industria del papel y celulosa,"FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN",Libertador Gral. Bernardo O'Higgins,Cachapoal,Mostazal,19.0,6238472.0,342786.0,-33.98256329937396,-70.70196899314263,1405.3770000000004,1,16,-7870507.186398455,-4026460.9434917313,7.941208053736568,#c7c7c7
331,12985.86802,2,INVERTEC FOODS S A,INVERTEC FOODS S A,Producción de alimentos,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",Libertador Gral. Bernardo O'Higgins,Cachapoal,Rengo,19.0,6190139.0,328646.0,-34.41601820249911,-70.8645476034866,12984.7,1,2,-7888605.354515824,-4084800.839301075,9.471616969764051,#aec7e8
343,2710.97,2,CARTONES SAN FERNANDO LIMITADA,CARTONES SAN FERNANDO LTDA.,Industria del papel y celulosa,FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN,Libertador Gral. Bernardo O'Higgins,Colchagua,San Fernando,19.0,6175668.0,320849.0,-34.5451224296806,-70.95238357969961,2313.66,1,16,-7898383.210661187,-4102235.638693442,7.90506178341014,#c7c7c7
373,1036.34,1,ROCOFRUT S A,ROCOFRUT  S.A.,Producción de alimentos,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",Maule,Curicó,Romeral,19.0,6128689.0,300111.0,-34.964639716351186,-71.1893987421705,1036.34,1,2,-7924767.61785773,-4159076.8604306723,6.9434505543065885,#aec7e8
1012,768.802,2,INSTITUTO SANITAS S A,INSTITUTO SANITAS SA,Producción química,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Metropolitana,Santiago,Pudahuel,19.0,6304878.0,336593.0,-33.38296089758599,-70.75676273318935,384.401,1,14,-7876606.797639115,-3946246.63798865,6.644833459109515,#f7b6d2
1089,80.74842,2,SHERWIN WILLIAMS CHILE S A,SHERWIN-WILLIANS CHILE S.A.,Industria manufacturera,FABRICACIÓN DE PINTURAS BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES; TINTAS DE IMPRENTA Y MASILLAS,Metropolitana,Maipo,San Bernardo,19.0,6287196.0,342445.0,-33.54325172693087,-70.6969775192729,72.2265,1,6,-7869951.53806897,-3967635.5451828176,4.391338395347871,#98df8a
1358,1994.5844081999999,2,LABORATORIO MAVER S.A.,ELIAS ALBALA FRANCO LABORATORIO MAVER LIMITADA,Producción química,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Metropolitana,Chacabuco,Lampa,19.0,6311448.0,338250.0,-33.323978579186964,-70.73777802774421,1074.005582,1,14,-7874493.429896102,-3938386.079687365,7.598190990931299,#f7b6d2
1390,1610.5440000000003,3,EMPRESA EL MERCURIO S A P,EL MERCURIO,Industria manufacturera,OTRAS ACTIVIDADES DE SERVICIOS N.C.P.,Metropolitana,Santiago,Vitacura,19.0,6305007.0,351883.0,-33.38401543772755,-70.59241929280346,751.6080000000002,1,6,-7858312.169540143,-3946387.224769582,7.384327289105904,#98df8a
1521,2388.1987,3,HILADOS Y TEJIDOS GARIB SA,HILADOS Y TEJIDOS GARIB S.A.,Industria manufacturera,PREPARACIÓN DE HILATURA DE FIBRAS TEXTILES; TEJEDURA DE PRODUCTOS TEXTILES,Metropolitana,Santiago,Ñuñoa,19.0,6294875.0,349218.0,-33.47499599552571,-70.62276055345983,1917.43,1,6,-7861689.743226436,-3958522.7926533385,7.778294678756116,#98df8a
1542,54.6437,1,LICORES MITJANS S A,LICORES MITJANS S.A.,Producción de alimentos,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO",Metropolitana,Santiago,Macul,19.0,6294538.0,349387.0,-33.47805820589796,-70.62099895563041,54.6437,1,2,-7861493.643053083,-3958931.471287428,4.000833928928917,#aec7e8
1573,1009.833,3,COMERCIAL ALAMEDA LIMITADA,COMERCIAL ALAMEDA,Industria manufacturera,ACABADO DE PRODUCTOS TEXTIL,Metropolitana,Santiago,Macul,19.0,6294359.0,349722.0,-33.479719180874284,-70.61742471047764,920.787,1,6,-7861095.759902705,-3959153.148901063,6.917540249629407,#98df8a
1643,3121.744,2,LABORATORIO SANDERSON SA,LABORATORIO SANDERSON,Producción de alimentos,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Metropolitana,Santiago,San Joaquín,19.0,6295008.0,348701.0,-33.47372389985964,-70.62830027021954,3028.67,1,2,-7862306.421675266,-3958353.024658,8.04614709899453,#aec7e8
1653,165.274,1,MOLDEADOS Y RODILOS DE GOMA S A,MOLDEADOS Y RODILLOS DE GOMA S.A.,Industria manufacturera,FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO,Metropolitana,Santiago,San Joaquín,19.0,6292434.0,347705.0,-33.49678974770012,-70.63945283352858,165.274,1,6,-7863547.919343868,-3961431.6731345216,5.10760470267948,#98df8a
1673,1052.154,2,TINTORERIA KREISEL S A I,TINTORERIAS KREISEL S.A.I.,Industria manufacturera,ACABADO DE PRODUCTOS TEXTIL,Metropolitana,Santiago,San Joaquín,19.0,6293373.0,349645.0,-33.488598204945056,-70.61841853089106,1029.69,1,6,-7861206.391485068,-3960338.236362724,6.958594770416702,#98df8a
1682,102.877,1,FCA PAVIMENTOS Y REVESTIMIENTOS BUDNIK HNOS S A,BUDNIK HERMANOS S.A.,Industria manufacturera,"FABRICACIÓN DE ARTÍCULOS DE HORMIGÓN, CEMENTO Y YESO",Metropolitana,Santiago,La Granja,19.0,6289116.0,348634.0,-33.52683665218905,-70.63001668700278,102.877,1,6,-7862497.492317566,-3965443.3287836583,4.633534099877518,#98df8a
1742,106.79898711000001,2,CERAS ALFA S A,CERAS ALFA,Industria manufacturera,"FABRICACIONES DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR Y PULIR, PERFUMES Y PREPARADOS DE TOCADOR",Metropolitana,Maipo,San Bernardo,19.0,6285876.0,340441.0,-33.55485454781826,-70.71878926500399,93.80441989,1,6,-7872379.610497067,-3969185.3411965473,4.6709484424923575,#98df8a
