"item","Tarapaca","Crucero","Atacama","Cardones","Pan de Azucar","Quillota","Charrua","P. Montt","addValue"
"2021-01-01 01:00:00","49.5","47.9","43.6","43.6","43.1","42.5","40.3","40.4",
"2021-01-01 02:00:00","43.6","42.2","38.4","38.4","38","37.5","35.5","35.6",
"2021-01-01 03:00:00","43.6","42.2","38.4","38.4","38","37.5","35.5","35.6",
"2021-01-01 04:00:00","42.6","41.2","37.5","37.5","37.1","36.7","34.7","34.8",
"2021-01-01 05:00:00","39.2","37.9","34.5","34.5","34.1","33.7","31.9","32",
"2021-01-01 06:00:00","40.1","38.8","35.3","35.3","34.9","34.5","32.6","32.7",
"2021-01-01 07:00:00","37.1","35.9","32.7","32.7","32.3","32","30.3","30.3",
"2021-01-01 08:00:00","36.4","35.2","32","32","31.6","31.3","29.6","29.7",
"2021-01-01 09:00:00","19.6","19.6","18.4","18.4","18.4","18.6","18.1","18.5",
"2021-01-01 10:00:00","27.3","27.2","25.6","25.6","25.7","26","25.2","25.8",
"2021-01-01 11:00:00","27.7","27.6","25.9","25.9","26","26.3","25.5","26.1",
"2021-01-01 12:00:00","28.1","28","26.3","26.3","26.4","26.7","25.9","26.5",
"2021-01-01 13:00:00","27.5","27.4","25.8","25.8","25.9","26.2","25.4","26",
"2021-01-01 14:00:00","27.3","27.2","25.6","25.6","25.7","26","25.2","25.8",
"2021-01-01 15:00:00","27.3","27.2","25.6","25.6","25.7","26","25.2","25.8",
"2021-01-01 16:00:00","27.3","27.2","25.6","25.6","25.7","26","25.2","25.8",
"2021-01-01 17:00:00","27.2","27.2","25.5","25.5","25.6","25.9","25.2","25.7",
"2021-01-01 18:00:00","27.2","27.2","25.5","25.5","25.6","25.9","25.2","25.7",
"2021-01-01 19:00:00","29.6","28.6","26","26","25.8","25.9","24.6","25.5",
"2021-01-01 20:00:00","41.5","40.1","36.4","36.4","36.1","36.2","34.4","35.6",
"2021-01-01 21:00:00","42.8","41.3","37.5","37.5","37.2","37.3","35.4","36.7",
"2021-01-01 22:00:00","42.8","41.3","37.5","37.5","37.2","37.3","35.4","36.7",
"2021-01-01 23:00:00","42.8","41.3","37.5","37.5","37.2","37.3","35.4","36.7",
"2021-01-01 24:00:00","38.6","37.3","34.6","34.6","34.5","34.9","33.3","34.6",
"2021-01-02 01:00:00","41.1","39.7","36.5","36.5","36.3","36","34.1","33.9",
"2021-01-02 02:00:00","40.3","39","35.8","35.8","35.6","35.3","33.5","33.3",
"2021-01-02 03:00:00","41.9","40.5","37.2","37.2","36.9","36.7","34.8","34.6",
"2021-01-02 04:00:00","39.6","38.3","35.2","35.2","35","34.7","32.9","32.8",
"2021-01-02 05:00:00","39.6","38.3","35.2","35.2","35","34.7","32.9","32.8",
"2021-01-02 06:00:00","39.6","38.3","35.2","35.2","35","34.7","32.9","32.8",
"2021-01-02 07:00:00","39.6","38.3","35.2","35.2","35","34.7","32.9","32.8",
"2021-01-02 08:00:00","36.7","35.5","32.6","32.6","32.4","32.1","30.5","30.3",
"2021-01-02 09:00:00","26.9","26.8","27","27","28.1","29.2","28.4","29.9",
"2021-01-02 10:00:00","28.5","28.3","28.6","28.6","29.7","30.9","30.1","31.6",
"2021-01-02 11:00:00","28.6","28.4","28.7","28.7","29.8","31","30.2","31.7",
"2021-01-02 12:00:00","28.6","28.4","28.7","28.7","29.8","31","30.2","31.7",
"2021-01-02 13:00:00","28.6","28.4","28.7","28.7","29.8","31","30.2","31.7",
"2021-01-02 14:00:00","28.6","28.4","28.7","28.7","29.8","31","30.2","31.7",
"2021-01-02 15:00:00","28.6","28.4","28.7","28.7","29.8","31","30.2","31.7",
"2021-01-02 16:00:00","28.6","28.4","28.7","28.7","29.8","31","30.2","31.7",
"2021-01-02 17:00:00","27.8","27.7","27.9","27.9","29","30.2","29.4","30.8",
"2021-01-02 18:00:00","27.7","27.5","27.8","27.8","28.9","30.1","29.3","30.7",
"2021-01-02 19:00:00","29","28","26","26","26","26.2","25","26",
"2021-01-02 20:00:00","39","37.6","34.9","34.9","34.9","35.2","33.6","34.9",
"2021-01-02 21:00:00","41.4","39.9","37.1","37.1","37","37.4","35.7","37",
"2021-01-02 22:00:00","41.4","39.9","37.1","37.1","37","37.4","35.7","37",
"2021-01-02 23:00:00","41.1","39.6","36.9","36.9","36.8","37.2","35.5","36.8",
"2021-01-02 24:00:00","46.1","44.4","41.2","41.2","41.1","41.5","39.5","41.2",
"2021-01-03 01:00:00","40.1","38.8","35.5","35.5","35.1","34.8","33.1","33",
"2021-01-03 02:00:00","38.7","37.4","34.2","34.2","33.9","33.5","31.9","31.8",
"2021-01-03 03:00:00","38.7","37.4","34.2","34.2","33.9","33.5","31.9","31.8",
"2021-01-03 04:00:00","39.6","38.3","35","35","34.7","34.3","32.7","32.6",
"2021-01-03 05:00:00","40.2","38.9","35.6","35.6","35.2","34.9","33.2","33.1",
"2021-01-03 06:00:00","40.2","38.9","35.6","35.6","35.2","34.9","33.2","33.1",
"2021-01-03 07:00:00","40.2","38.9","35.6","35.6","35.2","34.9","33.2","33.1",
"2021-01-03 08:00:00","34.9","33.8","30.9","30.9","30.6","30.3","28.8","28.8",
"2021-01-03 09:00:00","19.4","19.4","18.8","18.8","19.2","19.8","19.2","19.7",
"2021-01-03 10:00:00","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1",
"2021-01-03 11:00:00","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1",
"2021-01-03 12:00:00","23.5","23.4","22.6","22.6","23.1","23.8","23.2","23.8",
"2021-01-03 13:00:00","27.4","27.3","26.4","26.4","27","27.8","27.1","27.8",
"2021-01-03 14:00:00","27.5","27.4","26.5","26.5","27.1","27.9","27.2","27.9",
"2021-01-03 15:00:00","27.9","27.8","27","27","27.6","28.4","27.6","28.4",
"2021-01-03 16:00:00","27.7","27.6","26.8","26.8","27.4","28.2","27.4","28.2",
"2021-01-03 17:00:00","12.5","12.4","12.1","12.1","12.3","12.7","12.3","12.6",
"2021-01-03 18:00:00","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1",
"2021-01-03 19:00:00","17.9","17.3","16","16","16","16.2","15.4","16",
"2021-01-03 20:00:00","39.1","37.8","35","35","34.9","35.3","33.5","35",
"2021-01-03 21:00:00","66.2","63.9","59.2","59.2","59","59.6","56.8","59.2",
"2021-01-03 22:00:00","63.3","61.1","56.6","56.6","56.5","57","54.4","56.6",
"2021-01-03 23:00:00","75.1","72.5","67.2","67.2","67","67.7","64.5","67.2",
"2021-01-03 24:00:00","56.7","4.9","0","0","51.6","3.3","5.3","51.6",
"2021-01-04 01:00:00","40.6","6","4.3","4.3","32.8","6","28.5","13.2",
"2021-01-04 02:00:00","40","6","0","0","35.8","3","29","12.6",
"2021-01-04 03:00:00","39.2","4","0","0","34.6","5.8","3.8","34.2",
"2021-01-04 04:00:00","40","2","0","0","35","7","5","35",
"2021-01-04 05:00:00","39.6","3","0","0","34.8","6.4","4.4","34.6",
"2021-01-04 06:00:00","38","7","0","0","34","4","2","33",
"2021-01-04 07:00:00","40.6","7","0","0","36.6","1.5","8","35.6",
"2021-01-04 08:00:00","41.6","5.7","36.6","36.6","6.3","36.6","36.6","1.3",
"2021-01-04 09:00:00","29","16.5","1","1","30","5.5","5","33.5",
"2021-01-04 10:00:00","29.2","23.3","1.5","1.5","30.7","5.2","4.4","31.5",
"2021-01-04 11:00:00","29.9","5.6","0.3","0.3","30.1","4","6.2","34",
"2021-01-04 12:00:00","30","2","0","0","30","4","7","34",
"2021-01-04 13:00:00","30","2","0","0","30","4","7","34",
"2021-01-04 14:00:00","30","2","0","0","30","4","7","34",
"2021-01-04 15:00:00","30","2","0","0","30","4","7","34",
"2021-01-04 16:00:00","30","3.8","0","0","30","5.8","5.2","34.4",
"2021-01-04 17:00:00","29.9","6.3","0.3","0.3","30.2","4.3","5.9","34.1",
"2021-01-04 18:00:00","29","29","2","2","31","4","1","34",
"2021-01-04 19:00:00","38","4","0","0","34","9","35","1",
"2021-01-04 20:00:00","42","7","0","0","38","8","22.5","21",
"2021-01-04 21:00:00","63.9","4.8","0","0","58.1","4.1","6","58.2",
"2021-01-04 22:00:00","74","3","0","0","67","5","7","67",
"2021-01-04 23:00:00","75.1","5.2","0","0","68.2","5.3","33.1","39.8",
"2021-01-04 24:00:00","110.1","106.6","100","100","99.9","99.6","96.1","101.7",
"2021-01-05 01:00:00","75.1","72.8","66.1","66.1","65.1","63.5","61.3","62.5",
"2021-01-05 02:00:00","75.1","72.8","66.1","66.1","65.1","63.5","61.3","62.5",
"2021-01-05 03:00:00","50.1","48.6","44.1","44.1","43.5","42.5","40.9","41.7",
"2021-01-05 04:00:00","48.4","46.9","42.6","42.6","42","41","39.5","40.3",
"2021-01-05 05:00:00","48.4","46.9","42.6","42.6","42","41","39.5","40.3",
"2021-01-05 06:00:00","57.9","56.1","50.9","50.9","50.2","49","47.3","48.2",
"2021-01-05 07:00:00","75.1","72.8","66.1","66.1","65.1","63.5","61.3","62.5",
"2021-01-05 08:00:00","67.2","65.1","59.1","59.1","58.2","56.8","54.8","55.9",
"2021-01-05 09:00:00","34.1","34.3","37.9","37.9","39.8","41.4","41","44.3",
"2021-01-05 10:00:00","35.9","36.1","39.8","39.8","41.8","43.6","43.1","46.7",
"2021-01-05 11:00:00","36.3","36.5","40.3","40.3","42.3","44.1","43.6","47.2",
"2021-01-05 12:00:00","36.8","37","40.9","40.9","43","44.8","44.3","47.8",
"2021-01-05 13:00:00","33.7","33.9","37.5","37.5","39.3","41","40.5","43.8",
"2021-01-05 14:00:00","36.7","36.9","40.8","40.8","42.9","44.6","44.1","47.7",
"2021-01-05 15:00:00","37.2","37.4","41.3","41.3","43.4","45.2","44.7","48.3",
"2021-01-05 16:00:00","37.2","37.4","41.3","41.3","43.4","45.2","44.7","48.3",
"2021-01-05 17:00:00","37.9","38.1","42.1","42.1","44.2","46.1","45.6","49.3",
"2021-01-05 18:00:00","33.2","33.4","36.9","36.9","38.7","40.3","39.9","43.2",
"2021-01-05 19:00:00","33.4","32.4","30.4","30.4","30.4","30.2","29.2","30.9",
"2021-01-05 20:00:00","42.5","41.1","38.6","38.6","38.5","38.4","37.1","39.2",
"2021-01-05 21:00:00","94.6","91.6","86","86","85.9","85.6","82.6","87.4",
"2021-01-05 22:00:00","102.9","99.6","93.4","93.4","93.3","93","89.8","94.9",
"2021-01-05 23:00:00","117","113.2","106.3","106.3","106.2","105.8","102.1","108",
"2021-01-05 24:00:00","101.8","98.2","100.9","100.9","103.1","105.3","101.9","111.7",
"2021-01-06 01:00:00","65.8","63.4","62.6","62.6","62.9","62.7","60.1","64.4",
"2021-01-06 02:00:00","61.8","59.5","58.8","58.8","59.1","58.9","56.4","60.4",
"2021-01-06 03:00:00","46.3","44.7","44.1","44.1","44.3","44.2","42.3","45.3",
"2021-01-06 04:00:00","36.9","35.5","35","35","35.2","35.1","33.6","36",
"2021-01-06 05:00:00","39.4","38","37.5","37.5","37.7","37.6","36","38.6",
"2021-01-06 06:00:00","40.4","39","38.5","38.5","38.7","38.6","36.9","39.6",
"2021-01-06 07:00:00","40.7","39.2","38.7","38.7","38.9","38.8","37.1","39.8",
"2021-01-06 08:00:00","42","40.5","40","40","40.2","40.1","38.4","41.1",
"2021-01-06 09:00:00","31.4","31.6","36.4","36.4","38.7","40.9","40.1","44.7",
"2021-01-06 10:00:00","31.4","31.6","36.4","36.4","38.7","40.9","40.1","44.7",
"2021-01-06 11:00:00","31.4","31.6","36.4","36.4","38.7","40.9","40.1","44.7",
"2021-01-06 12:00:00","33.1","33.3","38.3","38.3","40.8","43.1","42.2","47.1",
"2021-01-06 13:00:00","37.7","37.9","43.7","43.7","46.4","49.1","48","104.7",
"2021-01-06 14:00:00","37.7","37.9","43.7","43.7","46.4","49.1","48","143.8",
"2021-01-06 15:00:00","30.8","30.9","35.7","35.7","37.9","41.6","40.7","143.8",
"2021-01-06 16:00:00","28.9","29","33.5","33.5","35.6","39.7","38.9","143.8",
"2021-01-06 17:00:00","28.9","29","33.5","33.5","35.6","37.9","37.1","52.9",
"2021-01-06 18:00:00","28.2","28.3","32.7","32.7","34.8","36.7","36","40.1",
"2021-01-06 19:00:00","32.8","31.6","32.5","32.5","33.3","33.9","32.8","36",
"2021-01-06 20:00:00","38.2","36.9","37.9","37.9","38.7","39.5","38.2","41.9",
"2021-01-06 21:00:00","78.8","76","78.1","78.1","79.9","81.5","78.9","86.5",
"2021-01-06 22:00:00","122.1","117.7","121","121","123.7","126.2","122.2","133.9",
