"item","Charrúa","Pan de Azúcar","Puerto Montt","Quillota","Crucero","Cardones","BA S/E TARAPACA 220KV BP2","addValue"
"2021-01-01 01","40.38","43.11","40.36","42.58","47.86","43.44","49.49",""
"2021-01-01 02","35.60","38.01","35.58","37.54","42.19","38.30","43.63",""
"2021-01-01 03","35.60","38.01","35.58","37.54","42.19","38.30","43.63",""
"2021-01-01 04","34.79","37.14","34.77","36.69","41.23","37.43","42.64",""
"2021-01-01 05","31.95","34.12","31.94","33.70","37.87","34.38","39.17",""
"2021-01-01 06","32.71","34.93","32.70","34.50","38.77","35.19","40.10",""
"2021-01-01 07","30.31","32.36","30.30","31.97","35.93","32.61","37.15",""
"2021-01-01 08","29.66","31.67","29.65","31.28","35.16","31.92","36.36",""
"2021-01-01 09","18.12","18.45","18.49","18.64","19.55","18.31","19.60",""
"2021-01-01 10","5.05","5.14","5.15","5.19","5.44","5.10","5.46",""
"2021-01-01 11","25.57","26.03","26.10","26.31","27.58","25.83","27.65",""
"2021-01-01 12","25.96","26.43","26.50","26.71","28.00","26.22","28.07",""
"2021-01-01 13","25.40","25.85","25.92","26.13","27.39","25.65","27.46",""
"2021-01-01 14","25.24","25.69","25.76","25.97","27.22","25.49","27.29",""
"2021-01-01 15","25.24","25.69","25.76","25.97","27.22","25.49","27.29",""
"2021-01-01 16","25.24","25.69","25.76","25.97","27.22","25.49","27.29",""
"2021-01-01 17","25.17","25.63","25.69","25.90","27.15","25.43","27.22",""
"2021-01-01 18","25.17","25.63","25.69","25.90","27.15","25.43","27.22",""
"2021-01-01 19","24.62","25.88","25.49","25.91","28.68","25.98","29.71",""
"2021-01-01 20","34.37","36.14","35.60","36.18","40.05","36.28","41.48",""
"2021-01-01 21","35.43","37.25","36.69","37.29","41.28","37.40","42.75",""
"2021-01-01 22","35.43","37.25","36.69","37.29","41.28","37.40","42.75",""
"2021-01-01 23","35.43","37.25","36.69","37.29","41.28","37.40","42.75",""
"2021-01-01 24","35.43","37.25","36.69","37.29","41.28","37.40","42.75",""
"2021-01-02 01","34.18","36.25","33.95","35.98","39.71","36.41","41.08",""
"2021-01-02 02","33.53","35.56","33.30","35.29","38.96","35.71","40.29",""
"2021-01-02 03","34.85","36.95","34.60","36.68","40.49","37.11","41.88",""
"2021-01-02 04","33.02","35.01","32.79","34.75","38.36","35.16","39.69",""
"2021-01-02 05","32.99","34.98","32.76","34.72","38.32","35.13","39.65",""
"2021-01-02 06","32.99","34.98","32.76","34.72","38.32","35.13","39.65",""
"2021-01-02 07","32.99","34.98","32.76","34.72","38.32","35.13","39.65",""
"2021-01-02 08","30.53","32.37","30.31","32.13","35.46","32.51","36.69",""
"2021-01-02 09","28.47","28.09","29.89","29.24","26.75","27.06","26.90",""
"2021-01-02 10","30.15","29.74","31.66","30.97","28.34","28.66","28.50",""
"2021-01-02 11","30.21","29.80","31.72","31.03","28.39","28.71","28.55",""
"2021-01-02 12","30.21","29.80","31.72","31.03","28.39","28.71","28.55",""
"2021-01-02 13","30.21","29.80","31.72","31.03","28.39","28.71","28.55",""
"2021-01-02 14","30.21","29.80","31.72","31.03","28.39","28.71","28.55",""
"2021-01-02 15","30.21","29.80","31.72","31.03","28.39","28.71","28.55",""
"2021-01-02 16","30.21","29.80","31.72","31.03","28.39","28.71","28.55",""
"2021-01-02 17","29.14","28.75","30.59","29.93","27.38","27.69","27.53",""
"2021-01-02 18","29.28","28.89","30.74","30.07","27.52","27.83","27.67",""
"2021-01-02 19","25.34","26.26","26.28","26.54","28.33","26.21","29.37",""
"2021-01-02 20","33.68","34.91","34.94","35.28","37.66","34.85","39.04",""
"2021-01-02 21","35.70","37.00","37.03","37.39","39.92","36.94","41.38",""
"2021-01-02 22","35.70","37.00","37.03","37.39","39.92","36.94","41.38",""
"2021-01-02 23","35.46","36.75","36.78","37.14","39.65","36.69","41.11",""
"2021-01-02 24","33.32","34.53","34.56","34.90","37.26","34.48","38.63",""
"2021-01-03 01","33.25","35.25","33.11","34.90","38.91","35.52","40.23",""
"2021-01-03 02","31.94","33.86","31.81","33.53","37.39","34.13","38.65",""
"2021-01-03 03","31.94","33.86","31.81","33.53","37.39","34.13","38.65",""
"2021-01-03 04","32.71","34.67","32.57","34.33","38.28","34.95","39.58",""
"2021-01-03 05","33.25","35.25","33.11","34.90","38.91","35.52","40.23",""
"2021-01-03 06","33.25","35.25","33.11","34.90","38.91","35.52","40.23",""
"2021-01-03 07","33.25","35.25","33.11","34.90","38.91","35.52","40.23",""
"2021-01-03 08","28.89","30.63","28.77","30.33","33.81","30.87","34.96",""
"2021-01-03 09","19.26","19.20","19.76","19.77","19.36","18.77","19.45",""
"2021-01-03 10","1.12","1.12","1.15","1.15","1.13","1.09","1.13",""
"2021-01-03 11","1.12","1.12","1.15","1.15","1.13","1.09","1.13",""
"2021-01-03 12","23.20","23.14","23.81","23.83","23.33","22.62","23.44",""
"2021-01-03 13","27.10","27.03","27.81","27.83","27.25","26.42","27.38",""
"2021-01-03 14","27.23","27.16","27.94","27.96","27.38","26.55","27.51",""
"2021-01-03 15","27.66","27.58","28.38","28.40","27.81","26.96","27.94",""
"2021-01-03 16","27.45","27.37","28.16","28.18","27.60","26.75","27.73",""
"2021-01-03 17","12.35","12.31","12.67","12.68","12.41","12.03","12.47",""
"2021-01-03 18","1.12","1.12","1.15","1.15","1.13","1.09","1.13",""
"2021-01-03 19","15.39","15.95","16.00","16.12","17.26","15.94","17.90",""
"2021-01-03 20","33.64","34.87","34.97","35.23","37.74","34.85","39.11",""
"2021-01-03 21","56.92","59.01","59.19","59.62","63.86","58.97","66.19",""
"2021-01-03 22","53.94","55.92","56.09","56.50","60.52","55.89","62.73",""
"2021-01-03 23","64.61","66.99","67.19","67.68","72.49","66.94","75.14",""
"2021-01-03 24","39.61","41.07","41.19","41.49","44.44","41.04","46.06",""
"2021-01-04 01","33.96","36.13","34.65","35.76","39.95","36.36","41.25",""
"2021-01-04 02","33.43","35.57","34.11","35.20","39.33","35.79","40.61",""
"2021-01-04 03","33.06","35.18","33.73","34.81","38.89","35.39","40.15",""
"2021-01-04 04","33.06","35.18","33.73","34.81","38.89","35.39","40.15",""
"2021-01-04 05","32.82","34.92","33.48","34.56","38.61","35.13","39.86",""
"2021-01-04 06","31.85","33.89","32.50","33.54","37.47","34.10","38.69",""
"2021-01-04 07","33.95","36.13","34.64","35.75","39.94","36.35","41.24",""
"2021-01-04 08","35.04","37.29","35.76","36.90","41.23","37.53","42.57",""
"2021-01-04 09","33.71","33.34","35.92","34.85","29.24","31.68","29.21",""
"2021-01-04 10","33.70","33.32","35.90","34.83","29.22","31.66","29.20",""
"2021-01-04 11","34.80","34.41","37.09","35.98","30.18","32.70","30.16",""
