,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud,poa,flow,trans,pump,Qaux,Qproc,Qdel,Qloss,Qtrans,Qusef,Tcold,Thot,Tmains,Ttank,Tdel,Vcold,Vhot,Qcol,EffCol,Qsto,Qpeak,Qgross
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,2.55,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-7.92296036076815,11.67045172987086,0.0,0.0,89.98207799526011,130.0,90.0,89.98207799526011,89.98207799526011,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,2.88,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-10.466445776136686,11.669492264755434,0.0,0.0,89.97632454508563,130.0,90.0,89.97632454508563,89.97632454508563,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,2.67,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.282973660106268,11.66918425040013,0.0,0.0,89.97447753135081,130.0,90.0,89.97447753135081,89.97447753135081,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,2.92,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.54510128280809,11.669085369428274,0.0,0.0,89.97388458978824,130.0,90.0,89.97388458978824,89.97388458978824,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,3.35,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.62925136749675,11.6690536259513,0.0,0.0,89.97369423944595,130.0,90.0,89.97369423944595,89.97369423944595,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,3.57,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.656265829682281,11.669043435433231,0.0,0.0,89.97363313181732,130.0,90.0,89.97363313181732,89.97363313181732,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,3.46,0.0,3.43,0.04,3.58,0.0,3.58,0.0,5.16,3.91,1.0,0.0,3.5999999046325684,380556.6776470589,2.892922452616902,0.0,0.0,0.0,-11.664938205596881,11.669040164000217,5.207260662042022,0.0,89.97361351460921,130.0,90.0,89.97361351460921,89.97361351460921,180.0,0.0,6041.760671155932,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,101.49,74.39,24.63,2.47,238.32,212.58,25.74,911.95,7.95,4.21,0.0,0.0,239.3718402929061,380556.6776470589,20.652253113592057,0.0,0.0,0.0,-11.667722273752647,11.66903911378139,37.17405737013859,0.0,89.97360721695273,130.0,90.0,89.97360721695273,89.97360721695273,180.0,0.0,6041.761621752191,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,369.16,334.29,29.64,5.23,503.64,472.66,30.98,1057.46,11.28,2.52,0.0,0.0,504.29087116368873,380556.6776470589,24.9112773352357,0.0,0.0,0.0,-11.6686160352314,11.669038776632625,44.84030133322418,0.0,89.97360519523399,130.0,90.0,89.97360519523399,89.97360519523399,180.0,0.0,6041.761926919403,0.0,0.0,0.0,0.0
2018-01-01 09:00:00,632.81,593.02,31.99,7.8,751.9,718.46,33.44,1120.06,13.96,1.94,0.0,0.0,752.1314107705203,380556.6776470589,665.2975883611289,0.052941177500199145,0.0,0.0,458.979909187972,13.07974074120395,1197.5357159299238,600.8676294996437,89.67879914186454,91.03822810331242,90.0,90.58961654603462,91.03822810331242,180.0,0.0,205.19824934743764,0.7988864989484822,600.8676294996437,0.0,540.7808665496793
2018-01-01 10:00:00,858.8,815.55,33.28,9.97,961.48,926.7,34.78,1154.01,15.41,3.98,0.0,0.0,961.6184678946535,380556.6776470589,909.3470788817483,0.052941177500199145,0.0,0.0,847.6071586513352,13.18953066795184,1636.8248197321504,984.6929604561335,89.68950408509772,91.91731610701113,90.0,91.18213813977971,91.91731610701113,180.0,0.0,336.27584797437385,1.023995475681742,984.6929604561335,0.0,886.2236644105202
2018-01-01 11:00:00,1026.32,980.74,34.0,11.58,1115.88,1080.34,35.54,1173.2,16.52,6.54,0.0,0.0,1115.889850587672,380556.6776470589,1090.3552606910382,0.052941177500199145,0.0,0.0,1154.3678433807538,13.278851532200504,1962.6395624642414,1268.4439387306106,89.74143663740782,92.6112191679118,90.0,91.66419093284549,92.6112191679118,180.0,0.0,433.17772974329563,1.136710704970206,1268.4439387306106,0.0,1141.5995448575495
2018-01-01 12:00:00,1120.55,1073.7,34.37,12.47,1202.4,1166.48,35.92,1181.98,17.18,7.53,0.0,0.0,1202.3998656023368,380556.6776470589,1192.2487044051218,0.052941177500199145,0.0,0.0,1348.2772243376965,13.338002618042525,2146.047769861014,1428.3663323312915,89.81825087319228,93.04984875664825,90.0,91.98342145510777,93.04984875664825,180.0,0.0,487.7917471861026,1.1879295508867658,1428.3663323312915,0.0,1285.5296990981624
2018-01-01 13:00:00,1134.8,1087.77,34.42,12.61,1215.48,1179.5,35.98,1183.51,18.15,8.97,0.0,0.0,1215.4902685005513,380556.6776470589,1207.6175474812435,0.052941177500199145,0.0,0.0,1416.0906747085844,13.362457677281487,2173.7116887119982,1457.0502967149416,89.90675135128838,93.20324507868378,90.0,92.1154021486433,93.20324507868378,180.0,0.0,497.58741429629464,1.1987346459897064,1457.0502967149416,0.0,1311.3452670434474
2018-01-01 14:00:00,1067.92,1021.75,34.2,11.97,1154.16,1118.42,35.74,1178.06,19.08,9.5,0.0,0.0,1154.1872836551938,380556.6776470589,1135.2528932040423,0.052941177500199145,0.0,0.0,1351.2081492508446,13.350002754411493,2043.4553048261903,1350.50295999813,90.00104219213557,93.05647860809188,90.0,92.0481845908263,93.05647860809188,180.0,0.0,461.20115234184937,1.1700899664404762,1350.50295999813,0.0,1215.4526639983171
2018-01-01 15:00:00,924.63,880.42,33.6,10.61,1022.38,987.26,35.12,1163.65,20.31,9.82,0.0,0.0,1022.3738708639362,380556.6776470589,980.214644659136,0.052941177500199145,0.0,0.0,1159.7870883105136,13.301834267099544,1764.3864441903,1118.731513468871,90.09241103119432,92.6234776835291,90.0,91.78822568825862,92.6234776835291,180.0,0.0,382.0504496885341,1.094248929233207,1118.731513468871,0.0,1006.858362121984
2018-01-01 16:00:00,717.07,675.9,32.55,8.62,830.52,796.5,34.02,1136.99,19.65,9.74,0.0,0.0,830.6922423168835,380556.6776470589,755.9527358756775,0.052941177500199145,0.0,0.0,849.4337392361718,13.219960940319421,1360.7149892067102,770.2608897056449,90.17877628077842,91.92144789417257,90.0,91.34636626175251,91.92144789417257,180.0,0.0,263.0465985328838,0.92725181537426,770.2608897056449,0.0,693.2348007350804
2018-01-01 17:00:00,463.28,426.45,30.67,6.16,593.38,561.32,32.06,1088.28,18.65,8.35,0.0,0.0,593.8800494232291,380556.6776470589,482.2712744638132,0.052941177500199145,0.0,0.0,452.91512136626744,13.112611500459893,868.0883352668452,344.88551425711177,90.24422541595868,91.02450934780467,90.0,90.76701565029549,91.02450934780467,180.0,0.0,117.77952460141911,0.5807326152681193,344.88551425711177,0.0,310.3969628314006
2018-01-01 18:00:00,189.08,158.84,26.85,3.4,327.52,299.46,28.06,975.89,17.24,6.55,0.0,0.0,328.3792581624091,380556.6776470589,22.580867826549074,0.0,0.0,0.0,26.737435759441,11.683526481848308,40.64556401834894,0.0,90.06048098546421,90.76701565029549,90.0,90.06048098546421,90.06048098546421,180.0,0.0,106.6474824636995,0.0,0.0,0.0,0.0
2018-01-01 19:00:00,16.59,0.0,15.84,0.74,71.48,54.92,16.56,623.91,15.25,4.81,0.0,0.0,73.16256701852893,380556.6776470589,13.339587524768088,0.0,0.0,0.0,0.6604825446393273,11.673689615171178,24.011258685056095,0.0,90.00149403389095,90.76701565029549,90.0,90.00149403389095,90.00149403389095,180.0,0.0,115.55123509839659,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22,3.16,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-7.710927529238537,11.670531713858168,0.0,0.0,89.98255762070801,90.76701565029549,90.0,89.98255762070801,89.98255762070801,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,2.19,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-10.398377479691343,11.66951794178724,0.0,0.0,89.97647851787812,90.76701565029549,90.0,89.97647851787812,89.97647851787812,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67,2.04,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.261121888624313,11.669192493424571,0.0,0.0,89.97452696079817,90.76701565029549,90.0,89.97452696079817,89.97452696079817,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69,1.85,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.538086270799958,11.66908801566295,0.0,0.0,89.97390045798305,90.76701565029549,90.0,89.97390045798305,89.97390045798305,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,1.84,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.62699935815584,11.669054475464486,0.0,0.0,89.97369933356737,90.76701565029549,90.0,89.97369933356737,89.97369933356737,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,2.43,1.0,0.0,0.0,380556.6776470589,0.0,0.0,0.0,0.0,-11.655542873535161,11.669043708150031,0.0,0.0,89.97363476716862,90.76701565029549,90.0,89.97363476716862,89.97363476716862,180.0,0.0,0.0,0.0,0.0,0.0,0.0
