,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud,poa,flow,trans,pump,Qaux,Qproc,Qdel,Qloss,Qtrans,Qusef,Tcold,Thot,Tmains,Ttank,Tdel,Vcold,Vhot,Qcol,EffCol,Qsto,Qpeak,Qgross
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,2.55,1.0,0.0,0.0,601363.544516129,0.0,0.0,0.0,0.0,-8.98262029377779,11.671296166509055,0.0,0.0,89.98714167505966,130.0,90.0,89.98714167505966,89.98714167505966,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,2.88,1.0,0.0,0.0,601363.544516129,0.0,0.0,0.0,0.0,-11.051535154861279,11.67080228268004,0.0,0.0,89.98418009161433,130.0,90.0,89.98418009161433,89.98418009161433,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,2.67,1.0,0.0,0.0,601363.544516129,0.0,0.0,0.0,0.0,-11.528056321556669,11.67068852928069,0.0,0.0,89.98349796726733,130.0,90.0,89.98349796726733,89.98349796726733,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,2.92,1.0,0.0,0.0,601363.544516129,0.0,0.0,0.0,0.0,-11.637810679554757,11.670662329119631,0.0,0.0,89.98334085752066,130.0,90.0,89.98334085752066,89.98334085752066,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,3.35,1.0,0.0,0.0,601363.544516129,0.0,0.0,0.0,0.0,-11.6630897645858,11.670656294588415,0.0,0.0,89.98330467134348,130.0,90.0,89.98330467134348,89.98330467134348,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,3.57,1.0,0.0,0.0,601363.544516129,0.0,0.0,0.0,0.0,-11.668912149697766,11.670654904689824,0.0,0.0,89.98329633679106,130.0,90.0,89.98329633679106,89.98329633679106,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,3.46,0.0,3.43,0.04,3.58,0.0,3.58,0.0,5.16,3.91,1.0,0.0,3.5999999046325684,601363.544516129,2.892922452616902,0.0,0.0,0.0,-11.670253185913483,11.670654584562538,5.207260662042022,0.0,89.9832944171419,130.0,90.0,89.9832944171419,89.9832944171419,180.0,0.0,6040.299392701413,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,101.49,74.39,24.63,2.47,238.32,212.58,25.74,911.95,7.95,4.21,0.0,0.0,239.3718402929061,601363.544516129,20.652253113592057,0.0,0.0,0.0,-11.670562059016909,11.670654510829474,37.17405737013859,0.0,89.98329397500024,130.0,90.0,89.98329397500024,89.98329397500024,180.0,0.0,6040.299459440243,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,369.16,334.29,29.64,5.23,503.64,472.66,30.98,1057.46,11.28,2.52,0.0,0.0,504.29087116368873,601363.544516129,24.9112773352357,0.0,0.0,0.0,-11.670633199964977,11.670654493846964,44.84030133322418,0.0,89.98329387316431,130.0,90.0,89.98329387316431,89.98329387316431,180.0,0.0,6040.299474811808,0.0,0.0,0.0,0.0
2018-01-01 09:00:00,632.81,593.02,31.99,7.8,751.9,718.46,33.44,1120.06,13.96,1.94,0.0,0.0,752.1314107705203,601363.544516129,665.2975883611289,0.052941177500199145,0.0,0.0,521.8818060126891,13.025796196664825,1197.5357159299238,600.8140768345108,89.38774880581445,90.74705660739222,90.0,90.29848503287155,90.74705660739222,180.0,0.0,205.17996093815572,0.7988152977403342,600.8140768345108,0.0,540.7326691510598
2018-01-01 10:00:00,858.8,815.55,33.28,9.97,961.48,926.7,34.78,1154.01,15.41,3.98,0.0,0.0,961.6184678946535,601363.544516129,909.3470788817483,0.052941177500199145,0.0,0.0,915.5674555925129,13.076888907903033,1636.8248197321504,986.3016960643705,89.07915294632085,91.3106046413832,90.0,90.57422558201262,91.3106046413832,180.0,0.0,336.82523641579985,1.0256684215141563,986.3016960643705,0.0,887.6715264579335
2018-01-01 11:00:00,1026.32,980.74,34.0,11.58,1115.88,1080.34,35.54,1173.2,16.52,6.54,0.0,0.0,1115.889850587672,601363.544516129,1090.3552606910382,0.052941177500199145,0.0,0.0,1213.9597336831164,13.116536129966605,1962.6395624642414,1271.8175600217037,88.86032819685572,91.73774335435259,90.0,90.78819635237862,91.73774335435259,180.0,0.0,434.3298323843886,1.1397339615123427,1271.8175600217037,0.0,1144.6358040195335
2018-01-01 12:00:00,1120.55,1073.7,34.37,12.47,1202.4,1166.48,35.92,1181.98,17.18,7.53,0.0,0.0,1202.3998656023368,601363.544516129,1192.2487044051218,0.052941177500199145,0.0,0.0,1392.00315875147,13.141429626561925,2146.047769861014,1433.2365226298875,88.74999023713573,91.99260665015566,90.0,90.92254323385909,91.99260665015566,180.0,0.0,489.45493300973067,1.1919799424727264,1433.2365226298875,0.0,1289.912870366899
2018-01-01 13:00:00,1134.8,1087.77,34.42,12.61,1215.48,1179.5,35.98,1183.51,18.15,8.97,0.0,0.0,1215.4902685005513,601363.544516129,1207.6175474812435,0.052941177500199145,0.0,0.0,1440.0600125982699,13.150064978657804,2173.7116887119982,1462.954941758218,88.75154580059002,92.0613984527882,90.0,90.9691470775628,92.0613984527882,180.0,0.0,499.60386977902436,1.2035924759504188,1462.954941758218,0.0,1316.6594475823963
2018-01-01 14:00:00,1067.92,1021.75,34.2,11.97,1154.16,1118.42,35.74,1178.06,19.08,9.5,0.0,0.0,1154.1872836551938,601363.544516129,1135.2528932040423,0.052941177500199145,0.0,0.0,1353.189801333887,13.141696839347375,2043.4553048261903,1356.8881795771986,88.8671639946417,91.93704660805453,90.0,90.9239853456283,91.93704660805453,180.0,0.0,463.38172559125877,1.1756221878307926,1356.8881795771986,0.0,1221.1993616194789
2018-01-01 15:00:00,924.63,880.42,33.6,10.61,1022.38,987.26,35.12,1163.65,20.31,9.82,0.0,0.0,1022.3738708639362,601363.544516129,980.214644659136,0.052941177500199145,0.0,0.0,1139.6091448382147,13.117126353259314,1764.3864441903,1124.9988494096824,89.08606679180498,91.63131293654504,90.0,90.79138170878082,91.63131293654504,180.0,0.0,384.1907652921527,1.1003791093164628,1124.9988494096824,0.0,1012.4989644687142
2018-01-01 16:00:00,717.07,675.9,32.55,8.62,830.52,796.5,34.02,1136.99,19.65,9.74,0.0,0.0,830.6922423168835,601363.544516129,755.9527358756775,0.052941177500199145,0.0,0.0,807.6085867898528,13.077371582834642,1360.7149892067102,775.8233014658264,89.40080882354412,91.1560650783319,90.0,90.57683051425194,91.1560650783319,180.0,0.0,264.94618023657785,0.9339479315492075,775.8233014658264,0.0,698.2409713192437
